nome,descricao,nivel_acesso,salario_min,salario_max
Piloto Comercial Nível 7,Cargo de piloto comercial nível 7 na operação aeroportuária.,2,8173.33,19504.29
Piloto Comercial Nível 8,Cargo de piloto comercial nível 8 na operação aeroportuária.,2,5190.06,21972.03
Piloto Comercial Nível 9,Cargo de piloto comercial nível 9 na operação aeroportuária.,2,7910.92,23142.91
Piloto Comercial Nível 10,Cargo de piloto comercial nível 10 na operação aeroportuária.,4,9846.91,19763.22
Piloto Comercial Nível 11,Cargo de piloto comercial nível 11 na operação aeroportuária.,6,6027.58,21793.69
Piloto Comercial Nível 12,Cargo de piloto comercial nível 12 na operação aeroportuária.,8,4815.22,13616.75
Piloto Comercial Nível 13,Cargo de piloto comercial nível 13 na operação aeroportuária.,1,10889.71,23164.86
Piloto Comercial Nível 14,Cargo de piloto comercial nível 14 na operação aeroportuária.,1,14162.0,23606.17
Piloto Comercial Nível 15,Cargo de piloto comercial nível 15 na operação aeroportuária.,9,4356.03,10576.11
Piloto Comercial Nível 16,Cargo de piloto comercial nível 16 na operação aeroportuária.,10,7046.32,25620.95
Piloto Comercial Nível 17,Cargo de piloto comercial nível 17 na operação aeroportuária.,1,5291.66,8527.36
Piloto Comercial Nível 18,Cargo de piloto comercial nível 18 na operação aeroportuária.,9,8384.29,26527.26
Piloto Comercial Nível 19,Cargo de piloto comercial nível 19 na operação aeroportuária.,5,13096.22,14852.73
Piloto Comercial Nível 20,Cargo de piloto comercial nível 20 na operação aeroportuária.,10,6308.4,9392.22
Piloto Comercial Nível 21,Cargo de piloto comercial nível 21 na operação aeroportuária.,3,14591.34,17050.93
Piloto Comercial Nível 22,Cargo de piloto comercial nível 22 na operação aeroportuária.,8,8321.22,9429.38
Piloto Comercial Nível 23,Cargo de piloto comercial nível 23 na operação aeroportuária.,3,12042.01,13875.63
Piloto Comercial Nível 24,Cargo de piloto comercial nível 24 na operação aeroportuária.,3,4904.49,22350.24
Piloto Comercial Nível 25,Cargo de piloto comercial nível 25 na operação aeroportuária.,10,12992.0,18337.92
Piloto Comercial Nível 26,Cargo de piloto comercial nível 26 na operação aeroportuária.,8,12509.44,31522.22
Piloto Comercial Nível 27,Cargo de piloto comercial nível 27 na operação aeroportuária.,2,3319.99,6964.89
Piloto Comercial Nível 28,Cargo de piloto comercial nível 28 na operação aeroportuária.,10,9316.02,18639.87
Piloto Comercial Nível 29,Cargo de piloto comercial nível 29 na operação aeroportuária.,6,12326.39,21495.89
Piloto Comercial Nível 30,Cargo de piloto comercial nível 30 na operação aeroportuária.,9,13669.96,21667.44
Piloto Comercial Nível 31,Cargo de piloto comercial nível 31 na operação aeroportuária.,9,3382.27,13381.77
Piloto Comercial Nível 32,Cargo de piloto comercial nível 32 na operação aeroportuária.,5,7671.78,22010.69
Piloto Comercial Nível 33,Cargo de piloto comercial nível 33 na operação aeroportuária.,2,2847.28,8840.02
Piloto Comercial Nível 34,Cargo de piloto comercial nível 34 na operação aeroportuária.,6,8170.13,18805.29
Piloto Comercial Nível 35,Cargo de piloto comercial nível 35 na operação aeroportuária.,4,13786.01,31421.14
Piloto Comercial Nível 36,Cargo de piloto comercial nível 36 na operação aeroportuária.,2,2313.42,4954.59
Piloto Comercial Nível 37,Cargo de piloto comercial nível 37 na operação aeroportuária.,3,10640.33,20116.27
Piloto Comercial Nível 38,Cargo de piloto comercial nível 38 na operação aeroportuária.,9,6853.12,12850.25
Piloto Comercial Nível 39,Cargo de piloto comercial nível 39 na operação aeroportuária.,2,14621.25,28090.24
Piloto Comercial Nível 40,Cargo de piloto comercial nível 40 na operação aeroportuária.,10,7372.32,19005.99
Piloto Comercial Nível 41,Cargo de piloto comercial nível 41 na operação aeroportuária.,4,4631.81,11338.33
Piloto Executivo Júnior,Cargo de piloto executivo júnior na operação aeroportuária.,7,2145.52,4285.41
Piloto Executivo Pleno,Cargo de piloto executivo pleno na operação aeroportuária.,1,3465.78,17118.09
Piloto Executivo Sénior,Cargo de piloto executivo sénior na operação aeroportuária.,10,8896.75,15660.29
Piloto Executivo Master,Cargo de piloto executivo master na operação aeroportuária.,3,6153.88,11783.73
Piloto Executivo Especialista,Cargo de piloto executivo especialista na operação aeroportuária.,8,12415.93,17000.6
Piloto Executivo Setor A,Cargo de piloto executivo setor a na operação aeroportuária.,8,8217.58,13285.91
Piloto Executivo Setor B,Cargo de piloto executivo setor b na operação aeroportuária.,3,7042.15,20076.68
Piloto Executivo Setor C,Cargo de piloto executivo setor c na operação aeroportuária.,9,13163.01,15510.46
Piloto Executivo Setor D,Cargo de piloto executivo setor d na operação aeroportuária.,3,13151.99,16914.64
Piloto Executivo Setor E,Cargo de piloto executivo setor e na operação aeroportuária.,2,8209.95,28017.42
Piloto Executivo Nível 1,Cargo de piloto executivo nível 1 na operação aeroportuária.,2,9360.05,15054.34
Piloto Executivo Nível 2,Cargo de piloto executivo nível 2 na operação aeroportuária.,7,12917.02,20789.75
Piloto Executivo Nível 3,Cargo de piloto executivo nível 3 na operação aeroportuária.,4,12763.68,21485.12
Piloto Executivo Nível 4,Cargo de piloto executivo nível 4 na operação aeroportuária.,7,2557.82,9647.08
Piloto Executivo Nível 5,Cargo de piloto executivo nível 5 na operação aeroportuária.,7,2359.65,16121.11
Piloto Executivo Nível 6,Cargo de piloto executivo nível 6 na operação aeroportuária.,6,7080.09,19602.38
Piloto Executivo Nível 7,Cargo de piloto executivo nível 7 na operação aeroportuária.,4,11731.91,15151.11
Piloto Executivo Nível 8,Cargo de piloto executivo nível 8 na operação aeroportuária.,10,14342.04,25023.44
Piloto Executivo Nível 9,Cargo de piloto executivo nível 9 na operação aeroportuária.,7,10398.53,25751.7
Piloto Executivo Nível 10,Cargo de piloto executivo nível 10 na operação aeroportuária.,3,5137.43,16041.34
Piloto Executivo Nível 11,Cargo de piloto executivo nível 11 na operação aeroportuária.,8,12050.29,21272.38
Piloto Executivo Nível 12,Cargo de piloto executivo nível 12 na operação aeroportuária.,1,7425.11,19097.16
Piloto Executivo Nível 13,Cargo de piloto executivo nível 13 na operação aeroportuária.,3,12047.93,13806.95
Piloto Executivo Nível 14,Cargo de piloto executivo nível 14 na operação aeroportuária.,5,7112.48,16938.11
Piloto Executivo Nível 15,Cargo de piloto executivo nível 15 na operação aeroportuária.,6,5945.46,17115.99
Piloto Executivo Nível 16,Cargo de piloto executivo nível 16 na operação aeroportuária.,6,13951.25,31203.45
Piloto Executivo Nível 17,Cargo de piloto executivo nível 17 na operação aeroportuária.,8,8648.72,16984.5
Piloto Executivo Nível 18,Cargo de piloto executivo nível 18 na operação aeroportuária.,10,11038.24,29583.87
Piloto Executivo Nível 19,Cargo de piloto executivo nível 19 na operação aeroportuária.,10,9791.44,25721.95
Piloto Executivo Nível 20,Cargo de piloto executivo nível 20 na operação aeroportuária.,3,8101.27,10830.04
Piloto Executivo Nível 21,Cargo de piloto executivo nível 21 na operação aeroportuária.,8,14677.95,25799.99
Piloto Executivo Nível 22,Cargo de piloto executivo nível 22 na operação aeroportuária.,10,10207.76,15988.03
Piloto Executivo Nível 23,Cargo de piloto executivo nível 23 na operação aeroportuária.,5,14144.09,31764.37
Piloto Executivo Nível 24,Cargo de piloto executivo nível 24 na operação aeroportuária.,10,8675.73,15623.71
Piloto Executivo Nível 25,Cargo de piloto executivo nível 25 na operação aeroportuária.,6,13793.83,25548.11
Piloto Executivo Nível 26,Cargo de piloto executivo nível 26 na operação aeroportuária.,6,14640.43,19285.51
Piloto Executivo Nível 27,Cargo de piloto executivo nível 27 na operação aeroportuária.,6,8729.73,17548.98
Piloto Executivo Nível 28,Cargo de piloto executivo nível 28 na operação aeroportuária.,5,9770.89,23494.9
Piloto Executivo Nível 29,Cargo de piloto executivo nível 29 na operação aeroportuária.,4,11988.08,29908.54
Piloto Executivo Nível 30,Cargo de piloto executivo nível 30 na operação aeroportuária.,3,12429.18,26507.49
Piloto Executivo Nível 31,Cargo de piloto executivo nível 31 na operação aeroportuária.,4,10932.34,18800.59
Piloto Executivo Nível 32,Cargo de piloto executivo nível 32 na operação aeroportuária.,9,9187.74,14072.57
Piloto Executivo Nível 33,Cargo de piloto executivo nível 33 na operação aeroportuária.,8,9562.74,13857.64
Piloto Executivo Nível 34,Cargo de piloto executivo nível 34 na operação aeroportuária.,5,10301.74,15210.68
Piloto Executivo Nível 35,Cargo de piloto executivo nível 35 na operação aeroportuária.,6,4380.01,17682.08
Piloto Executivo Nível 36,Cargo de piloto executivo nível 36 na operação aeroportuária.,8,6874.98,15315.95
Piloto Executivo Nível 37,Cargo de piloto executivo nível 37 na operação aeroportuária.,5,14122.29,23844.8
Piloto Executivo Nível 38,Cargo de piloto executivo nível 38 na operação aeroportuária.,6,3902.42,16416.11
Piloto Executivo Nível 39,Cargo de piloto executivo nível 39 na operação aeroportuária.,5,3617.58,11772.26
Piloto Executivo Nível 40,Cargo de piloto executivo nível 40 na operação aeroportuária.,9,14790.28,15852.35
Piloto Executivo Nível 41,Cargo de piloto executivo nível 41 na operação aeroportuária.,4,12555.89,18397.3
Copiloto Júnior,Cargo de copiloto júnior na operação aeroportuária.,8,7911.89,27738.11
Copiloto Pleno,Cargo de copiloto pleno na operação aeroportuária.,10,12675.06,23386.31
Copiloto Sénior,Cargo de copiloto sénior na operação aeroportuária.,7,4589.47,6558.34
Copiloto Master,Cargo de copiloto master na operação aeroportuária.,7,10165.47,20467.1
Copiloto Especialista,Cargo de copiloto especialista na operação aeroportuária.,2,8192.79,16543.6
Copiloto Setor A,Cargo de copiloto setor a na operação aeroportuária.,2,3816.46,7151.88
Copiloto Setor B,Cargo de copiloto setor b na operação aeroportuária.,1,2533.45,4868.77
Copiloto Setor C,Cargo de copiloto setor c na operação aeroportuária.,2,9130.38,15230.25
Copiloto Setor D,Cargo de copiloto setor d na operação aeroportuária.,2,14034.72,28082.48
Copiloto Setor E,Cargo de copiloto setor e na operação aeroportuária.,4,2519.19,16064.83
Copiloto Nível 1,Cargo de copiloto nível 1 na operação aeroportuária.,1,2128.13,9542.64
Copiloto Nível 2,Cargo de copiloto nível 2 na operação aeroportuária.,10,11354.44,17754.01
Copiloto Nível 3,Cargo de copiloto nível 3 na operação aeroportuária.,4,4996.35,17744.28
Copiloto Nível 4,Cargo de copiloto nível 4 na operação aeroportuária.,10,11772.45,30401.63
Copiloto Nível 5,Cargo de copiloto nível 5 na operação aeroportuária.,6,12929.98,16812.34
Copiloto Nível 6,Cargo de copiloto nível 6 na operação aeroportuária.,9,9593.56,25078.23
Copiloto Nível 7,Cargo de copiloto nível 7 na operação aeroportuária.,3,12474.23,29151.5
Copiloto Nível 8,Cargo de copiloto nível 8 na operação aeroportuária.,4,9042.25,10373.62
Copiloto Nível 9,Cargo de copiloto nível 9 na operação aeroportuária.,3,3185.31,18253.98
Copiloto Nível 10,Cargo de copiloto nível 10 na operação aeroportuária.,5,12524.15,15890.85
Copiloto Nível 11,Cargo de copiloto nível 11 na operação aeroportuária.,4,12989.97,18188.47
Copiloto Nível 12,Cargo de copiloto nível 12 na operação aeroportuária.,8,9924.89,27870.71
Copiloto Nível 13,Cargo de copiloto nível 13 na operação aeroportuária.,4,5633.12,6693.32
Copiloto Nível 14,Cargo de copiloto nível 14 na operação aeroportuária.,5,7657.51,25014.52
Copiloto Nível 15,Cargo de copiloto nível 15 na operação aeroportuária.,7,7800.15,13211.58
Copiloto Nível 16,Cargo de copiloto nível 16 na operação aeroportuária.,2,7310.95,16749.48
Copiloto Nível 17,Cargo de copiloto nível 17 na operação aeroportuária.,3,11609.14,19914.17
Copiloto Nível 18,Cargo de copiloto nível 18 na operação aeroportuária.,10,11759.02,13196.53
Copiloto Nível 19,Cargo de copiloto nível 19 na operação aeroportuária.,5,4666.67,18459.58
Copiloto Nível 20,Cargo de copiloto nível 20 na operação aeroportuária.,7,12264.64,23219.41
Copiloto Nível 21,Cargo de copiloto nível 21 na operação aeroportuária.,6,2269.31,12912.94
Copiloto Nível 22,Cargo de copiloto nível 22 na operação aeroportuária.,7,12896.85,25421.37
Copiloto Nível 23,Cargo de copiloto nível 23 na operação aeroportuária.,6,3878.7,6348.48
Copiloto Nível 24,Cargo de copiloto nível 24 na operação aeroportuária.,7,4188.96,12865.08
Copiloto Nível 25,Cargo de copiloto nível 25 na operação aeroportuária.,4,6084.75,14781.69
Copiloto Nível 26,Cargo de copiloto nível 26 na operação aeroportuária.,4,11294.14,29364.74
Copiloto Nível 27,Cargo de copiloto nível 27 na operação aeroportuária.,7,9805.66,19730.21
Copiloto Nível 28,Cargo de copiloto nível 28 na operação aeroportuária.,1,10924.4,22627.27
Copiloto Nível 29,Cargo de copiloto nível 29 na operação aeroportuária.,2,7879.2,24081.11
Copiloto Nível 30,Cargo de copiloto nível 30 na operação aeroportuária.,7,9431.53,17262.42
Copiloto Nível 31,Cargo de copiloto nível 31 na operação aeroportuária.,1,8382.45,23141.84
Copiloto Nível 32,Cargo de copiloto nível 32 na operação aeroportuária.,7,3162.99,9006.58
Copiloto Nível 33,Cargo de copiloto nível 33 na operação aeroportuária.,4,5498.58,23818.95
Copiloto Nível 34,Cargo de copiloto nível 34 na operação aeroportuária.,5,8220.9,12423.19
Copiloto Nível 35,Cargo de copiloto nível 35 na operação aeroportuária.,10,10385.12,22768.12
Copiloto Nível 36,Cargo de copiloto nível 36 na operação aeroportuária.,4,12996.73,32600.8
Copiloto Nível 37,Cargo de copiloto nível 37 na operação aeroportuária.,6,2623.72,7966.74
Copiloto Nível 38,Cargo de copiloto nível 38 na operação aeroportuária.,3,3200.9,17411.84
Copiloto Nível 39,Cargo de copiloto nível 39 na operação aeroportuária.,1,5255.08,16234.9
Copiloto Nível 40,Cargo de copiloto nível 40 na operação aeroportuária.,5,7890.31,14460.21
Copiloto Nível 41,Cargo de copiloto nível 41 na operação aeroportuária.,7,5620.67,24023.96
Comissário de Bordo Júnior,Cargo de comissário de bordo júnior na operação aeroportuária.,4,7323.04,11488.99
Comissário de Bordo Pleno,Cargo de comissário de bordo pleno na operação aeroportuária.,2,5013.6,7766.75
Comissário de Bordo Sénior,Cargo de comissário de bordo sénior na operação aeroportuária.,1,9443.92,25322.83
Comissário de Bordo Master,Cargo de comissário de bordo master na operação aeroportuária.,3,5747.16,15681.88
Comissário de Bordo Especialista,Cargo de comissário de bordo especialista na operação aeroportuária.,7,13633.99,19122.65
Comissário de Bordo Setor A,Cargo de comissário de bordo setor a na operação aeroportuária.,4,9834.25,12298.15
Comissário de Bordo Setor B,Cargo de comissário de bordo setor b na operação aeroportuária.,2,5497.57,21377.3
Comissário de Bordo Setor C,Cargo de comissário de bordo setor c na operação aeroportuária.,9,3613.78,13401.99
Comissário de Bordo Setor D,Cargo de comissário de bordo setor d na operação aeroportuária.,6,11401.71,15303.36
Comissário de Bordo Setor E,Cargo de comissário de bordo setor e na operação aeroportuária.,3,5193.41,6359.59
Comissário de Bordo Nível 1,Cargo de comissário de bordo nível 1 na operação aeroportuária.,3,11962.55,22714.22
Comissário de Bordo Nível 2,Cargo de comissário de bordo nível 2 na operação aeroportuária.,1,8511.87,26513.8
Comissário de Bordo Nível 3,Cargo de comissário de bordo nível 3 na operação aeroportuária.,7,3754.34,5672.88
Comissário de Bordo Nível 4,Cargo de comissário de bordo nível 4 na operação aeroportuária.,3,13004.98,18601.57
Comissário de Bordo Nível 5,Cargo de comissário de bordo nível 5 na operação aeroportuária.,10,12845.64,24749.07
Comissário de Bordo Nível 6,Cargo de comissário de bordo nível 6 na operação aeroportuária.,5,8011.27,17655.21
Comissário de Bordo Nível 7,Cargo de comissário de bordo nível 7 na operação aeroportuária.,2,11274.59,15354.24
Comissário de Bordo Nível 8,Cargo de comissário de bordo nível 8 na operação aeroportuária.,10,11808.68,14083.09
Comissário de Bordo Nível 9,Cargo de comissário de bordo nível 9 na operação aeroportuária.,7,3766.76,10223.61
Comissário de Bordo Nível 10,Cargo de comissário de bordo nível 10 na operação aeroportuária.,9,12384.89,26257.87
Comissário de Bordo Nível 11,Cargo de comissário de bordo nível 11 na operação aeroportuária.,7,9154.1,23952.56
Comissário de Bordo Nível 12,Cargo de comissário de bordo nível 12 na operação aeroportuária.,9,8066.06,21365.77
Comissário de Bordo Nível 13,Cargo de comissário de bordo nível 13 na operação aeroportuária.,9,6601.16,19105.99
Comissário de Bordo Nível 14,Cargo de comissário de bordo nível 14 na operação aeroportuária.,7,11771.21,22717.15
Comissário de Bordo Nível 15,Cargo de comissário de bordo nível 15 na operação aeroportuária.,7,4169.64,21470.25
Comissário de Bordo Nível 16,Cargo de comissário de bordo nível 16 na operação aeroportuária.,3,12462.9,17393.87
Comissário de Bordo Nível 17,Cargo de comissário de bordo nível 17 na operação aeroportuária.,10,14931.29,31928.26
Comissário de Bordo Nível 18,Cargo de comissário de bordo nível 18 na operação aeroportuária.,2,9857.14,18692.99
Comissário de Bordo Nível 19,Cargo de comissário de bordo nível 19 na operação aeroportuária.,7,5893.73,7347.37
Comissário de Bordo Nível 20,Cargo de comissário de bordo nível 20 na operação aeroportuária.,8,4583.14,5887.93
Comissário de Bordo Nível 21,Cargo de comissário de bordo nível 21 na operação aeroportuária.,7,12075.94,27332.54
Comissário de Bordo Nível 22,Cargo de comissário de bordo nível 22 na operação aeroportuária.,8,13247.56,29267.52
Comissário de Bordo Nível 23,Cargo de comissário de bordo nível 23 na operação aeroportuária.,3,10437.93,17175.4
Comissário de Bordo Nível 24,Cargo de comissário de bordo nível 24 na operação aeroportuária.,4,3850.1,21959.67
Comissário de Bordo Nível 25,Cargo de comissário de bordo nível 25 na operação aeroportuária.,8,5287.96,13873.5
Comissário de Bordo Nível 26,Cargo de comissário de bordo nível 26 na operação aeroportuária.,8,6830.37,11719.53
Comissário de Bordo Nível 27,Cargo de comissário de bordo nível 27 na operação aeroportuária.,3,7405.4,9380.98
Comissário de Bordo Nível 28,Cargo de comissário de bordo nível 28 na operação aeroportuária.,3,13661.51,32193.7
Comissário de Bordo Nível 29,Cargo de comissário de bordo nível 29 na operação aeroportuária.,5,6862.46,14523.01
Comissário de Bordo Nível 30,Cargo de comissário de bordo nível 30 na operação aeroportuária.,7,13531.6,31101.74
Comissário de Bordo Nível 31,Cargo de comissário de bordo nível 31 na operação aeroportuária.,2,9777.07,17517.78
Comissário de Bordo Nível 32,Cargo de comissário de bordo nível 32 na operação aeroportuária.,9,9170.89,10940.85
Comissário de Bordo Nível 33,Cargo de comissário de bordo nível 33 na operação aeroportuária.,8,2880.82,10178.42
Comissário de Bordo Nível 34,Cargo de comissário de bordo nível 34 na operação aeroportuária.,5,13985.81,18138.77
Comissário de Bordo Nível 35,Cargo de comissário de bordo nível 35 na operação aeroportuária.,2,3897.21,18408.21
Comissário de Bordo Nível 36,Cargo de comissário de bordo nível 36 na operação aeroportuária.,5,2778.53,13459.16
Comissário de Bordo Nível 37,Cargo de comissário de bordo nível 37 na operação aeroportuária.,9,6826.46,16345.27
Comissário de Bordo Nível 38,Cargo de comissário de bordo nível 38 na operação aeroportuária.,6,12380.65,22126.18
Comissário de Bordo Nível 39,Cargo de comissário de bordo nível 39 na operação aeroportuária.,10,6245.08,14236.46
Comissário de Bordo Nível 40,Cargo de comissário de bordo nível 40 na operação aeroportuária.,9,9613.08,27400.21
Comissário de Bordo Nível 41,Cargo de comissário de bordo nível 41 na operação aeroportuária.,8,7634.31,18399.77
Comissário Chefe Júnior,Cargo de comissário chefe júnior na operação aeroportuária.,9,11472.64,23233.3
Comissário Chefe Pleno,Cargo de comissário chefe pleno na operação aeroportuária.,2,14982.38,18895.65
Comissário Chefe Sénior,Cargo de comissário chefe sénior na operação aeroportuária.,7,6291.98,20863.13
Comissário Chefe Master,Cargo de comissário chefe master na operação aeroportuária.,5,3871.37,19351.44
Comissário Chefe Especialista,Cargo de comissário chefe especialista na operação aeroportuária.,4,3211.46,11505.36
Comissário Chefe Setor A,Cargo de comissário chefe setor a na operação aeroportuária.,7,4863.09,6699.34
Comissário Chefe Setor B,Cargo de comissário chefe setor b na operação aeroportuária.,1,14396.28,19091.66
Comissário Chefe Setor C,Cargo de comissário chefe setor c na operação aeroportuária.,10,4517.64,20707.6
Comissário Chefe Setor D,Cargo de comissário chefe setor d na operação aeroportuária.,3,7549.85,19345.4
Comissário Chefe Setor E,Cargo de comissário chefe setor e na operação aeroportuária.,4,2007.37,4265.71
Comissário Chefe Nível 1,Cargo de comissário chefe nível 1 na operação aeroportuária.,1,5451.6,15622.23
Comissário Chefe Nível 2,Cargo de comissário chefe nível 2 na operação aeroportuária.,2,4848.23,23235.78
Comissário Chefe Nível 3,Cargo de comissário chefe nível 3 na operação aeroportuária.,3,14022.68,24398.84
Comissário Chefe Nível 4,Cargo de comissário chefe nível 4 na operação aeroportuária.,2,10702.42,27124.53
Comissário Chefe Nível 5,Cargo de comissário chefe nível 5 na operação aeroportuária.,6,10018.38,29628.08
Comissário Chefe Nível 6,Cargo de comissário chefe nível 6 na operação aeroportuária.,8,14423.69,20327.27
Comissário Chefe Nível 7,Cargo de comissário chefe nível 7 na operação aeroportuária.,9,9123.03,27248.22
Comissário Chefe Nível 8,Cargo de comissário chefe nível 8 na operação aeroportuária.,6,10209.82,17413.95
Comissário Chefe Nível 9,Cargo de comissário chefe nível 9 na operação aeroportuária.,3,10680.77,27552.58
Comissário Chefe Nível 10,Cargo de comissário chefe nível 10 na operação aeroportuária.,10,8760.63,15060.96
Comissário Chefe Nível 11,Cargo de comissário chefe nível 11 na operação aeroportuária.,10,12117.85,17778.48
Comissário Chefe Nível 12,Cargo de comissário chefe nível 12 na operação aeroportuária.,1,7640.35,13811.93
Comissário Chefe Nível 13,Cargo de comissário chefe nível 13 na operação aeroportuária.,9,5907.4,25389.86
Comissário Chefe Nível 14,Cargo de comissário chefe nível 14 na operação aeroportuária.,7,2666.73,14908.89
Comissário Chefe Nível 15,Cargo de comissário chefe nível 15 na operação aeroportuária.,5,3384.46,7195.93
Comissário Chefe Nível 16,Cargo de comissário chefe nível 16 na operação aeroportuária.,4,12978.35,18138.45
Comissário Chefe Nível 17,Cargo de comissário chefe nível 17 na operação aeroportuária.,4,8036.52,11948.43
Comissário Chefe Nível 18,Cargo de comissário chefe nível 18 na operação aeroportuária.,2,11065.96,21676.99
Comissário Chefe Nível 19,Cargo de comissário chefe nível 19 na operação aeroportuária.,7,11652.81,20619.35
Comissário Chefe Nível 20,Cargo de comissário chefe nível 20 na operação aeroportuária.,6,5888.1,11495.49
