matricula,modelo_id,ano_fabricacao,data_ultima_revisao,total_horas_voo,ativa
TC-839B,752,2009,2026-05-01,1600,True
PS-4707E,989,1993,2025-10-12,24607,True
HL-9029P,656,2003,2025-01-15,72485,True
TC-3543L,856,1992,2026-04-13,7121,True
N-6839H,557,2002,2025-12-13,52811,True
EC-4684U,774,2002,2025-11-21,53359,True
F-6248X,638,2009,2025-09-02,9293,True
D-8980W,897,2010,2025-04-04,14970,True
JA-5172J,821,2010,2025-04-26,42040,True
PP-9872M,510,2021,2025-02-28,24889,True
N-9627J,893,1999,2025-11-30,70991,True
F-9006Q,674,2015,2025-10-27,14258,True
G-6654H,250,2009,2024-09-09,24218,True
B-668T,84,1996,2025-09-25,44455,True
PT-6311Q,177,2008,2025-01-19,79376,True
D-193Y,365,2006,2026-02-25,75218,True
TC-4370B,967,2017,2025-07-08,48659,True
D-6600L,98,2001,2024-11-03,55583,True
VH-4581T,913,1991,2026-03-26,60034,True
PS-5808D,206,2022,2024-07-06,32541,True
N-6870F,842,2003,2025-02-25,28970,True
EC-5428N,867,2011,2024-08-30,14233,True
F-2615E,722,2003,2025-05-22,6909,True
PU-8078M,38,2011,2024-09-06,74392,True
G-6064V,782,2017,2025-08-31,10977,True
EC-9081V,224,2004,2025-05-28,39129,True
PU-6356P,818,2014,2024-09-30,76211,True
B-3453Q,602,1999,2025-12-31,48709,True
HL-1753Z,294,2004,2025-02-14,62054,True
B-5651U,668,2000,2024-07-21,6251,True
PS-1476Y,752,1995,2024-10-19,51221,True
F-7010O,707,2006,2025-10-21,34550,True
D-8688N,854,2023,2024-11-17,59034,True
PR-7595C,545,1995,2026-04-04,12730,True
PU-4212D,680,2025,2026-05-09,18753,True
EC-8260V,85,2022,2024-12-17,61202,True
JA-1966K,234,2025,2024-11-08,60594,True
HL-443L,770,2007,2026-01-12,10124,True
EC-9697S,307,2024,2024-12-01,41730,True
PT-2101P,296,2000,2025-02-11,51180,True
PP-2424O,318,1991,2024-11-29,38881,True
PP-2826Q,697,2011,2025-05-03,65726,True
B-3682U,472,1991,2025-05-27,73346,True
JA-3964L,464,2007,2025-03-18,29331,True
F-9381D,38,1991,2025-11-08,40814,True
EC-3039I,412,1992,2025-05-15,15796,True
PP-8981U,368,2006,2025-11-12,74651,True
B-7596F,410,2004,2025-06-12,13135,True
PR-8488C,9,2025,2025-06-23,56992,True
HL-964I,951,1998,2025-05-13,75778,True
VH-7455T,19,2003,2024-11-14,42231,True
PR-6446I,154,2023,2024-12-13,20807,True
N-9414Q,287,2024,2026-05-04,65893,True
G-1389R,736,2016,2025-12-14,37038,True
F-4727C,180,1995,2026-02-03,19479,True
EC-6319B,359,2003,2026-03-01,65503,False
G-2495O,147,2004,2024-09-11,43788,True
PU-3536M,92,1997,2025-03-30,32215,True
F-8844P,60,2010,2026-02-12,61510,True
HL-7185F,858,2022,2026-03-10,36724,True
N-5053Q,505,1992,2026-01-20,6910,True
PU-6847D,274,2014,2025-02-17,75149,True
F-4110Z,811,2022,2025-07-20,46198,True
PR-2105N,826,2017,2026-03-27,65937,True
TC-6877O,804,2018,2025-06-11,69037,True
PS-2346J,633,2018,2025-02-07,44051,True
EC-3527B,233,2015,2024-07-09,9938,True
EC-9326G,129,2014,2024-11-09,2830,True
F-6605D,648,2013,2025-10-31,57459,True
B-4775E,889,2002,2024-07-26,51505,True
D-8693A,691,2003,2024-06-09,59259,True
PT-9108N,330,2024,2025-01-20,71368,False
PU-6706Z,120,1999,2025-12-04,5152,True
G-5635J,335,2014,2025-10-17,41617,True
PS-6415X,772,2003,2025-09-03,51215,True
JA-9142V,774,1997,2025-05-07,27374,True
PP-2402F,216,1993,2025-09-10,37246,True
PP-1686B,237,2021,2024-08-12,77918,True
EC-9094F,926,1991,2024-12-18,39615,True
D-9321W,755,2003,2024-06-02,65324,True
TC-1615F,238,2002,2025-06-02,43929,True
HL-9420Z,955,2003,2026-05-11,64791,True
JA-5785T,8,1995,2025-06-07,23426,True
EC-2226T,159,1991,2024-07-30,8903,True
D-337X,293,2010,2025-10-03,62167,True
JA-215V,566,2010,2026-04-28,6469,True
TC-7841W,304,1995,2025-11-16,10594,True
EC-2646R,138,2002,2025-10-02,53934,True
JA-5214T,246,2024,2024-10-21,19369,True
F-3774C,245,2025,2026-04-06,1820,True
JA-3673H,576,2002,2025-07-03,30824,True
JA-7570X,786,2002,2024-06-25,53029,True
JA-1123J,511,2016,2026-02-04,10032,True
TC-6076N,90,2010,2025-04-18,70246,True
PT-1324A,408,2008,2024-08-07,19808,True
TC-9578F,169,2005,2026-06-02,8322,True
D-8367S,730,2011,2025-10-27,68501,True
PS-2511B,66,1992,2025-08-23,73340,True
F-1329A,493,2000,2025-09-08,30103,True
B-2421U,917,2021,2024-06-29,39321,True
D-8600H,821,1992,2025-06-10,11881,True
B-5162I,127,1990,2026-03-18,66709,True
PS-5130Y,963,2007,2024-12-24,32816,True
PS-8058J,142,2007,2025-04-04,78399,True
PT-8225Q,340,2025,2025-04-03,34462,True
D-809E,221,1998,2026-04-22,66439,True
PS-1436B,618,1994,2025-12-03,49045,True
PT-9884C,11,2008,2025-04-18,31460,True
D-9571W,830,2001,2025-09-14,31435,True
TC-1586A,686,1999,2026-01-15,39428,True
PR-5376T,704,2014,2025-06-23,26653,True
TC-6269Y,162,2017,2026-03-10,73446,True
TC-1185R,480,2019,2025-11-03,56612,True
TC-8947T,425,1995,2024-12-31,61476,True
VH-8836O,719,2001,2025-06-05,73794,True
PP-425J,175,2021,2024-09-27,48098,True
F-1543B,972,1995,2026-02-08,40448,True
JA-576Q,745,1999,2026-03-20,45100,True
VH-3032G,49,2014,2026-04-30,45157,True
D-6875R,165,2010,2026-05-14,15580,True
PP-8374Q,27,1992,2026-01-05,40631,True
G-503L,281,2016,2024-08-10,73912,False
HL-805Q,308,2011,2025-05-24,11418,True
TC-335I,129,1993,2024-09-02,37069,True
HL-458Q,849,2018,2026-01-06,73256,True
D-5530E,396,2004,2026-05-29,21110,True
JA-8655I,303,1997,2024-10-12,30530,True
PS-5369R,668,1993,2025-01-13,22938,True
PT-1076G,492,2020,2026-01-19,1975,False
PS-3614K,556,1998,2024-11-27,25992,True
HL-484N,179,2019,2025-03-15,40659,True
JA-6162P,919,1993,2025-03-31,66592,True
HL-8796G,172,2022,2025-04-26,51531,True
PU-1668M,103,2009,2025-06-25,29458,True
PU-3701Z,731,2009,2025-10-24,76664,True
JA-8341S,155,2009,2026-02-20,45346,True
D-4791U,431,2008,2024-12-09,30490,True
PS-1024I,837,1991,2026-01-30,28441,True
PR-5652R,797,1995,2025-12-25,65651,True
VH-8513L,242,2011,2024-07-11,420,True
G-2155T,156,2013,2024-11-18,70173,True
JA-9873Z,612,2007,2024-09-29,8258,True
VH-4220Y,246,2018,2025-02-27,25667,True
PT-2986T,893,2003,2026-01-11,69515,True
HL-5881K,413,2025,2024-11-02,44697,True
PR-2661E,10,2024,2025-03-29,2364,True
F-4967Y,508,1999,2026-05-25,58970,True
PT-3579F,979,2007,2026-03-22,51931,True
F-3194V,379,1996,2026-05-15,33424,True
VH-2840B,118,2006,2025-08-20,5325,True
EC-8397H,282,1991,2025-03-17,726,True
D-1336Z,704,2016,2025-12-09,7852,True
PR-9301X,824,2004,2024-09-22,14389,True
D-4058J,853,2017,2026-04-19,26596,True
N-5988H,667,2005,2025-03-10,60841,True
N-3410D,507,2010,2025-02-10,17206,True
TC-9050M,103,2001,2025-07-20,20783,True
PR-870B,138,2010,2025-05-14,75218,True
HL-5574R,86,2024,2025-12-19,29880,True
VH-839F,149,2025,2025-12-25,61990,True
PU-309V,544,2021,2026-04-23,48755,True
D-8567X,268,1998,2025-03-23,30004,True
VH-9295V,39,2000,2025-06-17,56861,True
PT-5041S,143,2024,2024-11-09,66916,True
G-3909W,286,2008,2025-02-05,64383,True
EC-3162P,659,2016,2025-12-20,26048,True
HL-2569A,355,2013,2024-06-10,10553,True
B-6110X,666,2019,2025-06-05,730,True
HL-5916W,194,2004,2025-08-11,1455,True
PU-4563R,115,2013,2026-01-12,74334,True
F-2442W,399,2023,2024-08-13,61662,True
PS-4016V,505,2003,2026-01-02,14600,True
VH-285E,624,1991,2024-07-15,29792,True
PR-9028D,810,1990,2025-10-28,29108,True
PT-2003U,307,1990,2025-06-24,64431,True
EC-7770R,812,2017,2024-10-16,22048,True
G-3621I,519,2009,2025-07-12,37740,True
PR-5565G,309,2006,2025-11-18,62752,True
TC-5908A,812,2022,2024-11-22,19375,True
F-2483Q,651,2024,2025-10-21,73179,True
G-1413H,971,2019,2025-09-07,11173,True
N-8544R,878,1991,2025-01-19,64301,True
HL-2451P,125,2009,2026-02-22,49918,True
N-4920E,547,2009,2025-05-26,56989,True
HL-6884G,780,2024,2026-03-17,58183,True
PS-2833G,538,2004,2025-03-28,20304,True
D-1092J,625,2006,2024-12-27,31334,True
PP-7913W,300,1991,2025-12-17,20968,True
N-9105K,632,2001,2025-04-20,34381,True
TC-924F,242,2005,2026-01-04,15818,False
PT-8363L,664,2007,2025-11-10,70300,True
HL-5437X,699,1995,2026-06-01,33181,True
F-8651W,181,2020,2024-07-27,29547,True
B-4467S,48,2006,2024-10-22,36710,True
PT-8851U,796,1994,2025-11-12,26460,True
PP-4952Y,40,2016,2025-03-23,19632,True
JA-4769N,98,2004,2024-08-09,28391,True
D-3198Z,742,2005,2024-12-21,61877,True
HL-5369K,356,2015,2025-09-18,25032,True
F-2060I,118,2012,2025-11-25,60732,True
VH-1914R,58,2018,2025-10-11,32992,True
PP-3188T,862,2017,2026-02-04,54274,True
F-6091W,108,2006,2025-09-16,13937,True
F-3057Y,459,2007,2024-11-07,41563,True
PU-6213N,358,1999,2025-10-24,48684,False
G-3218H,487,2004,2025-04-12,54457,True
B-3396L,774,2004,2025-11-04,64940,True
PT-4884M,250,1993,2026-05-26,65411,True
HL-1050T,337,2023,2024-12-02,27017,True
PU-2913Y,770,2024,2024-08-24,51451,True
PS-1185B,182,2015,2026-01-21,47051,True
D-4709P,271,2008,2025-08-21,79061,True
G-8136H,334,1999,2025-04-04,13024,True
F-4149J,48,2000,2024-10-16,66528,True
B-4676Y,4,2003,2026-04-01,76694,True
TC-6508I,487,2002,2026-05-14,47689,True
JA-5604M,168,1996,2025-05-10,42553,True
JA-6928E,852,2016,2025-02-16,59580,True
F-8924T,848,2000,2025-04-04,53673,True
PR-1571G,442,1994,2025-11-26,76446,True
G-7297H,191,1999,2025-01-19,15773,True
VH-7597U,789,2018,2024-12-17,45706,True
B-1197J,272,2021,2024-11-22,62802,True
PR-4688K,231,2004,2025-08-26,57989,True
G-9746Z,971,2019,2026-04-06,78407,True
G-2355O,409,1999,2026-01-14,35812,True
G-919Y,411,2004,2024-07-01,5058,False
D-9758Q,971,2001,2025-08-28,27236,True
VH-9202S,897,1994,2025-02-04,62113,True
B-3451V,643,2013,2024-07-21,54884,True
PP-1316D,516,2019,2025-10-03,72629,True
PT-6392E,393,2023,2025-09-15,62565,True
N-2019B,362,2019,2026-03-13,27813,True
B-6848Q,352,1990,2025-02-18,4828,True
D-4376O,776,2000,2025-04-03,76731,True
VH-6631Y,957,1996,2026-04-23,50851,True
HL-2626X,720,1992,2025-04-09,71385,True
TC-2274S,404,2024,2024-11-18,50237,True
B-7093X,763,2021,2024-06-14,59367,True
PS-6246M,236,2013,2024-07-19,16788,True
G-287A,810,2018,2025-10-21,47349,True
PU-248U,573,2007,2025-04-03,14973,True
F-3891Y,513,1993,2024-11-05,12808,True
N-2544Z,558,1998,2025-03-31,585,True
TC-7786T,13,2021,2024-09-22,63355,True
TC-9614V,515,2024,2025-12-06,52689,True
F-2953L,425,1994,2026-05-21,54291,True
PR-2903R,657,1990,2024-09-01,17184,True
F-528E,175,2001,2026-02-07,39439,True
G-7196C,996,2016,2024-07-13,42696,True
JA-5988R,444,2015,2025-03-07,53639,True
HL-6709L,997,2021,2025-11-11,6878,True
PS-9020Z,543,2002,2024-07-31,25837,True
PP-3339V,748,2023,2025-03-31,34742,False
EC-2039F,793,2015,2024-12-20,78484,True
G-4275S,572,2013,2024-07-15,58692,True
TC-4957F,455,2003,2025-05-13,41301,True
PU-1005V,699,2019,2025-07-03,3385,True
TC-5374J,480,1999,2025-05-27,6301,True
PP-7199I,869,2014,2026-04-08,42910,True
EC-6864O,735,2006,2025-12-29,61777,True
EC-1373W,440,2016,2026-02-21,70860,False
PS-1975X,968,1992,2025-12-07,3766,True
TC-7438S,483,2020,2026-03-21,52654,True
VH-861B,184,2000,2025-10-18,1799,False
TC-4195W,718,2017,2024-07-15,40364,True
PS-8482F,140,2005,2026-04-09,45044,True
PP-585T,319,1996,2025-01-21,21652,True
N-6676F,649,1996,2026-03-15,19381,True
TC-479F,370,2006,2026-05-09,3452,True
PT-1406G,583,2015,2025-06-26,43686,True
PP-5495W,321,1996,2024-08-24,58280,True
N-6911W,629,2025,2024-08-11,28874,True
HL-9962K,27,2001,2024-11-07,53426,True
TC-7998L,693,2021,2025-12-29,20002,True
JA-3239W,921,1996,2025-10-23,37585,True
HL-264M,104,2009,2025-03-11,30976,True
F-8298L,964,2023,2026-01-17,75694,True
D-740T,675,1991,2026-04-03,54334,True
JA-9064D,566,1998,2026-04-25,29233,True
D-1270B,265,2009,2026-01-08,75824,True
PT-1812H,676,2017,2024-10-31,33279,True
EC-984M,728,2024,2026-04-11,69183,True
N-8929A,194,1996,2026-05-27,18643,True
D-8028T,807,1992,2025-11-18,44085,True
VH-8969X,512,2011,2025-12-20,9942,True
F-5684G,748,2006,2025-06-07,23659,True
EC-7497U,975,1993,2026-01-04,30131,True
TC-7678X,780,2021,2025-10-05,26616,True
F-152A,259,1995,2025-11-05,33579,True
HL-3273F,669,2016,2025-10-05,40949,True
PT-230I,785,1998,2024-12-10,26901,True
TC-329B,916,2025,2025-09-14,50690,True
G-2951W,930,2002,2025-04-20,29255,True
D-8683C,631,2004,2025-03-12,39107,True
TC-1627C,921,2008,2026-05-26,57404,True
G-7779K,879,2021,2024-10-04,28764,True
N-1485W,644,2006,2025-06-11,14287,True
G-1246O,952,2002,2026-05-19,11297,True
PS-2551D,747,2019,2025-10-03,75029,True
PU-7861Z,713,2015,2026-04-21,14961,True
PR-3842K,652,2003,2024-10-06,4906,False
N-6384Q,278,1997,2026-01-17,58844,True
PS-4540B,401,2021,2026-02-14,43216,True
PS-3082M,199,1990,2025-09-07,13474,True
HL-5341B,933,2025,2025-02-03,75849,True
EC-8363G,46,1999,2025-08-27,18951,True
PS-3489O,32,2006,2026-01-04,42192,True
PR-3648U,527,2016,2025-07-29,2106,True
EC-4994G,36,2016,2025-04-02,18286,True
PS-4595K,127,1998,2025-05-10,75167,True
PT-7335V,701,1999,2025-05-25,70381,True
N-8992M,512,2005,2025-06-01,15658,True
HL-748U,968,1999,2025-11-25,61976,True
PS-4948R,949,2018,2024-07-19,54945,True
N-6522X,98,1998,2025-02-16,69454,True
TC-6788T,860,2012,2025-03-09,41673,True
PP-2147D,37,2011,2025-01-19,27793,True
HL-1900K,392,2015,2025-07-08,61858,True
VH-5628T,455,1996,2025-09-05,27649,True
PT-2236T,151,2024,2025-08-30,68113,True
PU-2861G,565,2010,2025-12-08,23713,True
EC-6659K,706,2012,2026-01-21,38011,True
PR-8312K,331,2006,2024-06-30,70875,True
N-9940Q,877,1992,2025-06-05,50723,True
PU-4037S,804,2025,2024-08-10,62266,True
F-9578S,296,2024,2024-10-21,39914,True
HL-118M,40,1999,2025-11-22,50877,True
TC-672S,651,2013,2025-09-01,78135,True
N-2274D,1000,2023,2026-05-17,75213,True
PP-114Z,790,2021,2025-09-15,60941,True
PR-8835Q,901,1995,2025-03-27,43216,True
PP-9601H,212,2002,2025-09-18,50774,True
D-7453B,354,1999,2026-01-17,73971,True
PP-5890H,554,2009,2025-09-12,13254,True
PP-7454S,648,1996,2026-05-25,29406,True
PS-4172E,720,2012,2024-08-15,68165,True
F-4360Y,661,1991,2025-02-09,39823,True
G-2931P,282,2001,2025-01-15,17974,True
VH-1936C,763,2010,2025-11-30,39463,True
PU-8525Y,359,1990,2025-08-02,19099,True
B-6778W,75,1991,2024-10-22,9246,True
F-1633A,507,1996,2026-03-02,32348,True
D-9611X,502,2004,2026-06-02,1937,True
VH-5586D,723,2009,2025-06-08,51610,False
PS-8184F,59,2009,2024-06-09,5206,True
PP-4988A,291,2009,2024-07-10,2687,True
PT-7390R,351,2017,2025-10-25,26900,True
B-5185G,410,1994,2024-09-08,35899,True
HL-634C,161,1991,2025-08-21,32933,True
TC-2712Q,446,2024,2024-12-11,55685,True
D-5756M,301,2015,2024-11-17,79986,True
HL-8318Y,687,2002,2026-01-25,50174,True
B-2569B,583,2008,2025-11-24,68540,True
G-8413L,196,1995,2026-03-05,76327,True
VH-9873A,705,2023,2024-08-22,61883,True
HL-644C,775,2009,2024-11-13,49860,True
F-7794B,803,2000,2024-09-09,62439,True
PS-2220I,819,2014,2025-04-01,60497,True
PS-1560J,993,2014,2025-07-02,36724,True
B-572Q,830,2023,2025-08-20,23036,True
B-4438U,204,2016,2024-10-31,74876,True
VH-5099W,688,2018,2025-06-02,64307,True
PP-4181P,161,2006,2026-02-25,77513,True
PP-2814U,89,2005,2024-12-22,30213,True
PR-6545C,530,2015,2025-04-24,37825,True
N-6590S,833,1999,2024-06-17,58694,True
N-542L,739,2016,2024-10-01,46992,True
PP-6364C,929,2017,2024-07-21,76414,True
PU-3744U,778,2023,2024-12-12,9255,True
N-9281B,190,2010,2025-05-05,51370,True
EC-7349I,487,2017,2026-01-11,6229,True
PU-1055J,151,2007,2025-07-30,14228,True
JA-6923K,385,1999,2026-03-19,55365,True
G-997I,414,2009,2025-07-23,32279,False
JA-543O,165,2009,2025-01-11,60691,True
TC-6440W,11,2012,2024-07-30,28560,True
PS-7975Y,542,2003,2025-03-08,60582,True
G-6323Z,740,2004,2025-06-25,64613,True
D-3138J,791,2001,2025-06-11,33676,True
F-5210Z,709,1994,2024-08-05,23090,True
VH-8153U,423,1996,2025-11-22,17514,True
F-2469N,999,1996,2024-09-15,20901,True
JA-9655T,888,2025,2025-12-30,60498,True
EC-9935J,675,2022,2025-09-16,9602,True
JA-709N,724,2025,2024-07-24,15961,True
D-5785M,987,1995,2025-07-15,1400,True
PR-9259N,484,2002,2024-12-25,18769,True
F-6534Q,985,2007,2024-10-14,68240,True
G-2716I,472,1994,2025-11-28,50748,True
G-3282U,876,2024,2025-09-30,54966,True
PT-3087A,345,2006,2025-10-16,14528,True
PP-8330A,747,2020,2025-03-19,65689,True
B-5005O,785,2020,2024-07-21,1016,True
EC-6249E,942,1991,2025-12-15,19786,True
PS-6330E,504,1991,2025-09-03,52432,True
PS-9271C,214,2020,2025-03-03,70785,True
G-2354G,336,2008,2026-02-10,29603,True
TC-1211F,603,1991,2025-04-19,40817,True
B-9371Z,426,2004,2026-01-07,72262,True
EC-6061E,298,1993,2024-08-07,44504,True
PR-4647K,808,1995,2025-06-04,2873,True
VH-6346Y,418,1990,2025-05-06,48942,True
PR-9580K,583,2000,2025-11-01,34214,True
VH-8355C,345,2023,2026-05-07,67027,True
PP-6238P,58,2000,2025-03-12,14514,True
F-6497M,995,1992,2025-02-17,21064,True
EC-3080Q,900,1995,2025-08-09,33725,True
EC-6552L,910,2017,2025-09-11,77263,True
PT-8000R,114,2013,2024-10-01,33837,True
F-3180M,823,1995,2024-09-30,9036,True
F-3711H,972,2014,2024-11-19,50937,True
HL-5107J,605,2002,2025-11-22,37059,True
PU-3847B,239,2008,2025-03-15,18573,True
D-9066X,796,2007,2025-03-09,44717,True
G-1157D,786,2011,2026-04-18,45891,True
VH-1363N,943,1990,2024-09-10,78152,True
PU-1042L,450,2022,2025-11-20,64669,True
G-549Y,792,1994,2025-07-31,61735,True
PP-6340D,887,2008,2025-02-08,61744,True
D-4890R,737,1991,2025-08-08,19586,True
D-2292P,208,1990,2025-06-17,14657,True
TC-7101T,809,2009,2025-11-02,51808,True
B-2598D,487,2008,2024-06-22,48743,True
N-9207S,933,2024,2026-04-08,70202,True
B-9160N,576,2008,2026-04-30,39757,True
JA-9233A,684,2015,2025-05-07,68486,True
HL-5075L,478,2012,2024-10-31,45516,True
B-7546G,567,1994,2024-06-06,44869,True
JA-7505S,962,2020,2026-01-31,17175,True
N-7053C,193,1991,2025-11-01,16399,True
VH-3813F,802,2020,2024-09-27,52783,True
TC-1579M,729,2008,2026-01-19,78928,True
B-9567O,403,2023,2024-09-24,60794,True
G-6104S,930,2016,2025-07-31,38730,True
D-1891R,810,1995,2026-01-27,63222,True
PS-4461B,595,2017,2026-04-08,14118,True
EC-7328Y,646,2012,2025-12-08,14872,True
D-5278N,974,2003,2024-10-17,37112,True
PR-6857B,157,1997,2025-09-17,4566,True
TC-6372Z,888,2001,2026-05-24,56793,True
EC-6976P,167,2019,2024-11-22,66103,True
HL-4014G,180,2001,2026-02-11,49713,True
D-3367C,579,2016,2024-12-01,67712,True
PS-6988S,513,1994,2025-03-06,16557,True
PR-7153P,570,2018,2024-09-21,20703,True
PT-6169N,599,1995,2025-07-28,39547,True
D-343C,162,2024,2026-03-27,27707,True
B-9717X,788,2006,2025-05-08,46762,True
TC-6356I,396,1991,2025-07-16,63893,True
N-790A,442,2015,2025-09-20,45515,True
F-5533G,52,1992,2025-06-23,34124,True
D-8442M,547,2011,2024-08-21,23900,True
HL-2164X,1000,1993,2025-03-19,2416,True
TC-5776X,696,2020,2025-12-18,59215,True
PT-4964I,139,1993,2026-04-27,10875,True
PR-3555J,969,1999,2024-10-30,167,True
JA-9102O,869,2001,2025-03-01,8870,True
PR-4697X,440,2016,2026-02-15,68803,True
VH-550V,823,2025,2026-05-06,15840,True
EC-6453E,128,1995,2025-09-09,56853,True
PP-3953B,272,2014,2025-10-19,44953,True
TC-6608Z,374,2024,2025-04-16,296,True
VH-1673N,687,2016,2025-01-21,46919,True
VH-1767H,433,2016,2025-06-13,21455,True
PP-731R,386,1994,2024-10-01,3614,True
PS-442W,715,2013,2025-04-16,3210,True
TC-6341H,617,2006,2025-07-15,63552,True
TC-4927Q,561,1994,2025-10-30,34878,True
B-9250E,267,2018,2025-01-28,39582,False
JA-7774S,708,2009,2026-03-24,27214,True
PU-1949V,995,2019,2025-12-26,48361,True
HL-6416C,852,2015,2025-06-24,24356,True
PP-3963S,959,2001,2024-12-25,48955,False
TC-9721P,830,2014,2025-04-18,10762,False
PS-2305Z,105,2015,2025-01-03,44521,True
F-175R,471,1999,2025-11-08,49609,True
VH-655W,340,1994,2025-03-08,15006,True
HL-8687R,220,1993,2025-02-06,78997,False
N-8465C,405,2020,2024-06-28,24461,True
PT-9942H,11,2007,2025-05-21,16920,True
PR-1534R,375,1993,2025-11-15,45849,True
PS-1919C,784,2025,2024-09-27,57476,True
N-6835P,945,2001,2026-04-29,24348,True
PP-8466M,947,2011,2025-07-10,3101,True
HL-8559J,128,1993,2024-12-09,12574,True
EC-5898Z,902,2001,2024-08-20,20920,True
EC-3018W,897,2007,2026-01-11,33397,True
PU-548W,761,2015,2024-06-09,56639,True
TC-1504L,588,2001,2026-05-20,16771,True
TC-9781P,847,2014,2024-09-05,36365,True
G-1179R,193,2025,2025-08-03,22022,True
TC-5628W,603,1997,2025-03-03,38617,True
B-1318Z,118,2020,2025-12-17,22342,True
G-1093Y,353,1994,2025-11-15,67075,True
F-726R,424,1997,2024-07-10,59229,True
PR-8722P,941,1997,2025-07-15,26178,True
F-5128O,883,2002,2025-07-31,19602,True
PP-1074W,367,2019,2024-07-10,7756,True
G-6060S,785,2013,2026-05-28,76080,True
D-521P,746,2001,2025-07-26,62846,True
JA-9525F,616,1990,2025-06-09,34312,True
JA-9538X,631,2024,2025-02-02,9431,True
TC-1238X,449,1999,2025-04-11,11261,True
PS-7966B,186,2017,2025-12-28,9349,True
PT-6428W,487,2001,2025-01-29,65214,True
PP-4891C,39,2000,2026-02-28,54764,True
PR-8857G,14,2025,2026-05-29,27066,True
PR-9581C,312,2004,2025-03-01,16004,True
PS-8880Z,852,2006,2026-01-05,8714,True
B-4161C,694,1994,2024-06-21,67651,True
PS-979P,842,2004,2026-01-03,10442,True
D-2437S,554,2023,2025-11-10,61849,True
F-7479O,75,2003,2025-02-19,5353,True
HL-3907Q,481,2015,2025-07-28,66103,True
JA-9725A,15,2020,2024-08-27,60148,True
PU-2676W,472,2019,2025-10-20,4514,True
D-8781Z,378,1999,2024-06-11,48902,True
B-9717T,68,2002,2025-02-05,68612,True
PU-1215H,126,2019,2025-07-18,34229,True
VH-5590Z,716,1997,2024-06-10,76338,True
PU-2892V,229,2003,2024-08-25,34104,True
PP-6211W,570,2022,2024-06-03,47522,True
TC-1141A,539,2023,2025-08-12,79471,True
HL-1794O,99,1990,2026-05-05,68586,True
PU-8872K,250,1995,2025-10-13,44505,True
VH-9854N,295,2015,2025-08-07,1456,True
D-2307K,257,2021,2026-04-24,64999,True
N-3969Q,777,2025,2025-11-12,15509,True
B-7224R,231,2013,2026-03-03,24887,True
D-8685C,828,1997,2025-04-24,1514,True
VH-2039Z,438,1999,2025-06-14,14966,True
F-9424Z,492,2006,2025-09-06,37350,True
B-3401C,430,2025,2025-06-19,11647,True
