reserva_id,numero_passagem,assento,classe,emitida_em
300,TKT-00300,6E,ECONOMICA,2025-11-13 13:12:18+00:00
301,TKT-00301,34B,ECONOMICA,2026-06-02 00:26:24+00:00
302,TKT-00302,10D,PRIMEIRA_CLASSE,2025-11-08 13:22:52+00:00
303,TKT-00303,26D,PRIMEIRA_CLASSE,2025-12-14 05:00:36+00:00
304,TKT-00304,17B,EXECUTIVA,2025-11-18 12:15:15+00:00
305,TKT-00305,18B,PRIMEIRA_CLASSE,2025-09-08 05:52:53+00:00
306,TKT-00306,12A,EXECUTIVA,2025-09-24 14:04:52+00:00
307,TKT-00307,6C,PRIMEIRA_CLASSE,2025-09-16 14:21:10+00:00
308,TKT-00308,18F,ECONOMICA,2025-10-24 11:59:47+00:00
309,TKT-00309,24D,EXECUTIVA,2025-08-11 05:33:23+00:00
310,TKT-00310,19A,PRIMEIRA_CLASSE,2026-01-07 08:00:00+00:00
311,TKT-00311,17D,ECONOMICA,2025-06-24 03:36:09+00:00
312,TKT-00312,40B,PRIMEIRA_CLASSE,2026-02-20 02:33:41+00:00
313,TKT-00313,25B,ECONOMICA,2026-01-06 18:45:16+00:00
314,TKT-00314,24E,ECONOMICA,2025-10-03 15:07:24+00:00
315,TKT-00315,22C,ECONOMICA,2025-11-22 03:32:25+00:00
316,TKT-00316,2E,ECONOMICA,2026-05-05 21:45:42+00:00
317,TKT-00317,35A,ECONOMICA,2025-09-11 21:52:31+00:00
318,TKT-00318,36A,PRIMEIRA_CLASSE,2025-07-09 19:22:41+00:00
319,TKT-00319,39E,EXECUTIVA,2026-05-29 14:14:40+00:00
320,TKT-00320,21B,EXECUTIVA,2026-03-15 05:26:30+00:00
321,TKT-00321,14E,EXECUTIVA,2025-08-03 01:34:46+00:00
322,TKT-00322,33A,EXECUTIVA,2025-10-02 14:15:25+00:00
323,TKT-00323,27C,EXECUTIVA,2025-11-24 08:25:12+00:00
324,TKT-00324,14C,EXECUTIVA,2025-11-05 12:26:58+00:00
325,TKT-00325,12F,ECONOMICA,2025-12-21 18:01:08+00:00
326,TKT-00326,34B,EXECUTIVA,2025-12-11 21:18:07+00:00
327,TKT-00327,21C,ECONOMICA,2025-06-29 20:16:36+00:00
328,TKT-00328,7A,PRIMEIRA_CLASSE,2026-02-08 16:26:51+00:00
329,TKT-00329,22C,PRIMEIRA_CLASSE,2026-05-16 03:01:18+00:00
330,TKT-00330,16A,EXECUTIVA,2025-08-21 16:31:15+00:00
331,TKT-00331,32B,ECONOMICA,2026-01-26 03:41:03+00:00
332,TKT-00332,10C,PRIMEIRA_CLASSE,2026-02-19 21:46:55+00:00
333,TKT-00333,16C,PRIMEIRA_CLASSE,2026-03-18 14:55:40+00:00
334,TKT-00334,20E,ECONOMICA,2025-07-11 18:34:34+00:00
335,TKT-00335,34D,ECONOMICA,2025-10-25 01:10:11+00:00
336,TKT-00336,22A,EXECUTIVA,2026-01-11 18:36:23+00:00
337,TKT-00337,39A,ECONOMICA,2025-06-15 21:06:52+00:00
338,TKT-00338,29C,PRIMEIRA_CLASSE,2026-03-08 01:39:21+00:00
339,TKT-00339,39A,EXECUTIVA,2026-02-07 20:48:23+00:00
340,TKT-00340,33F,EXECUTIVA,2026-02-25 12:21:06+00:00
341,TKT-00341,21E,ECONOMICA,2026-04-11 05:04:21+00:00
342,TKT-00342,39A,EXECUTIVA,2025-12-08 18:18:14+00:00
343,TKT-00343,19B,EXECUTIVA,2025-10-30 06:28:24+00:00
344,TKT-00344,26D,PRIMEIRA_CLASSE,2026-03-18 21:09:03+00:00
345,TKT-00345,13B,ECONOMICA,2025-07-27 16:09:02+00:00
346,TKT-00346,34F,ECONOMICA,2026-04-06 21:34:41+00:00
347,TKT-00347,37C,EXECUTIVA,2026-01-31 19:58:48+00:00
348,TKT-00348,10F,EXECUTIVA,2026-02-03 19:51:24+00:00
349,TKT-00349,6D,ECONOMICA,2025-09-11 04:52:45+00:00
350,TKT-00350,24C,ECONOMICA,2025-10-27 04:37:17+00:00
351,TKT-00351,20C,ECONOMICA,2025-09-08 01:35:52+00:00
352,TKT-00352,28F,ECONOMICA,2025-11-18 16:18:57+00:00
