numero_voo,aeronave_id,aeroporto_origem_id,aeroporto_destino_id,data_partida,data_chegada,status_id,preco_base
G35922,4385,1107,597,2026-05-31 20:22:19+00:00,2026-06-01 04:07:01.072097+00:00,615,1219.3
BA455,3695,443,4516,2025-11-19 01:31:03+00:00,2025-11-19 10:25:41.826516+00:00,714,1587.73
JJ7231,3279,3186,2004,2026-05-02 16:49:33+00:00,2026-05-02 20:19:04.108232+00:00,699,1840.96
EK6466,22,2757,642,2026-04-03 09:38:45+00:00,2026-04-03 15:55:46.359800+00:00,440,670.48
LH3679,141,4753,1404,2026-01-13 01:33:49+00:00,2026-01-13 04:37:19.170112+00:00,397,481.04
JJ4290,3585,3835,4477,2026-02-06 10:14:55+00:00,2026-02-06 13:32:16.880335+00:00,393,1577.76
LA379,870,1382,4731,2026-01-16 16:04:34+00:00,2026-01-17 00:35:22.930379+00:00,582,649.31
IB7417,3082,1717,2075,2026-06-01 05:45:37+00:00,2026-06-01 11:42:48.541698+00:00,509,491.14
TP9427,2106,4147,3830,2025-09-27 07:55:51+00:00,2025-09-27 12:19:46.758430+00:00,878,1220.67
AF3584,4091,2371,2099,2026-05-22 14:23:32+00:00,2026-05-22 22:35:01.131975+00:00,256,1098.2
JJ8903,836,1369,1093,2025-07-08 23:29:36+00:00,2025-07-09 07:50:52.140563+00:00,291,842.48
EK3442,4395,3916,2073,2026-03-28 11:51:57+00:00,2026-03-28 14:53:50.319614+00:00,653,1075.65
IB439,1997,566,1330,2025-12-05 19:01:42+00:00,2025-12-06 02:48:20.785370+00:00,6,584.65
JJ832,2612,3786,177,2025-06-06 11:27:48+00:00,2025-06-06 23:13:42.711810+00:00,408,1765.75
SQ3896,2078,2164,1594,2025-12-06 18:08:24+00:00,2025-12-06 20:59:06.257538+00:00,953,1823.19
G37003,1370,1297,1324,2026-04-25 22:50:50+00:00,2026-04-26 10:47:14.170334+00:00,626,304.83
G3101,1781,127,2525,2025-06-23 02:23:53+00:00,2025-06-23 14:25:57.388353+00:00,850,1691.05
IB5878,4462,662,1819,2026-01-22 02:36:27+00:00,2026-01-22 09:02:19.387588+00:00,729,202.4
IB708,4498,3834,1901,2025-11-16 09:46:47+00:00,2025-11-16 15:13:27.608624+00:00,944,1843.1
TP2964,4802,4877,459,2026-06-03 00:18:50+00:00,2026-06-03 07:07:27.565482+00:00,265,1838.12
IB6784,3585,3524,1384,2025-08-26 04:27:38+00:00,2025-08-26 17:39:37.105013+00:00,216,2325.19
UA9447,4640,1973,3572,2026-01-19 17:37:30+00:00,2026-01-19 20:38:24.366260+00:00,557,322.34
EK2004,58,4275,1374,2026-04-22 13:07:25+00:00,2026-04-22 22:59:06.066319+00:00,753,1174.57
JJ454,438,801,427,2025-11-25 12:42:15+00:00,2025-11-25 22:47:42.868676+00:00,586,701.7
AA8478,174,2990,4443,2025-11-11 07:19:21+00:00,2025-11-11 14:14:13.886607+00:00,347,1269.34
LH440,3997,1415,2398,2025-09-19 12:49:54+00:00,2025-09-19 21:00:46.907601+00:00,395,1740.47
AD1555,2513,4392,3487,2025-06-06 18:01:15+00:00,2025-06-07 04:50:30.192596+00:00,58,651.73
QR1302,3562,4509,475,2025-12-10 06:30:53+00:00,2025-12-10 16:11:42.744110+00:00,193,1860.96
AF9748,4798,3013,2784,2025-12-14 18:38:28+00:00,2025-12-14 23:01:06.474288+00:00,431,2249.84
AA5392,862,2345,908,2025-07-25 09:13:00+00:00,2025-07-25 22:49:33.111943+00:00,75,1951.67
IB8565,334,3570,421,2026-02-20 04:36:31+00:00,2026-02-20 12:00:08.782879+00:00,161,1492.23
AF5907,1685,4700,809,2026-01-10 01:56:31+00:00,2026-01-10 03:01:54.861075+00:00,409,668.92
LA8266,3934,3646,4688,2026-01-19 16:18:46+00:00,2026-01-19 18:11:20.543155+00:00,118,947.3
SQ8727,2645,33,1274,2026-04-27 14:18:25+00:00,2026-04-28 02:50:37.611303+00:00,475,657.75
IB5621,571,1160,4604,2025-09-05 09:07:45+00:00,2025-09-05 10:48:11.836165+00:00,859,1918.24
AF4606,3940,4442,1486,2025-11-02 13:43:12+00:00,2025-11-03 03:38:07.707621+00:00,88,1926.75
BA8022,2401,1118,845,2026-05-16 20:36:01+00:00,2026-05-17 07:56:17.174352+00:00,160,811.1
EK6154,1149,1227,243,2025-11-05 04:43:24+00:00,2025-11-05 11:46:04.220125+00:00,226,1246.76
AD1038,255,2651,3388,2025-11-30 04:32:53+00:00,2025-11-30 18:11:44.848146+00:00,255,2099.82
AF3769,4149,2952,744,2026-05-04 07:36:30+00:00,2026-05-04 18:35:38.583407+00:00,610,208.26
IB6208,3524,3518,2795,2025-06-28 03:04:49+00:00,2025-06-28 12:18:24.609687+00:00,275,1975.06
EK4511,2226,2113,1838,2025-09-03 08:51:03+00:00,2025-09-03 19:13:38.326085+00:00,582,664.34
DL7835,4458,739,2924,2026-02-06 00:35:26+00:00,2026-02-06 04:49:28.315603+00:00,299,766.79
SQ3963,2934,3722,3880,2025-10-02 02:35:08+00:00,2025-10-02 06:44:15.701885+00:00,235,2296.89
LH3114,2221,192,1548,2025-06-19 08:19:53+00:00,2025-06-19 18:07:05.970610+00:00,564,1317.8
DL4374,1152,1010,2235,2026-01-30 22:15:07+00:00,2026-01-31 04:21:19.599279+00:00,388,1743.52
IB2171,4522,1046,3274,2026-04-23 03:23:23+00:00,2026-04-23 15:11:23.002168+00:00,986,2208.97
AF2281,1248,2093,1835,2025-10-24 11:11:41+00:00,2025-10-24 12:56:52.449758+00:00,724,1367.74
AA4001,803,2079,1584,2025-06-20 10:20:57+00:00,2025-06-20 15:44:51.924789+00:00,437,850.49
BA4882,1240,1028,4279,2026-05-16 01:06:10+00:00,2026-05-16 09:32:53.240413+00:00,458,484.34
LH2282,2130,4667,3213,2026-05-09 21:46:13+00:00,2026-05-10 02:06:05.762924+00:00,915,1027.07
LA5137,4149,318,2364,2025-07-29 03:11:39+00:00,2025-07-29 08:42:57.194542+00:00,637,1965.23
AA7543,4494,4796,3407,2025-11-11 21:25:25+00:00,2025-11-11 22:33:03.489671+00:00,89,2113.28
TP7291,73,3901,268,2025-09-19 16:44:32+00:00,2025-09-19 21:19:34.224418+00:00,119,1773.57
QR2374,3148,282,3482,2026-02-23 20:53:43+00:00,2026-02-24 10:47:35.082065+00:00,782,342.34
QR1315,1837,3658,2978,2025-07-03 01:22:54+00:00,2025-07-03 12:36:34.528988+00:00,230,1948.78
AA2445,1929,3901,1782,2026-05-15 07:24:32+00:00,2026-05-15 10:05:49.243735+00:00,446,674.48
TP7158,4203,242,3750,2026-04-13 05:00:33+00:00,2026-04-13 16:54:29.569802+00:00,999,839.56
LH8304,4101,3449,4802,2026-03-30 11:25:39+00:00,2026-03-30 15:55:53.459212+00:00,211,1064.29
LA5670,4180,57,356,2025-12-30 10:40:58+00:00,2025-12-30 19:21:29.593975+00:00,405,1299.06
BA6871,3206,238,2583,2025-11-22 04:26:31+00:00,2025-11-22 18:23:01.118777+00:00,579,1073.41
LH2509,2646,672,739,2026-04-19 22:31:00+00:00,2026-04-20 08:23:38.435171+00:00,855,286.88
AA3926,2360,3870,3487,2025-08-15 02:25:23+00:00,2025-08-15 07:36:07.154180+00:00,896,1148.67
IB1327,3576,2102,229,2026-04-15 13:47:12+00:00,2026-04-15 23:04:16.259901+00:00,218,1984.55
IB3338,542,4393,1262,2025-08-27 10:08:09+00:00,2025-08-27 14:26:45.608088+00:00,702,626.78
G31453,5,2550,1930,2025-12-27 14:06:27+00:00,2025-12-28 04:03:01.842354+00:00,739,115.6
AF248,3058,4135,856,2026-01-20 21:30:37+00:00,2026-01-21 08:42:36.023153+00:00,639,320.63
AD4157,4326,3982,38,2025-10-29 08:57:38+00:00,2025-10-29 21:13:09.452821+00:00,321,1950.03
TP8823,2803,2146,2479,2026-03-01 05:00:23+00:00,2026-03-01 11:42:45.003256+00:00,840,450.08
SQ9747,640,779,896,2026-01-11 08:05:46+00:00,2026-01-11 19:40:48.742198+00:00,1,618.17
BA425,1258,4548,4291,2026-04-08 15:02:23+00:00,2026-04-08 16:40:16.005422+00:00,794,289.22
UA9988,1522,3981,4014,2025-11-16 10:03:18+00:00,2025-11-16 18:23:21.940517+00:00,717,2494.7
LA1980,1211,414,2044,2026-02-18 11:57:26+00:00,2026-02-18 19:44:34.642471+00:00,352,489.72
AA6930,4126,3089,2126,2025-12-23 20:30:05+00:00,2025-12-24 00:57:28.598446+00:00,368,1152.2
TP9996,223,4031,4600,2025-11-09 00:29:19+00:00,2025-11-09 13:59:51.391465+00:00,999,770.83
G34207,480,4905,1873,2025-07-01 02:52:19+00:00,2025-07-01 12:54:43.735843+00:00,916,2197.61
AD5667,4464,2489,1180,2025-10-15 08:13:32+00:00,2025-10-15 14:57:05.207926+00:00,71,1932.0
G32765,836,382,1371,2026-01-22 07:30:17+00:00,2026-01-22 16:58:41.449797+00:00,726,2003.24
SQ1483,4748,1071,52,2026-05-03 10:12:10+00:00,2026-05-03 16:40:48.554873+00:00,394,2174.19
TP4402,3611,3697,2716,2025-08-08 01:38:32+00:00,2025-08-08 05:54:30.188215+00:00,370,1042.33
EK1475,1848,2716,1713,2026-04-04 07:16:57+00:00,2026-04-04 14:44:50.634439+00:00,392,2190.45
DL5700,4352,675,2249,2025-06-14 14:19:24+00:00,2025-06-15 00:28:23.752640+00:00,588,398.56
BA2888,1539,129,1918,2025-11-10 21:00:03+00:00,2025-11-11 05:08:51.144734+00:00,409,2389.71
LA4629,4099,1011,2198,2026-04-15 14:27:52+00:00,2026-04-16 00:49:13.822644+00:00,74,1561.79
AF3920,1542,1704,4197,2026-03-11 05:53:43+00:00,2026-03-11 07:09:56.263668+00:00,831,2137.84
UA9633,1149,2639,3724,2025-10-01 07:48:25+00:00,2025-10-01 15:10:34.645190+00:00,453,1045.74
DL7464,188,2330,4557,2025-08-07 19:22:50+00:00,2025-08-08 05:03:04.803938+00:00,230,2439.64
LH4227,2513,3914,3145,2025-08-18 01:38:21+00:00,2025-08-18 15:03:13.701157+00:00,492,928.52
G31223,1715,1199,4036,2026-04-05 02:22:30+00:00,2026-04-05 12:01:45.111523+00:00,10,547.37
G35436,2471,3972,4933,2025-08-04 10:16:23+00:00,2025-08-04 21:46:32.412203+00:00,225,1532.75
AF9412,4485,955,2722,2026-04-07 12:44:16+00:00,2026-04-07 23:32:53.155410+00:00,502,770.01
DL1258,1621,924,552,2025-07-19 02:57:13+00:00,2025-07-19 16:51:30.207677+00:00,309,928.07
G37600,1854,263,1773,2026-01-05 15:24:17+00:00,2026-01-05 17:38:45.135947+00:00,450,1039.42
G33029,2254,1407,1458,2025-06-23 09:47:36+00:00,2025-06-23 22:15:25.331801+00:00,21,893.15
SQ4944,1696,2476,3535,2026-01-03 06:15:12+00:00,2026-01-03 15:51:52.540431+00:00,255,1593.18
BA6146,1656,2427,4837,2025-07-16 05:03:08+00:00,2025-07-16 14:40:14.754780+00:00,474,2050.44
LA2184,521,1661,627,2026-02-09 17:03:41+00:00,2026-02-10 03:38:05.847108+00:00,825,1802.97
G38935,3212,2468,2909,2026-03-12 06:51:09+00:00,2026-03-12 12:51:34.413467+00:00,925,1990.92
EK2397,2386,1742,2984,2025-07-18 07:54:03+00:00,2025-07-18 09:38:24.823063+00:00,700,2286.13
TP628,1352,1133,1823,2025-11-06 11:23:27+00:00,2025-11-06 17:58:47.052955+00:00,146,52.24
AF4996,2648,3047,2462,2025-11-15 04:45:25+00:00,2025-11-15 08:22:09.337969+00:00,649,1605.01
AF8638,1772,1162,4217,2026-04-10 15:26:52+00:00,2026-04-10 22:00:51.173159+00:00,305,862.75
UA5066,3891,2974,3804,2025-12-29 05:37:49+00:00,2025-12-29 07:53:50.082586+00:00,679,1534.57
TP9697,262,3512,994,2025-06-14 16:07:57+00:00,2025-06-14 17:41:59.800432+00:00,27,1122.12
AF205,966,3766,2335,2026-01-27 14:45:30+00:00,2026-01-27 17:59:18.788725+00:00,651,1610.61
QR6113,127,4581,1809,2025-11-18 20:24:26+00:00,2025-11-19 01:56:13.508395+00:00,555,1813.67
LH5827,1026,1156,1170,2026-02-09 13:55:52+00:00,2026-02-10 01:36:06.943445+00:00,178,1944.3
LA4468,568,1288,2395,2026-04-17 02:40:42+00:00,2026-04-17 09:09:14.547804+00:00,283,1230.58
DL8255,640,2447,1809,2025-10-01 20:36:45+00:00,2025-10-01 22:31:22.537953+00:00,102,1253.94
AD1826,3822,3581,477,2026-04-20 00:56:50+00:00,2026-04-20 14:51:00.067581+00:00,59,1031.68
AF9244,4171,4995,109,2026-02-21 11:41:49+00:00,2026-02-21 20:44:12.150054+00:00,488,751.83
EK8856,4107,4880,2771,2025-12-22 19:22:55+00:00,2025-12-23 00:16:47.774398+00:00,884,929.6
AF1382,4000,4516,3880,2025-11-07 13:01:00+00:00,2025-11-07 19:07:23.797959+00:00,97,2230.95
AD5974,639,3158,850,2025-06-07 11:41:14+00:00,2025-06-07 15:05:50.490395+00:00,468,1412.34
AA3939,4891,2561,413,2026-05-29 09:33:18+00:00,2026-05-29 18:25:08.764121+00:00,76,689.38
G37089,1968,1473,4658,2026-03-18 16:53:57+00:00,2026-03-19 00:01:54.995759+00:00,139,723.68
AF5651,4990,2419,1299,2026-05-25 08:20:16+00:00,2026-05-25 20:41:18.074697+00:00,331,1570.24
DL545,3503,3333,664,2025-09-05 08:40:03+00:00,2025-09-05 16:58:19.010247+00:00,468,211.32
AA6595,119,4127,2115,2026-03-21 19:47:36+00:00,2026-03-22 06:14:51.256902+00:00,872,2329.65
AD6739,494,288,2627,2026-01-28 23:48:44+00:00,2026-01-29 02:28:07.096652+00:00,928,1026.76
G33080,2435,4351,3061,2026-02-19 10:30:11+00:00,2026-02-20 00:03:12.306514+00:00,446,1396.55
QR7523,2901,3607,1712,2025-08-26 20:41:56+00:00,2025-08-27 08:24:22.797811+00:00,844,1591.01
TP1882,2016,840,3980,2025-08-01 03:05:35+00:00,2025-08-01 06:56:31.274424+00:00,975,2135.81
AD1639,927,35,4127,2025-07-31 22:12:02+00:00,2025-08-01 11:06:16.852846+00:00,833,1555.83
QR310,2518,578,1078,2025-08-17 16:42:44+00:00,2025-08-18 00:57:16.879822+00:00,95,1032.5
DL3345,4374,4270,4397,2025-09-28 17:18:23+00:00,2025-09-29 03:36:37.577644+00:00,119,482.08
AD773,3354,4993,4198,2026-01-11 09:57:43+00:00,2026-01-11 11:47:19.149145+00:00,592,637.04
LH250,1804,4673,3482,2026-04-02 04:23:45+00:00,2026-04-02 07:30:30.222544+00:00,344,2401.78
EK7997,276,3098,1908,2025-11-25 20:39:29+00:00,2025-11-26 05:03:05.756919+00:00,362,394.76
EK7478,4081,3174,4550,2026-03-04 01:38:41+00:00,2026-03-04 12:56:48.934573+00:00,46,340.93
G34211,3582,4709,1589,2025-08-07 12:45:25+00:00,2025-08-08 02:27:13.651312+00:00,732,1815.13
G37957,2637,449,3745,2026-05-31 20:47:00+00:00,2026-06-01 01:27:12.662396+00:00,411,646.06
EK8651,3239,3620,4301,2025-11-25 07:09:47+00:00,2025-11-25 10:38:20.533279+00:00,283,989.11
EK8251,194,2994,2405,2026-05-11 07:02:55+00:00,2026-05-11 15:55:31.025256+00:00,624,592.96
IB1340,19,4951,1745,2026-01-11 04:24:15+00:00,2026-01-11 14:42:00.877071+00:00,35,741.01
BA6669,2802,1848,3498,2025-06-08 07:52:31+00:00,2025-06-08 21:29:40.416844+00:00,279,90.53
JJ501,4696,3520,3838,2025-12-18 15:34:11+00:00,2025-12-18 17:27:30.881876+00:00,428,1501.79
AF5752,2899,3102,2198,2026-03-31 18:20:10+00:00,2026-03-31 21:44:07.197033+00:00,437,1246.8
G37568,4645,1901,544,2026-03-08 19:51:26+00:00,2026-03-09 02:20:00.994399+00:00,602,1928.04
QR9561,3883,2796,4667,2025-09-08 10:04:41+00:00,2025-09-08 20:39:27.610412+00:00,704,1000.84
BA2536,736,3013,1128,2025-09-09 09:43:06+00:00,2025-09-09 11:14:27.889375+00:00,885,1409.49
LH2689,1521,3359,1425,2026-02-21 17:34:44+00:00,2026-02-21 18:40:00.904838+00:00,85,1258.03
SQ5042,2753,2985,3713,2026-04-05 13:25:26+00:00,2026-04-05 16:21:29.691250+00:00,588,1604.11
AF3486,1758,1174,2232,2025-12-09 09:09:09+00:00,2025-12-09 10:11:41.093569+00:00,908,608.04
DL8757,1134,2606,1944,2025-06-19 08:54:32+00:00,2025-06-19 19:58:18.287424+00:00,974,1982.82
AA2175,2317,2571,1945,2025-12-25 04:21:12+00:00,2025-12-25 08:59:05.506629+00:00,331,952.83
SQ7705,4267,942,1510,2025-06-06 18:07:48+00:00,2025-06-07 03:52:09.236060+00:00,650,1015.71
JJ1271,3536,896,3494,2026-06-01 04:48:13+00:00,2026-06-01 16:32:34.274320+00:00,410,687.84
DL132,2016,499,1731,2025-09-20 18:36:40+00:00,2025-09-21 08:16:14.011734+00:00,792,349.44
AF4904,2596,3004,2106,2026-04-07 09:53:34+00:00,2026-04-07 12:25:33.608893+00:00,320,1416.29
EK5068,2210,4439,4453,2025-08-13 08:50:05+00:00,2025-08-13 19:37:16.439527+00:00,961,2439.67
DL8945,4104,878,3648,2026-01-26 16:17:22+00:00,2026-01-27 04:26:44.743261+00:00,356,1263.7
SQ641,3952,4474,3903,2025-12-30 02:26:05+00:00,2025-12-30 09:50:43.966975+00:00,880,1510.68
QR999,4472,1167,4073,2025-10-29 22:12:09+00:00,2025-10-30 01:48:40.010636+00:00,275,779.51
JJ7825,80,136,4680,2026-06-01 10:37:33+00:00,2026-06-01 16:30:59.016925+00:00,559,1601.81
AD6474,3582,436,4667,2025-06-21 04:21:55+00:00,2025-06-21 14:46:35.538178+00:00,409,2181.97
AA6865,1721,1741,1614,2025-08-13 04:52:22+00:00,2025-08-13 12:26:44.142145+00:00,738,1446.6
JJ5990,2902,3011,2521,2025-06-16 17:04:13+00:00,2025-06-16 19:58:21.477640+00:00,851,1008.27
UA9607,3728,2236,4090,2026-04-24 09:55:11+00:00,2026-04-24 20:16:48.601779+00:00,713,1346.7
AA4002,4976,4337,4198,2025-09-07 09:09:04+00:00,2025-09-07 18:44:47.968787+00:00,485,523.74
IB6820,4058,4231,1193,2026-04-30 08:12:28+00:00,2026-04-30 21:38:22.260221+00:00,492,999.54
UA4449,1051,4814,1195,2025-09-12 03:55:40+00:00,2025-09-12 06:53:03.961562+00:00,366,1178.35
AA1628,2227,3756,1806,2026-03-23 15:46:12+00:00,2026-03-23 16:53:14.676009+00:00,409,958.85
LH3803,2472,1129,2481,2026-01-22 10:14:49+00:00,2026-01-22 19:23:53.493196+00:00,113,1650.88
BA7889,1817,3878,2276,2025-09-08 09:12:24+00:00,2025-09-08 22:38:39.485142+00:00,761,895.57
G37822,1743,3082,4553,2025-09-24 02:55:57+00:00,2025-09-24 11:01:46.617015+00:00,599,1998.26
AF7999,2735,4654,4017,2025-08-13 08:36:50+00:00,2025-08-13 20:10:08.427726+00:00,388,2119.75
AA1658,546,4562,22,2025-09-07 00:14:06+00:00,2025-09-07 06:25:20.275631+00:00,23,2295.13
AF4986,2104,853,2306,2026-03-15 03:36:56+00:00,2026-03-15 14:30:12.922556+00:00,719,2302.46
G38818,3350,4763,2008,2026-03-10 22:23:53+00:00,2026-03-11 06:56:52.686629+00:00,900,1376.26
G31941,2239,486,1215,2025-08-24 10:36:10+00:00,2025-08-24 23:34:01.600243+00:00,432,1746.41
EK7512,960,3447,3102,2025-06-20 08:06:05+00:00,2025-06-20 13:04:11.324145+00:00,773,1146.4
LH567,326,3308,262,2025-10-06 11:11:36+00:00,2025-10-06 16:38:31.568566+00:00,66,2249.47
AD3523,2772,4357,472,2026-03-20 13:02:05+00:00,2026-03-21 02:41:25.778738+00:00,596,1145.65
AF7902,2825,3442,3551,2025-10-30 10:16:47+00:00,2025-10-30 20:03:46.480241+00:00,350,1870.96
G3690,4931,3150,3877,2025-12-14 14:58:29+00:00,2025-12-15 01:34:11.657966+00:00,960,437.06
AA8374,506,1848,1151,2026-03-14 01:07:19+00:00,2026-03-14 10:19:08.883116+00:00,972,764.97
SQ6408,2317,2124,966,2025-07-27 23:16:12+00:00,2025-07-28 02:47:08.124375+00:00,654,593.28
QR7310,3282,3021,3684,2025-07-21 06:27:17+00:00,2025-07-21 17:26:49.053114+00:00,231,1285.26
IB1829,233,805,4521,2026-02-05 05:53:57+00:00,2026-02-05 09:41:09.598043+00:00,155,841.64
JJ7440,3106,2632,2075,2026-03-07 01:52:18+00:00,2026-03-07 06:19:37.426235+00:00,339,2351.46
IB5046,903,1733,1300,2025-07-21 11:08:37+00:00,2025-07-22 00:48:06.945167+00:00,548,2216.68
IB3483,3749,1419,159,2025-06-26 02:26:49+00:00,2025-06-26 10:48:01.637239+00:00,256,2154.3
LA5245,1544,2166,162,2026-05-16 15:28:00+00:00,2026-05-17 04:50:06.931778+00:00,359,2243.56
EK2485,4644,1323,3985,2026-04-14 19:38:17+00:00,2026-04-15 04:21:31.826901+00:00,409,936.58
AA4783,4018,1876,1446,2025-08-13 03:17:12+00:00,2025-08-13 13:49:05.322338+00:00,364,2299.37
TP431,146,961,3545,2025-08-22 10:46:29+00:00,2025-08-22 19:22:29.441443+00:00,787,2396.37
LH8396,1262,1688,4445,2025-06-28 20:17:01+00:00,2025-06-29 01:20:10.513478+00:00,139,517.36
JJ2288,79,4985,2218,2025-06-17 23:06:09+00:00,2025-06-18 02:00:41.964515+00:00,960,1296.2
AD9342,4331,270,4387,2026-04-08 18:19:47+00:00,2026-04-08 22:15:10.995602+00:00,450,1857.27
G39379,716,1464,2342,2025-09-02 14:15:29+00:00,2025-09-02 20:52:40.134521+00:00,204,2029.71
IB3646,2459,131,3135,2026-02-22 21:07:45+00:00,2026-02-22 23:08:46.577182+00:00,186,2056.44
G3720,5000,2982,2356,2026-05-21 12:28:49+00:00,2026-05-21 18:17:21.509122+00:00,147,1324.31
BA117,3382,4360,3720,2025-12-31 23:42:47+00:00,2026-01-01 12:05:10.844637+00:00,559,406.75
AA6292,4697,1083,489,2026-05-18 22:07:02+00:00,2026-05-19 11:00:28.412115+00:00,822,870.24
