nome,codigo_iata,codigo_icao,cidade_id,latitude,longitude,altitude_metros,fuso_horario,ativo
Aeroporto Cassiano Grande,ABX,AABX,242,-65.966839,80.975778,1802,Africa/Cairo,True
Aeroporto Fonseca Verde,ABY,AABY,462,22.441284,160.502335,220,Europe/London,True
Aeroporto da Conceição,ABZ,AABZ,234,-5.125258,117.908829,463,America/New_York,True
Aeroporto da Rosa de Minas,ACA,AACA,816,47.323847,-25.771219,2234,America/Mexico_City,True
Aeroporto Nunes do Oeste,ACB,AACB,654,-9.356221,61.595575,2298,Asia/Singapore,True
Aeroporto Silveira,ACC,AACC,595,-31.867062,-86.583568,3646,Asia/Kolkata,True
Aeroporto Vieira do Amparo,ACD,AACD,322,-53.545492,8.939274,4461,America/Buenos_Aires,True
Aeroporto Mendonça,ACE,AACE,41,61.738726,89.620908,3791,Pacific/Auckland,True
Aeroporto Peixoto,ACF,AACF,598,-78.335647,-2.119499,475,America/Buenos_Aires,True
Aeroporto Andrade Verde,ACG,AACG,379,1.786998,39.06882,3199,Europe/Paris,True
Aeroporto Barros do Norte,ACH,AACH,564,-52.182381,-85.113164,4192,Asia/Singapore,True
Aeroporto Ferreira das Pedras,ACI,AACI,538,-85.886255,-124.000344,138,Africa/Johannesburg,True
Aeroporto Campos de Goiás,ACJ,AACJ,82,-62.831218,33.724016,891,Europe/Paris,True
Aeroporto Porto,ACK,AACK,647,51.543228,36.945807,2733,America/Toronto,True
Aeroporto Aragão da Mata,ACL,AACL,900,55.310423,-144.083418,4423,Pacific/Auckland,True
Aeroporto Dias,ACM,AACM,868,28.019388,94.470459,4184,Asia/Seoul,True
Aeroporto Duarte,ACN,AACN,828,-85.220478,117.907158,57,Asia/Dubai,True
Aeroporto Cassiano,ACO,AACO,779,62.965751,34.556594,970,America/New_York,True
Aeroporto Rocha,ACP,AACP,136,-50.499708,100.560877,1179,Asia/Dubai,True
Aeroporto Machado Verde,ACQ,AACQ,915,-48.425802,-81.035655,4189,Africa/Johannesburg,True
Aeroporto Câmara,ACR,AACR,448,29.04353,38.689899,3720,America/New_York,True
Aeroporto da Rocha das Flores,ACS,AACS,324,-82.03703,-3.301273,3770,Pacific/Auckland,True
Aeroporto Cardoso,ACT,AACT,883,3.341592,82.658059,1845,Europe/Berlin,True
Aeroporto Barros do Amparo,ACU,AACU,708,-9.70361,108.131761,3622,Europe/Madrid,True
Aeroporto Novaes,ACV,AACV,785,-59.25447,109.941177,1786,America/Los_Angeles,True
Aeroporto da Luz de Minas,ACW,AACW,349,23.782611,65.284401,2607,Asia/Singapore,True
Aeroporto Montenegro das Pedras,ACX,AACX,34,-25.654248,51.734684,4299,Australia/Sydney,True
Aeroporto Teixeira,ACY,AACY,692,67.891338,-99.848274,2243,America/Mexico_City,True
Aeroporto Mendes,ACZ,AACZ,270,-81.951754,-47.647984,4170,America/Buenos_Aires,True
Aeroporto Mendonça,ADA,AADA,996,-76.257016,-156.999097,3959,America/New_York,True
Aeroporto Rezende Verde,ADB,AADB,719,-71.567509,-125.141621,1858,Africa/Cairo,True
Aeroporto Novais,ADC,AADC,872,-81.140478,-35.785315,3636,America/Los_Angeles,True
Aeroporto da Cruz,ADD,AADD,769,-19.162088,156.381778,4373,America/Bogota,True
Aeroporto da Mata,ADE,AADE,39,14.900278,-22.352189,3689,America/Bogota,True
Aeroporto Duarte Verde,ADF,AADF,55,67.267861,-128.835492,2478,Asia/Seoul,True
Aeroporto Camargo,ADG,AADG,366,-13.256697,-74.90789,3375,Australia/Sydney,True
Aeroporto Lima da Praia,ADH,AADH,301,-85.546849,94.061725,1899,Asia/Seoul,True
Aeroporto Correia Alegre,ADI,AADI,877,-13.090867,-72.661271,177,America/Chicago,True
Aeroporto Peixoto do Sul,ADJ,AADJ,961,-65.751739,-65.052719,1791,Asia/Seoul,True
Aeroporto Cavalcante da Praia,ADK,AADK,678,-52.503728,-137.150924,4081,Asia/Shanghai,True
Aeroporto Pinto de Casa Grande,ADL,AADL,940,-61.169947,147.604335,1206,Africa/Johannesburg,True
Aeroporto Aparecida de da Conceição,ADM,AADM,107,1.627912,166.223489,1707,America/Mexico_City,False
Aeroporto Rodrigues,ADN,AADN,579,59.375946,-60.686378,3017,America/Mexico_City,True
Aeroporto Cassiano de Minas,ADO,AADO,658,-60.538065,115.792385,1856,Europe/Paris,True
Aeroporto Sousa,ADP,AADP,385,63.816559,85.099683,565,America/Buenos_Aires,True
Aeroporto da Cruz,ADQ,AADQ,757,-44.227892,-90.921989,3545,Asia/Dubai,False
Aeroporto da Paz,ADR,AADR,478,73.868763,-72.039201,3148,Australia/Sydney,True
Aeroporto Fernandes,ADS,AADS,399,-58.196524,-135.960581,2922,America/Buenos_Aires,True
Aeroporto das Neves,ADT,AADT,85,75.884061,-4.65978,941,Asia/Kolkata,True
Aeroporto Melo de Almeida,ADU,AADU,4,-29.399381,161.389651,1356,America/Chicago,True
Aeroporto Costela da Prata,ADV,AADV,97,-17.191892,18.652103,2348,America/Los_Angeles,True
Aeroporto Costela,ADW,AADW,782,-36.026659,-81.555331,3928,Asia/Dubai,True
Aeroporto Novaes do Amparo,ADX,AADX,60,36.942012,-88.147605,1666,America/Mexico_City,True
Aeroporto Sales,ADY,AADY,461,-38.195723,84.939844,1052,America/Lima,True
Aeroporto Garcia,ADZ,AADZ,881,-67.432512,-34.175486,1977,Europe/Berlin,True
Aeroporto da Cunha,AEA,AAEA,30,56.143396,-27.089144,2849,America/Toronto,False
Aeroporto Araújo,AEB,AAEB,744,26.245737,-41.590503,1533,America/Los_Angeles,True
Aeroporto Costa Paulista,AEC,AAEC,194,-15.189098,-17.12884,1008,America/Bogota,True
Aeroporto Martins,AED,AAED,426,-15.504671,162.91674,12,Europe/London,True
Aeroporto Azevedo,AEE,AAEE,765,-19.051862,-93.416289,1424,America/New_York,True
Aeroporto Ribeiro Paulista,AEF,AAEF,870,60.891649,-131.889776,1803,Europe/Rome,True
Aeroporto Caldeira do Sul,AEG,AAEG,558,-82.868791,143.871975,1710,America/Toronto,True
Aeroporto Rezende das Flores,AEH,AAEH,434,9.670812,140.797183,3999,Asia/Shanghai,True
Aeroporto Garcia,AEI,AAEI,17,-73.118278,131.127946,591,Asia/Tokyo,True
Aeroporto Dias,AEJ,AAEJ,312,-40.305928,-34.702058,2247,Europe/Lisbon,False
Aeroporto Peixoto de Nascimento,AEK,AAEK,169,-51.968025,99.671064,2870,America/Chicago,True
Aeroporto Cirino,AEL,AAEL,872,-18.818479,-50.221259,2516,Europe/London,True
Aeroporto Montenegro,AEM,AAEM,386,56.440102,-140.384278,3143,Europe/Madrid,True
Aeroporto Novais de Silva,AEN,AAEN,132,-21.670191,-156.065626,2922,America/Toronto,True
Aeroporto Aparecida,AEO,AAEO,391,70.853022,48.134044,2916,America/Lima,True
Aeroporto Moura,AEP,AAEP,655,-57.112614,66.711276,3077,Europe/Rome,True
Aeroporto Farias do Amparo,AEQ,AAEQ,306,19.414072,-170.522709,4485,Asia/Tokyo,False
Aeroporto Souza da Serra,AER,AAER,184,43.731198,-59.57188,520,America/Toronto,True
Aeroporto Ferreira,AES,AAES,214,59.713827,101.44633,2220,Asia/Seoul,True
Aeroporto Fogaça da Mata,AET,AAET,700,-43.952763,17.757539,3941,Europe/London,True
Aeroporto Montenegro,AEU,AAEU,933,6.469861,26.158648,2463,Australia/Sydney,True
Aeroporto Araújo Paulista,AEV,AAEV,980,-47.983473,-89.031261,2958,Europe/Rome,True
Aeroporto Alves da Prata,AEW,AAEW,757,35.236171,-45.435109,3950,Europe/Lisbon,True
Aeroporto Câmara Grande,AEX,AAEX,203,-63.212958,-146.593803,2135,America/Mexico_City,True
Aeroporto Gonçalves Grande,AEY,AAEY,469,4.676965,-12.039582,2595,Europe/Berlin,True
Aeroporto Siqueira,AEZ,AAEZ,896,33.876661,-75.775237,2639,Europe/Lisbon,True
Aeroporto Moreira de Goiás,AFA,AAFA,508,27.113668,-27.026683,4209,Europe/Berlin,True
Aeroporto da Costa Verde,AFB,AAFB,542,54.790409,0.737444,489,America/Los_Angeles,True
Aeroporto Lima,AFC,AAFC,549,-3.523812,-92.444844,2556,Europe/Berlin,True
Aeroporto Pereira Alegre,AFD,AAFD,333,-73.422142,-156.62775,1874,Asia/Kolkata,True
Aeroporto Nogueira de Cardoso,AFE,AAFE,423,-59.250556,-142.601507,121,Australia/Sydney,True
Aeroporto Rezende,AFF,AAFF,80,8.782678,-144.965589,3320,Africa/Cairo,True
Aeroporto Pacheco,AFG,AAFG,434,-35.785386,-60.959345,3720,America/New_York,True
Aeroporto Carvalho,AFH,AAFH,562,27.305608,-179.172147,3504,America/Lima,True
Aeroporto Sales do Galho,AFI,AAFI,251,76.40959,79.734966,3049,Europe/Rome,True
Aeroporto Lopes,AFJ,AAFJ,761,-54.688332,-34.472024,432,Europe/Paris,True
Aeroporto Rezende,AFK,AAFK,190,82.608774,-24.574603,2746,Africa/Cairo,True
Aeroporto Dias,AFL,AAFL,344,73.791651,-173.207921,2674,Europe/London,True
Aeroporto Novais,AFM,AAFM,759,-72.796242,-75.860604,1256,America/Sao_Paulo,True
Aeroporto Cirino,AFN,AAFN,492,-83.399727,-66.586646,2097,Asia/Tokyo,True
Aeroporto Casa Grande do Sul,AFO,AAFO,580,-64.49985,-145.638548,3291,Asia/Kolkata,True
Aeroporto Jesus das Pedras,AFP,AAFP,211,62.784818,6.950443,1054,Europe/London,True
Aeroporto Macedo Paulista,AFQ,AAFQ,285,-83.275514,176.836968,1901,America/Lima,True
Aeroporto Vasconcelos,AFR,AAFR,681,-58.301862,-45.922234,1145,Africa/Cairo,False
Aeroporto Caldeira,AFS,AAFS,984,29.385879,41.02172,379,America/Chicago,True
Aeroporto Cirino,AFT,AAFT,213,-43.915323,-69.570976,1831,America/Lima,True
Aeroporto Teixeira,AFU,AAFU,234,25.513623,-49.097809,4235,Asia/Dubai,True
Aeroporto Pereira Verde,AFV,AAFV,120,53.389273,-123.003409,2082,Asia/Tokyo,True
Aeroporto Peixoto,AFW,AAFW,422,32.269484,-60.027636,1774,Europe/Lisbon,True
Aeroporto da Conceição,AFX,AAFX,410,-36.287814,109.496608,3626,Asia/Kolkata,True
Aeroporto Fogaça,AFY,AAFY,178,-42.532402,4.319578,3517,Europe/Berlin,True
Aeroporto Sales,AFZ,AAFZ,764,-80.188422,111.686335,2921,Europe/Madrid,True
Aeroporto Carvalho de Montenegro,AGA,AAGA,465,24.598332,-9.520762,1986,Europe/Rome,True
Aeroporto Silva de Rezende,AGB,AAGB,564,24.655723,-50.21165,3865,Europe/Madrid,True
Aeroporto Cirino das Flores,AGC,AAGC,855,49.391466,-59.540996,1454,Asia/Dubai,True
Aeroporto Melo de Carvalho,AGD,AAGD,414,-23.233264,-60.294375,543,Europe/Rome,True
Aeroporto Correia,AGE,AAGE,919,-19.784389,-123.22582,2017,Africa/Cairo,True
Aeroporto Andrade,AGF,AAGF,635,74.902028,-30.06392,862,Europe/Rome,True
Aeroporto Teixeira do Sul,AGG,AAGG,379,-50.548411,-34.444878,3038,Europe/Paris,True
Aeroporto Jesus de Goiás,AGH,AAGH,453,49.941845,161.630002,3226,Asia/Kolkata,True
Aeroporto Sá,AGI,AAGI,683,-48.001457,-104.983802,3340,Europe/London,True
Aeroporto Azevedo,AGJ,AAGJ,902,47.857029,18.519939,2777,America/Toronto,True
Aeroporto Macedo,AGK,AAGK,297,-53.541365,147.881944,3180,Australia/Sydney,True
Aeroporto Sales de Duarte,AGL,AAGL,155,-36.394159,-58.048286,670,Europe/Paris,True
Aeroporto da Cruz de Lima,AGM,AAGM,885,26.075034,156.244228,1609,America/Toronto,True
Aeroporto Vasconcelos do Norte,AGN,AAGN,954,-49.571001,-82.276758,2347,Asia/Kolkata,True
Aeroporto Silveira Alegre,AGO,AAGO,513,44.834923,-91.313637,214,Asia/Kolkata,True
Aeroporto Pimenta Verde,AGP,AAGP,403,41.531231,-127.038605,3853,America/Lima,True
Aeroporto Moreira,AGQ,AAGQ,631,19.515333,140.19079,4475,Africa/Johannesburg,True
Aeroporto Machado,AGR,AAGR,99,-26.192766,-99.142777,4096,America/Chicago,True
Aeroporto Aparecida de da Cruz,AGS,AAGS,919,50.690076,56.080327,3783,America/Chicago,False
Aeroporto Sousa do Norte,AGT,AAGT,24,-0.521498,-105.041068,1071,Asia/Dubai,True
Aeroporto Moreira do Norte,AGU,AAGU,708,-60.111689,118.835154,33,America/Los_Angeles,True
Aeroporto da Rocha,AGV,AAGV,629,-13.749788,-6.489519,156,America/Buenos_Aires,True
Aeroporto Gonçalves de da Rosa,AGW,AAGW,396,41.744788,26.582701,965,Europe/London,True
Aeroporto Martins da Serra,AGX,AAGX,293,-18.318259,-109.274647,2439,Asia/Seoul,True
Aeroporto da Rocha do Norte,AGY,AAGY,189,-31.803348,-79.930384,1180,America/Toronto,True
Aeroporto Martins,AGZ,AAGZ,852,23.910237,-40.10385,2429,Asia/Shanghai,True
Aeroporto Borges de Silveira,AHA,AAHA,211,75.088996,-111.148229,891,Asia/Singapore,True
Aeroporto Cirino,AHB,AAHB,954,15.314281,110.349272,2462,America/Sao_Paulo,True
Aeroporto Gonçalves,AHC,AAHC,841,13.078339,2.025759,654,Africa/Johannesburg,True
Aeroporto Duarte dos Dourados,AHD,AAHD,658,-15.54994,147.975552,2393,America/Lima,True
Aeroporto Cavalcanti,AHE,AAHE,636,-16.200357,176.246814,209,Asia/Kolkata,True
Aeroporto Pastor de Silva,AHF,AAHF,564,-49.64465,-61.690836,908,America/New_York,True
Aeroporto Marques,AHG,AAHG,399,-70.661489,-54.034434,225,America/Los_Angeles,True
Aeroporto da Cunha,AHH,AAHH,736,-45.558268,36.587504,277,Asia/Seoul,True
Aeroporto Sales da Serra,AHI,AAHI,200,-49.244146,-82.016866,2227,Europe/Berlin,True
Aeroporto Borges,AHJ,AAHJ,682,-14.53283,-6.468776,1680,Africa/Johannesburg,True
Aeroporto Santos,AHK,AAHK,814,-71.929644,-163.587429,4468,America/Mexico_City,True
Aeroporto Porto de Fonseca,AHL,AAHL,746,-78.826258,-154.382842,3556,Australia/Sydney,True
Aeroporto Moura,AHM,AAHM,39,-76.695582,-89.623654,4459,America/Chicago,True
Aeroporto Siqueira do Galho,AHN,AAHN,11,85.557525,28.203086,680,Asia/Seoul,False
Aeroporto Garcia,AHO,AAHO,869,-33.920905,143.625056,1323,America/New_York,True
Aeroporto Aparecida da Serra,AHP,AAHP,576,59.542866,-29.797519,3416,America/Los_Angeles,True
Aeroporto Nunes Grande,AHQ,AAHQ,558,89.865324,89.276302,592,America/Bogota,True
Aeroporto Casa Grande,AHR,AAHR,253,-37.443947,-136.082196,1643,Europe/Rome,True
Aeroporto Vargas,AHS,AAHS,761,78.216294,-71.149171,2139,Europe/London,True
Aeroporto Leão,AHT,AAHT,215,-32.534732,-153.112632,502,America/Mexico_City,True
Aeroporto das Neves dos Dourados,AHU,AAHU,688,-72.689694,121.440036,816,Europe/Berlin,True
Aeroporto Pires da Serra,AHV,AAHV,392,-79.423077,-63.386822,3936,America/Los_Angeles,True
Aeroporto Cardoso,AHW,AAHW,905,-74.446128,-1.615537,1665,Europe/London,True
Aeroporto Abreu,AHX,AAHX,101,14.934019,-68.602654,132,Europe/London,True
Aeroporto Albuquerque dos Dourados,AHY,AAHY,476,30.421243,-178.449082,4266,America/Buenos_Aires,True
Aeroporto Monteiro de Nogueira,AHZ,AAHZ,91,-37.920927,-137.076805,4371,Asia/Singapore,True
Aeroporto Pereira,AIA,AAIA,307,-32.919518,147.110019,615,Asia/Seoul,True
Aeroporto da Costa de Cunha,AIB,AAIB,219,84.555507,-8.48273,4178,Asia/Shanghai,True
Aeroporto Marques de Jesus,AIC,AAIC,302,64.833533,-112.491973,587,Europe/Madrid,True
Aeroporto Barros de Peixoto,AID,AAID,988,-75.655604,150.469446,4090,Europe/Lisbon,True
Aeroporto da Cruz,AIE,AAIE,114,28.371837,-43.577702,2345,Europe/Paris,True
Aeroporto Pinto da Prata,AIF,AAIF,156,-68.585329,-77.7748,392,America/Chicago,True
Aeroporto Aragão,AIG,AAIG,85,75.614627,-101.593805,421,Asia/Kolkata,True
Aeroporto Casa Grande,AIH,AAIH,444,83.846116,-113.203403,544,Asia/Kolkata,True
Aeroporto Rezende,AII,AAII,834,-28.009083,-119.800549,2647,Europe/Paris,True
Aeroporto Andrade Grande,AIJ,AAIJ,509,43.12686,141.631628,16,Europe/London,True
Aeroporto Rios,AIK,AAIK,290,-2.419416,111.141386,3821,America/Lima,True
Aeroporto Farias de Minas,AIL,AAIL,722,20.444712,7.414708,2940,Asia/Kolkata,True
Aeroporto Caldeira,AIM,AAIM,290,1.203043,173.510929,1809,America/New_York,False
Aeroporto Cavalcanti da Serra,AIN,AAIN,109,16.352473,46.32051,2791,Asia/Kolkata,True
Aeroporto Pimenta Verde,AIO,AAIO,962,29.413446,-35.319446,2995,Asia/Shanghai,True
Aeroporto Marques,AIP,AAIP,304,69.572286,126.625602,1509,Asia/Singapore,True
Aeroporto Andrade de Minas,AIQ,AAIQ,89,-7.976747,-39.70214,1091,Asia/Seoul,True
Aeroporto Duarte da Praia,AIR,AAIR,415,-23.947501,-86.763401,65,Australia/Sydney,False
Aeroporto Azevedo das Pedras,AIS,AAIS,44,-75.059441,129.247713,2248,America/Los_Angeles,True
Aeroporto da Rocha,AIT,AAIT,6,87.629158,-43.893697,3448,Europe/Paris,True
Aeroporto Carvalho de Campos,AIU,AAIU,807,36.078064,-19.771304,840,America/Sao_Paulo,False
Aeroporto Farias do Galho,AIV,AAIV,654,86.483787,-31.733978,4435,America/Bogota,True
Aeroporto Moura do Oeste,AIW,AAIW,279,87.889583,109.514508,821,Australia/Sydney,True
Aeroporto Pimenta,AIX,AAIX,145,-88.612619,-33.24822,1574,Pacific/Auckland,True
Aeroporto Caldeira,AIY,AAIY,125,-26.788616,105.387698,1321,Europe/London,True
Aeroporto Mendes,AIZ,AAIZ,566,-63.345021,-117.003878,1269,Europe/Lisbon,False
Aeroporto Lima Alegre,AJA,AAJA,285,-5.212358,131.878151,4309,Europe/Berlin,True
Aeroporto Moura Verde,AJB,AAJB,621,16.389949,-73.022312,10,Europe/Rome,True
Aeroporto Cardoso Verde,AJC,AAJC,744,45.235677,-83.528429,948,Europe/Madrid,True
Aeroporto Moreira de Siqueira,AJD,AAJD,801,-71.679628,-138.433963,2017,Asia/Shanghai,True
Aeroporto Monteiro de Cirino,AJE,AAJE,846,63.53891,98.749198,1591,Asia/Tokyo,True
Aeroporto Santos,AJF,AAJF,967,-10.260671,-127.577195,4346,America/Lima,True
Aeroporto Correia do Sul,AJG,AAJG,846,-88.621958,154.613132,2369,America/Los_Angeles,True
Aeroporto Alves,AJH,AAJH,959,29.682865,164.340908,335,America/Bogota,True
Aeroporto Pires de Vieira,AJI,AAJI,537,-46.752464,-134.054728,4427,America/Sao_Paulo,True
Aeroporto Sousa,AJJ,AAJJ,25,71.091893,-143.1624,2356,America/Mexico_City,True
Aeroporto Pimenta,AJK,AAJK,249,-35.769188,40.775194,1034,Asia/Seoul,True
Aeroporto Jesus do Norte,AJL,AAJL,929,-72.790753,56.083138,2358,Australia/Sydney,True
Aeroporto Ferreira da Prata,AJM,AAJM,820,-8.256194,83.795004,1055,America/Buenos_Aires,False
Aeroporto Albuquerque,AJN,AAJN,88,25.480694,62.688483,1829,America/Sao_Paulo,True
Aeroporto Sales,AJO,AAJO,775,-28.016483,173.281967,204,Africa/Johannesburg,True
Aeroporto da Cunha de Minas,AJP,AAJP,476,10.496008,98.319207,1195,America/Los_Angeles,True
Aeroporto da Rosa do Galho,AJQ,AAJQ,677,21.701717,145.76434,3642,Europe/Rome,True
Aeroporto Vargas do Sul,AJR,AAJR,926,-46.880858,79.378773,112,Asia/Tokyo,True
Aeroporto Rodrigues,AJS,AAJS,566,-31.83068,-55.986977,4038,Asia/Shanghai,True
Aeroporto Fernandes das Flores,AJT,AAJT,314,35.617093,-172.491887,2279,Europe/Paris,True
Aeroporto Cavalcanti,AJU,AAJU,755,-89.880714,-29.12333,3521,America/Lima,True
Aeroporto Farias,AJV,AAJV,707,-36.353283,141.790721,4258,America/Bogota,True
Aeroporto Rocha do Amparo,AJW,AAJW,440,-87.340918,-155.996067,397,Asia/Dubai,True
Aeroporto Andrade de Ramos,AJX,AAJX,471,-46.693308,-17.155042,2239,Asia/Shanghai,True
Aeroporto Mendes,AJY,AAJY,45,-75.061017,-65.394938,3638,Asia/Kolkata,True
Aeroporto Pires,AJZ,AAJZ,229,-14.714154,21.649957,2448,America/Lima,True
Aeroporto Nascimento de Farias,AKA,AAKA,60,-64.797585,-100.817283,167,Pacific/Auckland,True
Aeroporto Viana de Jesus,AKB,AAKB,491,40.119472,41.747477,1316,Africa/Cairo,True
Aeroporto Moreira,AKC,AAKC,408,-36.763026,-71.534167,4086,Europe/Paris,True
Aeroporto Nunes Alegre,AKD,AAKD,898,56.086573,11.341354,1508,Europe/Madrid,True
Aeroporto Costela,AKE,AAKE,923,-44.904197,-103.466931,4196,America/Sao_Paulo,True
Aeroporto Vieira da Praia,AKF,AAKF,281,-75.597028,75.397695,2521,America/Los_Angeles,True
Aeroporto Cassiano,AKG,AAKG,351,-45.611907,134.317996,884,Asia/Tokyo,True
Aeroporto Alves Alegre,AKH,AAKH,323,-7.46354,124.504033,235,Asia/Dubai,True
Aeroporto Pires da Prata,AKI,AAKI,511,11.357926,-43.623493,1328,Europe/Rome,True
Aeroporto Oliveira,AKJ,AAKJ,464,-78.941859,178.829778,1744,Europe/Madrid,True
Aeroporto Cirino do Campo,AKK,AAKK,636,53.069079,63.236349,2384,Asia/Shanghai,True
Aeroporto Santos Alegre,AKL,AAKL,228,62.698225,-64.022935,4405,Europe/London,True
Aeroporto da Mata,AKM,AAKM,232,-81.703776,-172.707911,1145,America/Bogota,True
Aeroporto Borges do Amparo,AKN,AAKN,189,72.867788,68.457081,742,Asia/Singapore,True
Aeroporto Freitas,AKO,AAKO,498,-36.811659,-123.489247,1137,Europe/London,False
Aeroporto da Rosa de Cunha,AKP,AAKP,90,-16.691237,14.966678,1448,America/Los_Angeles,True
Aeroporto Cavalcanti do Campo,AKQ,AAKQ,247,16.261252,143.944964,3133,America/Bogota,True
Aeroporto Viana do Norte,AKR,AAKR,880,88.293196,-178.216467,1812,Europe/London,True
Aeroporto Borges,AKS,AAKS,770,-84.056945,-102.438419,1889,America/Lima,True
Aeroporto Montenegro de Alves,AKT,AAKT,47,-35.627336,100.884608,2935,America/Sao_Paulo,True
Aeroporto Montenegro de Cassiano,AKU,AAKU,47,-14.762367,61.712795,399,America/Los_Angeles,True
Aeroporto Fernandes,AKV,AAKV,659,-46.166644,-45.47815,1848,Australia/Sydney,True
Aeroporto Siqueira de Moura,AKW,AAKW,87,18.666506,-179.2578,177,Europe/Paris,True
Aeroporto Vasconcelos Alegre,AKX,AAKX,664,-28.513509,-144.197994,1197,Europe/Paris,True
