nome,descricao,peso_max_kg,dimensoes_max_cm,taxa_extra
ESPECIAL_ANIMAL_2,Variante 2 do tipo especial animal.,13.11,50x40x30,117.23
ESPECIAL_FRAGIL_2,Variante 2 do tipo especial fragil.,20.47,60x50x40,76.25
OVERSIZED_2,Variante 2 do tipo oversized.,50.68,100x80x60,221.81
CARGA_LEVE_2,Variante 2 do tipo carga leve.,51.47,80x60x50,141.36
CARGA_PESADA_2,Variante 2 do tipo carga pesada.,89.07,120x80x60,323.49
INFANTIL_2,Variante 2 do tipo infantil.,16.11,45x35x20,40.23
DIPLOMATICA_2,Variante 2 do tipo diplomatica.,36.27,70x50x35,0.0
TRIPULACAO_2,Variante 2 do tipo tripulacao.,14.65,55x40x25,18.08
MEDICA_2,Variante 2 do tipo medica.,27.13,50x40x30,32.9
DUTY_FREE_2,Variante 2 do tipo duty free.,8.62,40x30x20,46.73
PRIORITARIA_2,Variante 2 do tipo prioritaria.,31.27,70x50x30,26.65
MAO_PEQUENA_3,Variante 3 do tipo mao pequena.,14.28,40x30x20,0.0
MAO_STANDARD_3,Variante 3 do tipo mao standard.,15.39,55x35x25,48.56
MAO_GRANDE_3,Variante 3 do tipo mao grande.,11.86,55x40x25,68.63
PORAO_PEQUENA_3,Variante 3 do tipo porao pequena.,24.12,60x40x30,72.75
PORAO_STANDARD_3,Variante 3 do tipo porao standard.,28.06,70x50x30,49.27
PORAO_GRANDE_3,Variante 3 do tipo porao grande.,33.02,80x60x40,69.42
PORAO_EXTRA_3,Variante 3 do tipo porao extra.,39.45,90x70x50,101.88
ESPECIAL_ESPORTIVA_3,Variante 3 do tipo especial esportiva.,32.07,Variável,83.6
ESPECIAL_MUSICAL_3,Variante 3 do tipo especial musical.,28.37,Variável,90.15
ESPECIAL_ANIMAL_3,Variante 3 do tipo especial animal.,23.36,50x40x30,163.98
ESPECIAL_FRAGIL_3,Variante 3 do tipo especial fragil.,18.08,60x50x40,97.9
OVERSIZED_3,Variante 3 do tipo oversized.,54.56,100x80x60,230.42
CARGA_LEVE_3,Variante 3 do tipo carga leve.,51.6,80x60x50,161.98
CARGA_PESADA_3,Variante 3 do tipo carga pesada.,82.22,120x80x60,342.03
INFANTIL_3,Variante 3 do tipo infantil.,14.01,45x35x20,0.0
DIPLOMATICA_3,Variante 3 do tipo diplomatica.,37.82,70x50x35,30.15
TRIPULACAO_3,Variante 3 do tipo tripulacao.,16.52,55x40x25,37.9
MEDICA_3,Variante 3 do tipo medica.,19.62,50x40x30,42.58
DUTY_FREE_3,Variante 3 do tipo duty free.,14.57,40x30x20,0.0
PRIORITARIA_3,Variante 3 do tipo prioritaria.,39.89,70x50x30,48.44
MAO_PEQUENA_4,Variante 4 do tipo mao pequena.,6.46,40x30x20,49.6
MAO_STANDARD_4,Variante 4 do tipo mao standard.,15.23,55x35x25,35.81
MAO_GRANDE_4,Variante 4 do tipo mao grande.,16.62,55x40x25,65.81
PORAO_PEQUENA_4,Variante 4 do tipo porao pequena.,19.11,60x40x30,59.98
PORAO_STANDARD_4,Variante 4 do tipo porao standard.,21.24,70x50x30,38.05
PORAO_GRANDE_4,Variante 4 do tipo porao grande.,38.19,80x60x40,61.39
PORAO_EXTRA_4,Variante 4 do tipo porao extra.,43.24,90x70x50,131.41
ESPECIAL_ESPORTIVA_4,Variante 4 do tipo especial esportiva.,30.95,Variável,120.98
ESPECIAL_MUSICAL_4,Variante 4 do tipo especial musical.,33.97,Variável,86.88
ESPECIAL_ANIMAL_4,Variante 4 do tipo especial animal.,21.98,50x40x30,162.65
ESPECIAL_FRAGIL_4,Variante 4 do tipo especial fragil.,19.7,60x50x40,69.31
OVERSIZED_4,Variante 4 do tipo oversized.,56.83,100x80x60,240.32
CARGA_LEVE_4,Variante 4 do tipo carga leve.,53.74,80x60x50,189.41
CARGA_PESADA_4,Variante 4 do tipo carga pesada.,82.66,120x80x60,290.26
INFANTIL_4,Variante 4 do tipo infantil.,19.13,45x35x20,3.06
DIPLOMATICA_4,Variante 4 do tipo diplomatica.,34.37,70x50x35,48.75
TRIPULACAO_4,Variante 4 do tipo tripulacao.,24.46,55x40x25,28.93
MEDICA_4,Variante 4 do tipo medica.,27.2,50x40x30,43.57
DUTY_FREE_4,Variante 4 do tipo duty free.,4.88,40x30x20,40.91
PRIORITARIA_4,Variante 4 do tipo prioritaria.,38.43,70x50x30,66.69
MAO_PEQUENA_5,Variante 5 do tipo mao pequena.,13.44,40x30x20,41.94
MAO_STANDARD_5,Variante 5 do tipo mao standard.,14.93,55x35x25,7.31
MAO_GRANDE_5,Variante 5 do tipo mao grande.,20.26,55x40x25,45.2
PORAO_PEQUENA_5,Variante 5 do tipo porao pequena.,18.64,60x40x30,20.61
PORAO_STANDARD_5,Variante 5 do tipo porao standard.,31.95,70x50x30,34.32
PORAO_GRANDE_5,Variante 5 do tipo porao grande.,37.21,80x60x40,88.57
PORAO_EXTRA_5,Variante 5 do tipo porao extra.,47.77,90x70x50,108.98
ESPECIAL_ESPORTIVA_5,Variante 5 do tipo especial esportiva.,30.74,Variável,78.84
ESPECIAL_MUSICAL_5,Variante 5 do tipo especial musical.,27.42,Variável,69.28
ESPECIAL_ANIMAL_5,Variante 5 do tipo especial animal.,18.72,50x40x30,131.88
ESPECIAL_FRAGIL_5,Variante 5 do tipo especial fragil.,27.69,60x50x40,83.0
OVERSIZED_5,Variante 5 do tipo oversized.,52.66,100x80x60,207.45
CARGA_LEVE_5,Variante 5 do tipo carga leve.,51.55,80x60x50,154.7
CARGA_PESADA_5,Variante 5 do tipo carga pesada.,86.01,120x80x60,346.14
INFANTIL_5,Variante 5 do tipo infantil.,18.35,45x35x20,3.96
DIPLOMATICA_5,Variante 5 do tipo diplomatica.,36.6,70x50x35,0.0
TRIPULACAO_5,Variante 5 do tipo tripulacao.,16.91,55x40x25,39.21
MEDICA_5,Variante 5 do tipo medica.,28.57,50x40x30,6.57
DUTY_FREE_5,Variante 5 do tipo duty free.,8.98,40x30x20,5.57
PRIORITARIA_5,Variante 5 do tipo prioritaria.,41.92,70x50x30,54.44
MAO_PEQUENA_6,Variante 6 do tipo mao pequena.,15.84,40x30x20,25.11
MAO_STANDARD_6,Variante 6 do tipo mao standard.,13.09,55x35x25,47.55
MAO_GRANDE_6,Variante 6 do tipo mao grande.,13.84,55x40x25,29.81
PORAO_PEQUENA_6,Variante 6 do tipo porao pequena.,20.04,60x40x30,64.67
PORAO_STANDARD_6,Variante 6 do tipo porao standard.,31.97,70x50x30,0.0
PORAO_GRANDE_6,Variante 6 do tipo porao grande.,36.55,80x60x40,44.58
PORAO_EXTRA_6,Variante 6 do tipo porao extra.,43.39,90x70x50,119.56
ESPECIAL_ESPORTIVA_6,Variante 6 do tipo especial esportiva.,37.69,Variável,78.04
ESPECIAL_MUSICAL_6,Variante 6 do tipo especial musical.,30.11,Variável,110.9
ESPECIAL_ANIMAL_6,Variante 6 do tipo especial animal.,18.97,50x40x30,115.91
ESPECIAL_FRAGIL_6,Variante 6 do tipo especial fragil.,22.35,60x50x40,59.29
OVERSIZED_6,Variante 6 do tipo oversized.,58.25,100x80x60,228.37
CARGA_LEVE_6,Variante 6 do tipo carga leve.,52.15,80x60x50,188.73
CARGA_PESADA_6,Variante 6 do tipo carga pesada.,83.54,120x80x60,303.62
INFANTIL_6,Variante 6 do tipo infantil.,12.6,45x35x20,0.0
DIPLOMATICA_6,Variante 6 do tipo diplomatica.,39.44,70x50x35,16.11
TRIPULACAO_6,Variante 6 do tipo tripulacao.,21.86,55x40x25,49.45
MEDICA_6,Variante 6 do tipo medica.,27.26,50x40x30,15.37
DUTY_FREE_6,Variante 6 do tipo duty free.,8.55,40x30x20,0.0
PRIORITARIA_6,Variante 6 do tipo prioritaria.,34.3,70x50x30,51.49
MAO_PEQUENA_7,Variante 7 do tipo mao pequena.,6.33,40x30x20,2.21
MAO_STANDARD_7,Variante 7 do tipo mao standard.,17.92,55x35x25,17.83
MAO_GRANDE_7,Variante 7 do tipo mao grande.,14.34,55x40x25,63.33
PORAO_PEQUENA_7,Variante 7 do tipo porao pequena.,25.06,60x40x30,48.84
PORAO_STANDARD_7,Variante 7 do tipo porao standard.,32.94,70x50x30,35.16
PORAO_GRANDE_7,Variante 7 do tipo porao grande.,35.77,80x60x40,83.36
PORAO_EXTRA_7,Variante 7 do tipo porao extra.,40.6,90x70x50,119.2
ESPECIAL_ESPORTIVA_7,Variante 7 do tipo especial esportiva.,31.68,Variável,83.7
ESPECIAL_MUSICAL_7,Variante 7 do tipo especial musical.,23.19,Variável,76.14
ESPECIAL_ANIMAL_7,Variante 7 do tipo especial animal.,18.31,50x40x30,159.28
ESPECIAL_FRAGIL_7,Variante 7 do tipo especial fragil.,28.09,60x50x40,80.2
OVERSIZED_7,Variante 7 do tipo oversized.,51.89,100x80x60,217.54
CARGA_LEVE_7,Variante 7 do tipo carga leve.,45.17,80x60x50,142.99
CARGA_PESADA_7,Variante 7 do tipo carga pesada.,84.75,120x80x60,309.94
INFANTIL_7,Variante 7 do tipo infantil.,17.25,45x35x20,13.67
DIPLOMATICA_7,Variante 7 do tipo diplomatica.,36.34,70x50x35,48.88
TRIPULACAO_7,Variante 7 do tipo tripulacao.,23.72,55x40x25,1.16
MEDICA_7,Variante 7 do tipo medica.,24.19,50x40x30,8.02
DUTY_FREE_7,Variante 7 do tipo duty free.,3.55,40x30x20,15.0
PRIORITARIA_7,Variante 7 do tipo prioritaria.,33.01,70x50x30,25.62
MAO_PEQUENA_8,Variante 8 do tipo mao pequena.,13.83,40x30x20,12.63
MAO_STANDARD_8,Variante 8 do tipo mao standard.,10.48,55x35x25,18.69
MAO_GRANDE_8,Variante 8 do tipo mao grande.,10.81,55x40x25,65.09
PORAO_PEQUENA_8,Variante 8 do tipo porao pequena.,18.48,60x40x30,40.3
PORAO_STANDARD_8,Variante 8 do tipo porao standard.,29.72,70x50x30,48.01
PORAO_GRANDE_8,Variante 8 do tipo porao grande.,34.81,80x60x40,65.05
PORAO_EXTRA_8,Variante 8 do tipo porao extra.,39.66,90x70x50,126.22
ESPECIAL_ESPORTIVA_8,Variante 8 do tipo especial esportiva.,30.61,Variável,101.74
ESPECIAL_MUSICAL_8,Variante 8 do tipo especial musical.,31.66,Variável,115.15
ESPECIAL_ANIMAL_8,Variante 8 do tipo especial animal.,20.29,50x40x30,134.39
ESPECIAL_FRAGIL_8,Variante 8 do tipo especial fragil.,26.06,60x50x40,51.81
OVERSIZED_8,Variante 8 do tipo oversized.,51.16,100x80x60,245.11
CARGA_LEVE_8,Variante 8 do tipo carga leve.,49.28,80x60x50,163.6
CARGA_PESADA_8,Variante 8 do tipo carga pesada.,86.15,120x80x60,300.58
INFANTIL_8,Variante 8 do tipo infantil.,16.33,45x35x20,36.81
DIPLOMATICA_8,Variante 8 do tipo diplomatica.,39.33,70x50x35,5.58
TRIPULACAO_8,Variante 8 do tipo tripulacao.,17.16,55x40x25,0.0
MEDICA_8,Variante 8 do tipo medica.,24.3,50x40x30,40.05
DUTY_FREE_8,Variante 8 do tipo duty free.,12.26,40x30x20,18.46
PRIORITARIA_8,Variante 8 do tipo prioritaria.,36.93,70x50x30,69.53
MAO_PEQUENA_9,Variante 9 do tipo mao pequena.,17.48,40x30x20,9.64
MAO_STANDARD_9,Variante 9 do tipo mao standard.,18.25,55x35x25,15.74
MAO_GRANDE_9,Variante 9 do tipo mao grande.,13.09,55x40x25,15.53
PORAO_PEQUENA_9,Variante 9 do tipo porao pequena.,18.3,60x40x30,59.37
PORAO_STANDARD_9,Variante 9 do tipo porao standard.,24.86,70x50x30,17.01
PORAO_GRANDE_9,Variante 9 do tipo porao grande.,38.84,80x60x40,70.01
PORAO_EXTRA_9,Variante 9 do tipo porao extra.,48.58,90x70x50,119.99
ESPECIAL_ESPORTIVA_9,Variante 9 do tipo especial esportiva.,32.07,Variável,85.28
ESPECIAL_MUSICAL_9,Variante 9 do tipo especial musical.,28.24,Variável,69.62
ESPECIAL_ANIMAL_9,Variante 9 do tipo especial animal.,21.45,50x40x30,111.66
ESPECIAL_FRAGIL_9,Variante 9 do tipo especial fragil.,27.97,60x50x40,81.62
OVERSIZED_9,Variante 9 do tipo oversized.,49.77,100x80x60,200.86
CARGA_LEVE_9,Variante 9 do tipo carga leve.,45.52,80x60x50,164.15
CARGA_PESADA_9,Variante 9 do tipo carga pesada.,88.05,120x80x60,317.33
INFANTIL_9,Variante 9 do tipo infantil.,10.47,45x35x20,0.0
DIPLOMATICA_9,Variante 9 do tipo diplomatica.,32.11,70x50x35,46.62
TRIPULACAO_9,Variante 9 do tipo tripulacao.,14.77,55x40x25,0.0
MEDICA_9,Variante 9 do tipo medica.,27.14,50x40x30,40.15
DUTY_FREE_9,Variante 9 do tipo duty free.,12.96,40x30x20,29.07
PRIORITARIA_9,Variante 9 do tipo prioritaria.,35.88,70x50x30,61.4
MAO_PEQUENA_10,Variante 10 do tipo mao pequena.,17.62,40x30x20,0.0
MAO_STANDARD_10,Variante 10 do tipo mao standard.,9.97,55x35x25,36.77
MAO_GRANDE_10,Variante 10 do tipo mao grande.,11.89,55x40x25,67.98
PORAO_PEQUENA_10,Variante 10 do tipo porao pequena.,20.46,60x40x30,37.34
PORAO_STANDARD_10,Variante 10 do tipo porao standard.,31.05,70x50x30,14.25
PORAO_GRANDE_10,Variante 10 do tipo porao grande.,36.64,80x60x40,41.94
PORAO_EXTRA_10,Variante 10 do tipo porao extra.,40.11,90x70x50,96.21
ESPECIAL_ESPORTIVA_10,Variante 10 do tipo especial esportiva.,33.1,Variável,104.72
ESPECIAL_MUSICAL_10,Variante 10 do tipo especial musical.,25.49,Variável,116.39
ESPECIAL_ANIMAL_10,Variante 10 do tipo especial animal.,15.15,50x40x30,111.78
ESPECIAL_FRAGIL_10,Variante 10 do tipo especial fragil.,20.16,60x50x40,74.79
OVERSIZED_10,Variante 10 do tipo oversized.,59.53,100x80x60,224.12
CARGA_LEVE_10,Variante 10 do tipo carga leve.,49.6,80x60x50,145.74
CARGA_PESADA_10,Variante 10 do tipo carga pesada.,89.75,120x80x60,305.97
INFANTIL_10,Variante 10 do tipo infantil.,16.14,45x35x20,6.12
DIPLOMATICA_10,Variante 10 do tipo diplomatica.,39.95,70x50x35,0.0
TRIPULACAO_10,Variante 10 do tipo tripulacao.,19.56,55x40x25,42.1
MEDICA_10,Variante 10 do tipo medica.,23.41,50x40x30,43.01
DUTY_FREE_10,Variante 10 do tipo duty free.,12.11,40x30x20,45.3
PRIORITARIA_10,Variante 10 do tipo prioritaria.,39.67,70x50x30,29.82
MAO_PEQUENA_11,Variante 11 do tipo mao pequena.,17.09,40x30x20,16.74
MAO_STANDARD_11,Variante 11 do tipo mao standard.,17.34,55x35x25,43.29
MAO_GRANDE_11,Variante 11 do tipo mao grande.,18.22,55x40x25,71.48
PORAO_PEQUENA_11,Variante 11 do tipo porao pequena.,19.49,60x40x30,31.9
PORAO_STANDARD_11,Variante 11 do tipo porao standard.,23.22,70x50x30,40.11
PORAO_GRANDE_11,Variante 11 do tipo porao grande.,32.2,80x60x40,95.01
PORAO_EXTRA_11,Variante 11 do tipo porao extra.,42.52,90x70x50,103.43
ESPECIAL_ESPORTIVA_11,Variante 11 do tipo especial esportiva.,29.36,Variável,118.5
ESPECIAL_MUSICAL_11,Variante 11 do tipo especial musical.,24.92,Variável,81.72
ESPECIAL_ANIMAL_11,Variante 11 do tipo especial animal.,18.32,50x40x30,168.73
ESPECIAL_FRAGIL_11,Variante 11 do tipo especial fragil.,28.99,60x50x40,50.32
OVERSIZED_11,Variante 11 do tipo oversized.,50.67,100x80x60,223.77
CARGA_LEVE_11,Variante 11 do tipo carga leve.,51.9,80x60x50,185.37
CARGA_PESADA_11,Variante 11 do tipo carga pesada.,81.9,120x80x60,293.65
INFANTIL_11,Variante 11 do tipo infantil.,18.57,45x35x20,26.95
DIPLOMATICA_11,Variante 11 do tipo diplomatica.,37.35,70x50x35,49.2
TRIPULACAO_11,Variante 11 do tipo tripulacao.,16.9,55x40x25,31.93
MEDICA_11,Variante 11 do tipo medica.,20.63,50x40x30,26.28
DUTY_FREE_11,Variante 11 do tipo duty free.,4.53,40x30x20,32.04
PRIORITARIA_11,Variante 11 do tipo prioritaria.,41.9,70x50x30,54.6
MAO_PEQUENA_12,Variante 12 do tipo mao pequena.,12.49,40x30x20,0.0
MAO_STANDARD_12,Variante 12 do tipo mao standard.,18.74,55x35x25,0.0
MAO_GRANDE_12,Variante 12 do tipo mao grande.,14.65,55x40x25,35.88
PORAO_PEQUENA_12,Variante 12 do tipo porao pequena.,16.57,60x40x30,78.5
PORAO_STANDARD_12,Variante 12 do tipo porao standard.,27.76,70x50x30,15.75
PORAO_GRANDE_12,Variante 12 do tipo porao grande.,31.51,80x60x40,65.83
PORAO_EXTRA_12,Variante 12 do tipo porao extra.,43.04,90x70x50,113.71
ESPECIAL_ESPORTIVA_12,Variante 12 do tipo especial esportiva.,31.97,Variável,80.3
ESPECIAL_MUSICAL_12,Variante 12 do tipo especial musical.,33.36,Variável,98.18
ESPECIAL_ANIMAL_12,Variante 12 do tipo especial animal.,16.64,50x40x30,168.63
ESPECIAL_FRAGIL_12,Variante 12 do tipo especial fragil.,25.06,60x50x40,65.89
OVERSIZED_12,Variante 12 do tipo oversized.,56.99,100x80x60,225.18
CARGA_LEVE_12,Variante 12 do tipo carga leve.,43.28,80x60x50,183.37
CARGA_PESADA_12,Variante 12 do tipo carga pesada.,84.07,120x80x60,322.77
INFANTIL_12,Variante 12 do tipo infantil.,11.62,45x35x20,0.0
DIPLOMATICA_12,Variante 12 do tipo diplomatica.,38.98,70x50x35,49.62
TRIPULACAO_12,Variante 12 do tipo tripulacao.,22.04,55x40x25,40.79
MEDICA_12,Variante 12 do tipo medica.,18.26,50x40x30,0.0
DUTY_FREE_12,Variante 12 do tipo duty free.,3.12,40x30x20,32.89
PRIORITARIA_12,Variante 12 do tipo prioritaria.,31.24,70x50x30,82.59
MAO_PEQUENA_13,Variante 13 do tipo mao pequena.,16.13,40x30x20,25.7
MAO_STANDARD_13,Variante 13 do tipo mao standard.,9.99,55x35x25,36.3
MAO_GRANDE_13,Variante 13 do tipo mao grande.,20.85,55x40x25,61.6
PORAO_PEQUENA_13,Variante 13 do tipo porao pequena.,27.33,60x40x30,72.93
PORAO_STANDARD_13,Variante 13 do tipo porao standard.,23.86,70x50x30,0.0
PORAO_GRANDE_13,Variante 13 do tipo porao grande.,33.11,80x60x40,74.35
PORAO_EXTRA_13,Variante 13 do tipo porao extra.,38.42,90x70x50,103.51
ESPECIAL_ESPORTIVA_13,Variante 13 do tipo especial esportiva.,38.79,Variável,90.91
ESPECIAL_MUSICAL_13,Variante 13 do tipo especial musical.,25.31,Variável,77.38
ESPECIAL_ANIMAL_13,Variante 13 do tipo especial animal.,13.08,50x40x30,120.07
ESPECIAL_FRAGIL_13,Variante 13 do tipo especial fragil.,22.29,60x50x40,52.44
OVERSIZED_13,Variante 13 do tipo oversized.,57.72,100x80x60,244.35
CARGA_LEVE_13,Variante 13 do tipo carga leve.,52.66,80x60x50,160.64
CARGA_PESADA_13,Variante 13 do tipo carga pesada.,89.68,120x80x60,296.81
INFANTIL_13,Variante 13 do tipo infantil.,18.62,45x35x20,3.57
DIPLOMATICA_13,Variante 13 do tipo diplomatica.,34.05,70x50x35,9.71
TRIPULACAO_13,Variante 13 do tipo tripulacao.,21.61,55x40x25,43.85
MEDICA_13,Variante 13 do tipo medica.,20.71,50x40x30,14.29
DUTY_FREE_13,Variante 13 do tipo duty free.,9.05,40x30x20,23.26
PRIORITARIA_13,Variante 13 do tipo prioritaria.,36.72,70x50x30,66.71
MAO_PEQUENA_14,Variante 14 do tipo mao pequena.,8.5,40x30x20,1.62
MAO_STANDARD_14,Variante 14 do tipo mao standard.,17.31,55x35x25,1.56
MAO_GRANDE_14,Variante 14 do tipo mao grande.,11.95,55x40x25,65.99
PORAO_PEQUENA_14,Variante 14 do tipo porao pequena.,20.73,60x40x30,29.79
PORAO_STANDARD_14,Variante 14 do tipo porao standard.,26.12,70x50x30,0.0
PORAO_GRANDE_14,Variante 14 do tipo porao grande.,36.45,80x60x40,60.81
PORAO_EXTRA_14,Variante 14 do tipo porao extra.,46.96,90x70x50,122.3
ESPECIAL_ESPORTIVA_14,Variante 14 do tipo especial esportiva.,35.74,Variável,77.35
ESPECIAL_MUSICAL_14,Variante 14 do tipo especial musical.,32.98,Variável,112.32
ESPECIAL_ANIMAL_14,Variante 14 do tipo especial animal.,22.03,50x40x30,115.43
ESPECIAL_FRAGIL_14,Variante 14 do tipo especial fragil.,28.56,60x50x40,53.45
OVERSIZED_14,Variante 14 do tipo oversized.,57.36,100x80x60,235.08
CARGA_LEVE_14,Variante 14 do tipo carga leve.,47.71,80x60x50,194.46
CARGA_PESADA_14,Variante 14 do tipo carga pesada.,85.34,120x80x60,326.89
INFANTIL_14,Variante 14 do tipo infantil.,19.42,45x35x20,0.0
DIPLOMATICA_14,Variante 14 do tipo diplomatica.,32.91,70x50x35,19.78
TRIPULACAO_14,Variante 14 do tipo tripulacao.,15.38,55x40x25,18.87
MEDICA_14,Variante 14 do tipo medica.,21.71,50x40x30,12.3
DUTY_FREE_14,Variante 14 do tipo duty free.,4.92,40x30x20,44.38
PRIORITARIA_14,Variante 14 do tipo prioritaria.,34.61,70x50x30,60.72
MAO_PEQUENA_15,Variante 15 do tipo mao pequena.,16.4,40x30x20,28.46
MAO_STANDARD_15,Variante 15 do tipo mao standard.,14.8,55x35x25,44.1
MAO_GRANDE_15,Variante 15 do tipo mao grande.,14.1,55x40x25,74.16
PORAO_PEQUENA_15,Variante 15 do tipo porao pequena.,17.17,60x40x30,27.95
PORAO_STANDARD_15,Variante 15 do tipo porao standard.,25.75,70x50x30,0.0
PORAO_GRANDE_15,Variante 15 do tipo porao grande.,32.75,80x60x40,68.9
PORAO_EXTRA_15,Variante 15 do tipo porao extra.,40.79,90x70x50,114.05
ESPECIAL_ESPORTIVA_15,Variante 15 do tipo especial esportiva.,39.33,Variável,121.3
ESPECIAL_MUSICAL_15,Variante 15 do tipo especial musical.,26.29,Variável,84.11
ESPECIAL_ANIMAL_15,Variante 15 do tipo especial animal.,21.01,50x40x30,140.52
ESPECIAL_FRAGIL_15,Variante 15 do tipo especial fragil.,29.01,60x50x40,65.11
OVERSIZED_15,Variante 15 do tipo oversized.,49.23,100x80x60,244.34
CARGA_LEVE_15,Variante 15 do tipo carga leve.,51.41,80x60x50,193.42
CARGA_PESADA_15,Variante 15 do tipo carga pesada.,83.11,120x80x60,316.91
INFANTIL_15,Variante 15 do tipo infantil.,17.2,45x35x20,0.0
DIPLOMATICA_15,Variante 15 do tipo diplomatica.,36.85,70x50x35,0.0
TRIPULACAO_15,Variante 15 do tipo tripulacao.,21.9,55x40x25,21.98
MEDICA_15,Variante 15 do tipo medica.,21.22,50x40x30,42.47
DUTY_FREE_15,Variante 15 do tipo duty free.,6.25,40x30x20,1.46
PRIORITARIA_15,Variante 15 do tipo prioritaria.,38.46,70x50x30,28.77
MAO_PEQUENA_16,Variante 16 do tipo mao pequena.,14.29,40x30x20,41.6
MAO_STANDARD_16,Variante 16 do tipo mao standard.,12.26,55x35x25,9.07
MAO_GRANDE_16,Variante 16 do tipo mao grande.,13.25,55x40x25,58.19
PORAO_PEQUENA_16,Variante 16 do tipo porao pequena.,17.67,60x40x30,54.91
PORAO_STANDARD_16,Variante 16 do tipo porao standard.,22.26,70x50x30,4.27
PORAO_GRANDE_16,Variante 16 do tipo porao grande.,40.1,80x60x40,71.05
