codigo,descricao,cor_hex,ordem_exibicao
PORTAO_ABERTO_2,Variante 2 do status portao aberto,#AA0E29,49
PORTAO_FECHADO_2,Variante 2 do status portao fechado,#28CF6E,50
DECOLANDO_2,Variante 2 do status decolando,#187907,51
APROXIMACAO_2,Variante 2 do status aproximacao,#9350BB,52
MANUTENCAO_2,Variante 2 do status manutencao,#B8E4DE,53
AGUARDANDO_PIS_2,Variante 2 do status aguardando pista,#8D1499,54
CHECK_IN_ABERT_2,Variante 2 do status check in aberto,#FBEBC4,55
CONCLUIDO_2,Variante 2 do status concluido,#99B89B,56
SUSPENSO_2,Variante 2 do status suspenso,#662425,57
REAGENDADO_2,Variante 2 do status reagendado,#CD1DB0,58
EMERGENCIA_2,Variante 2 do status emergencia,#59970F,59
PRE_VOO_2,Variante 2 do status pre voo,#3A7930,60
PROGRAMADO_3,Variante 3 do status programado,#64A2AC,61
EMBARQUE_3,Variante 3 do status embarque,#0CB14B,62
EM_VOO_3,Variante 3 do status em voo,#08EC88,63
ATERRISSADO_3,Variante 3 do status aterrissado,#DEC4EA,64
CANCELADO_3,Variante 3 do status cancelado,#5D0B2C,65
ATRASADO_3,Variante 3 do status atrasado,#B2A76B,66
DESVIADO_3,Variante 3 do status desviado,#B5EE46,67
TAXIANDO_3,Variante 3 do status taxiando,#E4C591,68
PORTAO_ABERTO_3,Variante 3 do status portao aberto,#DA10AA,69
PORTAO_FECHADO_3,Variante 3 do status portao fechado,#DBE572,70
DECOLANDO_3,Variante 3 do status decolando,#81ECEA,71
APROXIMACAO_3,Variante 3 do status aproximacao,#FE0A89,72
MANUTENCAO_3,Variante 3 do status manutencao,#0F32BF,73
AGUARDANDO_PIS_3,Variante 3 do status aguardando pista,#68BC56,74
CHECK_IN_ABERT_3,Variante 3 do status check in aberto,#3DB1B3,75
CONCLUIDO_3,Variante 3 do status concluido,#02CC87,76
SUSPENSO_3,Variante 3 do status suspenso,#AAE2F2,77
REAGENDADO_3,Variante 3 do status reagendado,#65DEB6,78
EMERGENCIA_3,Variante 3 do status emergencia,#669652,79
PRE_VOO_3,Variante 3 do status pre voo,#CE1EF2,80
PROGRAMADO_4,Variante 4 do status programado,#502BD6,81
EMBARQUE_4,Variante 4 do status embarque,#E10307,82
EM_VOO_4,Variante 4 do status em voo,#822945,83
ATERRISSADO_4,Variante 4 do status aterrissado,#DFFCB4,84
CANCELADO_4,Variante 4 do status cancelado,#C98918,85
ATRASADO_4,Variante 4 do status atrasado,#DFA568,86
DESVIADO_4,Variante 4 do status desviado,#4C3E65,87
TAXIANDO_4,Variante 4 do status taxiando,#2869F5,88
PORTAO_ABERTO_4,Variante 4 do status portao aberto,#B4DB0D,89
PORTAO_FECHADO_4,Variante 4 do status portao fechado,#20CE61,90
DECOLANDO_4,Variante 4 do status decolando,#7B2915,91
APROXIMACAO_4,Variante 4 do status aproximacao,#46C509,92
MANUTENCAO_4,Variante 4 do status manutencao,#F333A5,93
AGUARDANDO_PIS_4,Variante 4 do status aguardando pista,#09B7D3,94
CHECK_IN_ABERT_4,Variante 4 do status check in aberto,#106D65,95
CONCLUIDO_4,Variante 4 do status concluido,#1D7B3D,96
SUSPENSO_4,Variante 4 do status suspenso,#8831B9,97
REAGENDADO_4,Variante 4 do status reagendado,#CE53F6,98
EMERGENCIA_4,Variante 4 do status emergencia,#D46131,99
PRE_VOO_4,Variante 4 do status pre voo,#D9E377,100
PROGRAMADO_5,Variante 5 do status programado,#33491C,101
EMBARQUE_5,Variante 5 do status embarque,#9F0721,102
EM_VOO_5,Variante 5 do status em voo,#A9213E,103
ATERRISSADO_5,Variante 5 do status aterrissado,#0CC411,104
CANCELADO_5,Variante 5 do status cancelado,#22B827,105
ATRASADO_5,Variante 5 do status atrasado,#3BA334,106
DESVIADO_5,Variante 5 do status desviado,#19E54D,107
TAXIANDO_5,Variante 5 do status taxiando,#E4D430,108
PORTAO_ABERTO_5,Variante 5 do status portao aberto,#F8A799,109
PORTAO_FECHADO_5,Variante 5 do status portao fechado,#EF49A1,110
DECOLANDO_5,Variante 5 do status decolando,#3FA751,111
APROXIMACAO_5,Variante 5 do status aproximacao,#812FA5,112
MANUTENCAO_5,Variante 5 do status manutencao,#131FA2,113
AGUARDANDO_PIS_5,Variante 5 do status aguardando pista,#0A0F48,114
CHECK_IN_ABERT_5,Variante 5 do status check in aberto,#867FDA,115
CONCLUIDO_5,Variante 5 do status concluido,#78CEB2,116
SUSPENSO_5,Variante 5 do status suspenso,#22C9A5,117
REAGENDADO_5,Variante 5 do status reagendado,#8A0347,118
EMERGENCIA_5,Variante 5 do status emergencia,#018CBD,119
PRE_VOO_5,Variante 5 do status pre voo,#A14DD6,120
PROGRAMADO_6,Variante 6 do status programado,#7FA301,121
EMBARQUE_6,Variante 6 do status embarque,#21ADC3,122
EM_VOO_6,Variante 6 do status em voo,#A22208,123
ATERRISSADO_6,Variante 6 do status aterrissado,#582030,124
CANCELADO_6,Variante 6 do status cancelado,#15A7F1,125
ATRASADO_6,Variante 6 do status atrasado,#82D3BD,126
DESVIADO_6,Variante 6 do status desviado,#136757,127
TAXIANDO_6,Variante 6 do status taxiando,#9862CF,128
PORTAO_ABERTO_6,Variante 6 do status portao aberto,#FE6A70,129
PORTAO_FECHADO_6,Variante 6 do status portao fechado,#CA3D77,130
DECOLANDO_6,Variante 6 do status decolando,#FC537B,131
APROXIMACAO_6,Variante 6 do status aproximacao,#728647,132
MANUTENCAO_6,Variante 6 do status manutencao,#21573B,133
AGUARDANDO_PIS_6,Variante 6 do status aguardando pista,#65B742,134
CHECK_IN_ABERT_6,Variante 6 do status check in aberto,#ED2ECF,135
CONCLUIDO_6,Variante 6 do status concluido,#E0C6E1,136
SUSPENSO_6,Variante 6 do status suspenso,#3D9511,137
REAGENDADO_6,Variante 6 do status reagendado,#D44357,138
EMERGENCIA_6,Variante 6 do status emergencia,#C3B280,139
PRE_VOO_6,Variante 6 do status pre voo,#95D1C4,140
PROGRAMADO_7,Variante 7 do status programado,#34409B,141
EMBARQUE_7,Variante 7 do status embarque,#D25FCE,142
EM_VOO_7,Variante 7 do status em voo,#C39607,143
ATERRISSADO_7,Variante 7 do status aterrissado,#32FBB9,144
CANCELADO_7,Variante 7 do status cancelado,#4C004F,145
ATRASADO_7,Variante 7 do status atrasado,#6EBCB8,146
DESVIADO_7,Variante 7 do status desviado,#F84C13,147
TAXIANDO_7,Variante 7 do status taxiando,#92C472,148
PORTAO_ABERTO_7,Variante 7 do status portao aberto,#19242E,149
PORTAO_FECHADO_7,Variante 7 do status portao fechado,#F854B9,150
DECOLANDO_7,Variante 7 do status decolando,#F5B463,151
APROXIMACAO_7,Variante 7 do status aproximacao,#8847F9,152
MANUTENCAO_7,Variante 7 do status manutencao,#7F198C,153
AGUARDANDO_PIS_7,Variante 7 do status aguardando pista,#7772F3,154
CHECK_IN_ABERT_7,Variante 7 do status check in aberto,#593024,155
CONCLUIDO_7,Variante 7 do status concluido,#A50711,156
SUSPENSO_7,Variante 7 do status suspenso,#DFB088,157
REAGENDADO_7,Variante 7 do status reagendado,#5DB42F,158
EMERGENCIA_7,Variante 7 do status emergencia,#6BFFBA,159
PRE_VOO_7,Variante 7 do status pre voo,#9405AF,160
PROGRAMADO_8,Variante 8 do status programado,#3A5623,161
EMBARQUE_8,Variante 8 do status embarque,#E46305,162
EM_VOO_8,Variante 8 do status em voo,#078194,163
ATERRISSADO_8,Variante 8 do status aterrissado,#224D3F,164
CANCELADO_8,Variante 8 do status cancelado,#8739E9,165
ATRASADO_8,Variante 8 do status atrasado,#548D96,166
DESVIADO_8,Variante 8 do status desviado,#DC901D,167
TAXIANDO_8,Variante 8 do status taxiando,#477545,168
PORTAO_ABERTO_8,Variante 8 do status portao aberto,#0D781A,169
PORTAO_FECHADO_8,Variante 8 do status portao fechado,#6DBE44,170
DECOLANDO_8,Variante 8 do status decolando,#EF3DD0,171
APROXIMACAO_8,Variante 8 do status aproximacao,#1A1A27,172
MANUTENCAO_8,Variante 8 do status manutencao,#EBE659,173
AGUARDANDO_PIS_8,Variante 8 do status aguardando pista,#57D28A,174
CHECK_IN_ABERT_8,Variante 8 do status check in aberto,#361D27,175
CONCLUIDO_8,Variante 8 do status concluido,#2D9466,176
SUSPENSO_8,Variante 8 do status suspenso,#D24CC3,177
REAGENDADO_8,Variante 8 do status reagendado,#1C1ECC,178
EMERGENCIA_8,Variante 8 do status emergencia,#51145C,179
PRE_VOO_8,Variante 8 do status pre voo,#0E0B3A,180
PROGRAMADO_9,Variante 9 do status programado,#84DC11,181
EMBARQUE_9,Variante 9 do status embarque,#30AE11,182
EM_VOO_9,Variante 9 do status em voo,#2AD932,183
ATERRISSADO_9,Variante 9 do status aterrissado,#786D8A,184
CANCELADO_9,Variante 9 do status cancelado,#BD1EFA,185
ATRASADO_9,Variante 9 do status atrasado,#E5AC4F,186
DESVIADO_9,Variante 9 do status desviado,#4B0FED,187
TAXIANDO_9,Variante 9 do status taxiando,#395263,188
PORTAO_ABERTO_9,Variante 9 do status portao aberto,#2AC09D,189
PORTAO_FECHADO_9,Variante 9 do status portao fechado,#E38FD7,190
DECOLANDO_9,Variante 9 do status decolando,#0B79BC,191
APROXIMACAO_9,Variante 9 do status aproximacao,#945C4B,192
MANUTENCAO_9,Variante 9 do status manutencao,#0FA262,193
AGUARDANDO_PIS_9,Variante 9 do status aguardando pista,#2426E9,194
CHECK_IN_ABERT_9,Variante 9 do status check in aberto,#CC49F1,195
CONCLUIDO_9,Variante 9 do status concluido,#852367,196
SUSPENSO_9,Variante 9 do status suspenso,#9BB4D7,197
REAGENDADO_9,Variante 9 do status reagendado,#46C77A,198
EMERGENCIA_9,Variante 9 do status emergencia,#524968,199
PRE_VOO_9,Variante 9 do status pre voo,#3D9079,200
PROGRAMADO_10,Variante 10 do status programado,#E70FA8,201
EMBARQUE_10,Variante 10 do status embarque,#B64C4C,202
EM_VOO_10,Variante 10 do status em voo,#775DD7,203
ATERRISSADO_10,Variante 10 do status aterrissado,#E17606,204
CANCELADO_10,Variante 10 do status cancelado,#BF629E,205
ATRASADO_10,Variante 10 do status atrasado,#E015FF,206
DESVIADO_10,Variante 10 do status desviado,#05E7C9,207
TAXIANDO_10,Variante 10 do status taxiando,#585BC1,208
PORTAO_ABERTO_10,Variante 10 do status portao aberto,#1F990A,209
PORTAO_FECHADO_10,Variante 10 do status portao fechado,#0D27A0,210
DECOLANDO_10,Variante 10 do status decolando,#84DD45,211
APROXIMACAO_10,Variante 10 do status aproximacao,#17F918,212
MANUTENCAO_10,Variante 10 do status manutencao,#D66B53,213
AGUARDANDO_PIS_10,Variante 10 do status aguardando pista,#F2D873,214
CHECK_IN_ABERT_10,Variante 10 do status check in aberto,#A3F102,215
CONCLUIDO_10,Variante 10 do status concluido,#F25122,216
SUSPENSO_10,Variante 10 do status suspenso,#2FF90F,217
REAGENDADO_10,Variante 10 do status reagendado,#5C12AC,218
EMERGENCIA_10,Variante 10 do status emergencia,#60B961,219
PRE_VOO_10,Variante 10 do status pre voo,#C2B01D,220
PROGRAMADO_11,Variante 11 do status programado,#2B95E6,221
EMBARQUE_11,Variante 11 do status embarque,#995F5C,222
EM_VOO_11,Variante 11 do status em voo,#CE7419,223
ATERRISSADO_11,Variante 11 do status aterrissado,#2ED992,224
CANCELADO_11,Variante 11 do status cancelado,#2B064F,225
ATRASADO_11,Variante 11 do status atrasado,#50CF38,226
DESVIADO_11,Variante 11 do status desviado,#FFD6A0,227
TAXIANDO_11,Variante 11 do status taxiando,#8A73FB,228
PORTAO_ABERTO_11,Variante 11 do status portao aberto,#54A8AE,229
PORTAO_FECHADO_11,Variante 11 do status portao fechado,#D8D1A6,230
DECOLANDO_11,Variante 11 do status decolando,#4D0614,231
APROXIMACAO_11,Variante 11 do status aproximacao,#ED3D66,232
MANUTENCAO_11,Variante 11 do status manutencao,#C8C1EC,233
AGUARDANDO_PIS_11,Variante 11 do status aguardando pista,#F44B21,234
CHECK_IN_ABERT_11,Variante 11 do status check in aberto,#199CED,235
CONCLUIDO_11,Variante 11 do status concluido,#88C5D9,236
SUSPENSO_11,Variante 11 do status suspenso,#1615C0,237
REAGENDADO_11,Variante 11 do status reagendado,#B59389,238
EMERGENCIA_11,Variante 11 do status emergencia,#756BB1,239
PRE_VOO_11,Variante 11 do status pre voo,#3C5F38,240
PROGRAMADO_12,Variante 12 do status programado,#846DF6,241
EMBARQUE_12,Variante 12 do status embarque,#2D479C,242
EM_VOO_12,Variante 12 do status em voo,#D8D7FA,243
ATERRISSADO_12,Variante 12 do status aterrissado,#3998AE,244
CANCELADO_12,Variante 12 do status cancelado,#B58F72,245
ATRASADO_12,Variante 12 do status atrasado,#DAB35C,246
DESVIADO_12,Variante 12 do status desviado,#1689F2,247
TAXIANDO_12,Variante 12 do status taxiando,#FD1C29,248
PORTAO_ABERTO_12,Variante 12 do status portao aberto,#7F0879,249
PORTAO_FECHADO_12,Variante 12 do status portao fechado,#5AA395,250
DECOLANDO_12,Variante 12 do status decolando,#F99A7D,251
APROXIMACAO_12,Variante 12 do status aproximacao,#9177D8,252
MANUTENCAO_12,Variante 12 do status manutencao,#72C142,253
AGUARDANDO_PIS_12,Variante 12 do status aguardando pista,#AAA734,254
CHECK_IN_ABERT_12,Variante 12 do status check in aberto,#C138D9,255
CONCLUIDO_12,Variante 12 do status concluido,#B54511,256
SUSPENSO_12,Variante 12 do status suspenso,#36C9DE,257
REAGENDADO_12,Variante 12 do status reagendado,#EBA482,258
EMERGENCIA_12,Variante 12 do status emergencia,#CBDB63,259
PRE_VOO_12,Variante 12 do status pre voo,#5D0B17,260
PROGRAMADO_13,Variante 13 do status programado,#95F06B,261
EMBARQUE_13,Variante 13 do status embarque,#172034,262
EM_VOO_13,Variante 13 do status em voo,#D7E037,263
ATERRISSADO_13,Variante 13 do status aterrissado,#90EA9D,264
CANCELADO_13,Variante 13 do status cancelado,#C0AC4E,265
ATRASADO_13,Variante 13 do status atrasado,#C47858,266
DESVIADO_13,Variante 13 do status desviado,#7F4FB2,267
TAXIANDO_13,Variante 13 do status taxiando,#8797FA,268
PORTAO_ABERTO_13,Variante 13 do status portao aberto,#DBCE4A,269
PORTAO_FECHADO_13,Variante 13 do status portao fechado,#0D1E33,270
DECOLANDO_13,Variante 13 do status decolando,#880294,271
APROXIMACAO_13,Variante 13 do status aproximacao,#E7F773,272
MANUTENCAO_13,Variante 13 do status manutencao,#9FF210,273
AGUARDANDO_PIS_13,Variante 13 do status aguardando pista,#4DAA3B,274
CHECK_IN_ABERT_13,Variante 13 do status check in aberto,#212836,275
CONCLUIDO_13,Variante 13 do status concluido,#E34CF2,276
SUSPENSO_13,Variante 13 do status suspenso,#05F26F,277
REAGENDADO_13,Variante 13 do status reagendado,#4E4F5D,278
EMERGENCIA_13,Variante 13 do status emergencia,#AD10AF,279
PRE_VOO_13,Variante 13 do status pre voo,#3454D3,280
PROGRAMADO_14,Variante 14 do status programado,#C5994C,281
EMBARQUE_14,Variante 14 do status embarque,#48E0BF,282
EM_VOO_14,Variante 14 do status em voo,#51D241,283
ATERRISSADO_14,Variante 14 do status aterrissado,#B60D73,284
CANCELADO_14,Variante 14 do status cancelado,#7C7F36,285
ATRASADO_14,Variante 14 do status atrasado,#D031EE,286
DESVIADO_14,Variante 14 do status desviado,#8CE945,287
TAXIANDO_14,Variante 14 do status taxiando,#400790,288
PORTAO_ABERTO_14,Variante 14 do status portao aberto,#002CFF,289
PORTAO_FECHADO_14,Variante 14 do status portao fechado,#71AA52,290
DECOLANDO_14,Variante 14 do status decolando,#88266E,291
APROXIMACAO_14,Variante 14 do status aproximacao,#CCDDE9,292
MANUTENCAO_14,Variante 14 do status manutencao,#74B621,293
AGUARDANDO_PIS_14,Variante 14 do status aguardando pista,#15097A,294
CHECK_IN_ABERT_14,Variante 14 do status check in aberto,#DF2F5D,295
CONCLUIDO_14,Variante 14 do status concluido,#466113,296
SUSPENSO_14,Variante 14 do status suspenso,#845E40,297
REAGENDADO_14,Variante 14 do status reagendado,#CA5626,298
EMERGENCIA_14,Variante 14 do status emergencia,#F5841E,299
PRE_VOO_14,Variante 14 do status pre voo,#4D7C43,300
PROGRAMADO_15,Variante 15 do status programado,#E3EDE3,301
EMBARQUE_15,Variante 15 do status embarque,#22E489,302
EM_VOO_15,Variante 15 do status em voo,#D98E62,303
ATERRISSADO_15,Variante 15 do status aterrissado,#0B4AC5,304
CANCELADO_15,Variante 15 do status cancelado,#207745,305
ATRASADO_15,Variante 15 do status atrasado,#2DA93E,306
DESVIADO_15,Variante 15 do status desviado,#998C73,307
TAXIANDO_15,Variante 15 do status taxiando,#25D011,308
PORTAO_ABERTO_15,Variante 15 do status portao aberto,#6DCCA0,309
PORTAO_FECHADO_15,Variante 15 do status portao fechado,#39D415,310
DECOLANDO_15,Variante 15 do status decolando,#7F1F3B,311
APROXIMACAO_15,Variante 15 do status aproximacao,#B72AA1,312
MANUTENCAO_15,Variante 15 do status manutencao,#5394DC,313
AGUARDANDO_PIS_15,Variante 15 do status aguardando pista,#68BD8A,314
CHECK_IN_ABERT_15,Variante 15 do status check in aberto,#D0940B,315
CONCLUIDO_15,Variante 15 do status concluido,#374698,316
SUSPENSO_15,Variante 15 do status suspenso,#771DC1,317
REAGENDADO_15,Variante 15 do status reagendado,#6D3B65,318
EMERGENCIA_15,Variante 15 do status emergencia,#F341AB,319
PRE_VOO_15,Variante 15 do status pre voo,#D0B534,320
PROGRAMADO_16,Variante 16 do status programado,#0037A1,321
EMBARQUE_16,Variante 16 do status embarque,#AEF71B,322
EM_VOO_16,Variante 16 do status em voo,#5F8776,323
ATERRISSADO_16,Variante 16 do status aterrissado,#7F4BD3,324
CANCELADO_16,Variante 16 do status cancelado,#166BC1,325
ATRASADO_16,Variante 16 do status atrasado,#824F77,326
DESVIADO_16,Variante 16 do status desviado,#A476A0,327
TAXIANDO_16,Variante 16 do status taxiando,#30549D,328
PORTAO_ABERTO_16,Variante 16 do status portao aberto,#CD1C87,329
PORTAO_FECHADO_16,Variante 16 do status portao fechado,#AA36FA,330
DECOLANDO_16,Variante 16 do status decolando,#0B3A85,331
APROXIMACAO_16,Variante 16 do status aproximacao,#54C608,332
MANUTENCAO_16,Variante 16 do status manutencao,#B87B5C,333
AGUARDANDO_PIS_16,Variante 16 do status aguardando pista,#8E8CA0,334
CHECK_IN_ABERT_16,Variante 16 do status check in aberto,#9AAB4C,335
CONCLUIDO_16,Variante 16 do status concluido,#FDBE3A,336
SUSPENSO_16,Variante 16 do status suspenso,#4A0EDA,337
REAGENDADO_16,Variante 16 do status reagendado,#863CD0,338
EMERGENCIA_16,Variante 16 do status emergencia,#3FC78D,339
PRE_VOO_16,Variante 16 do status pre voo,#31D95C,340
PROGRAMADO_17,Variante 17 do status programado,#DB9B1A,341
EMBARQUE_17,Variante 17 do status embarque,#A2C1A6,342
EM_VOO_17,Variante 17 do status em voo,#102964,343
ATERRISSADO_17,Variante 17 do status aterrissado,#62F17B,344
CANCELADO_17,Variante 17 do status cancelado,#940BC0,345
ATRASADO_17,Variante 17 do status atrasado,#8C154F,346
DESVIADO_17,Variante 17 do status desviado,#0E776F,347
TAXIANDO_17,Variante 17 do status taxiando,#D5312F,348
PORTAO_ABERTO_17,Variante 17 do status portao aberto,#CDDB6E,349
PORTAO_FECHADO_17,Variante 17 do status portao fechado,#205913,350
DECOLANDO_17,Variante 17 do status decolando,#F0A9E5,351
APROXIMACAO_17,Variante 17 do status aproximacao,#F7EE40,352
MANUTENCAO_17,Variante 17 do status manutencao,#217367,353
AGUARDANDO_PIS_17,Variante 17 do status aguardando pista,#40E8F3,354
CHECK_IN_ABERT_17,Variante 17 do status check in aberto,#847342,355
CONCLUIDO_17,Variante 17 do status concluido,#156ADC,356
SUSPENSO_17,Variante 17 do status suspenso,#0175C2,357
REAGENDADO_17,Variante 17 do status reagendado,#CD2928,358
EMERGENCIA_17,Variante 17 do status emergencia,#EC673A,359
PRE_VOO_17,Variante 17 do status pre voo,#4A79C2,360
PROGRAMADO_18,Variante 18 do status programado,#319CA1,361
EMBARQUE_18,Variante 18 do status embarque,#8B01DD,362
EM_VOO_18,Variante 18 do status em voo,#28C3E1,363
ATERRISSADO_18,Variante 18 do status aterrissado,#E2BD5C,364
CANCELADO_18,Variante 18 do status cancelado,#8AAF7B,365
ATRASADO_18,Variante 18 do status atrasado,#D3D06A,366
DESVIADO_18,Variante 18 do status desviado,#358C54,367
TAXIANDO_18,Variante 18 do status taxiando,#73F46B,368
PORTAO_ABERTO_18,Variante 18 do status portao aberto,#A72432,369
PORTAO_FECHADO_18,Variante 18 do status portao fechado,#5E920A,370
DECOLANDO_18,Variante 18 do status decolando,#C9FE7A,371
APROXIMACAO_18,Variante 18 do status aproximacao,#C0C8C5,372
MANUTENCAO_18,Variante 18 do status manutencao,#87B18C,373
AGUARDANDO_PIS_18,Variante 18 do status aguardando pista,#D828A5,374
CHECK_IN_ABERT_18,Variante 18 do status check in aberto,#7F79C0,375
CONCLUIDO_18,Variante 18 do status concluido,#CAA9E9,376
SUSPENSO_18,Variante 18 do status suspenso,#E1751D,377
REAGENDADO_18,Variante 18 do status reagendado,#9F8C1A,378
EMERGENCIA_18,Variante 18 do status emergencia,#C327B8,379
PRE_VOO_18,Variante 18 do status pre voo,#9FEC61,380
PROGRAMADO_19,Variante 19 do status programado,#2E3B42,381
EMBARQUE_19,Variante 19 do status embarque,#A7975A,382
EM_VOO_19,Variante 19 do status em voo,#AE39D5,383
ATERRISSADO_19,Variante 19 do status aterrissado,#85BE7A,384
CANCELADO_19,Variante 19 do status cancelado,#A08A5E,385
ATRASADO_19,Variante 19 do status atrasado,#193DEB,386
DESVIADO_19,Variante 19 do status desviado,#38A697,387
TAXIANDO_19,Variante 19 do status taxiando,#3F8C3D,388
PORTAO_ABERTO_19,Variante 19 do status portao aberto,#450045,389
PORTAO_FECHADO_19,Variante 19 do status portao fechado,#5C752B,390
DECOLANDO_19,Variante 19 do status decolando,#1DFF41,391
APROXIMACAO_19,Variante 19 do status aproximacao,#F49C87,392
MANUTENCAO_19,Variante 19 do status manutencao,#B8FE6B,393
AGUARDANDO_PIS_19,Variante 19 do status aguardando pista,#7E27AE,394
CHECK_IN_ABERT_19,Variante 19 do status check in aberto,#C352A5,395
CONCLUIDO_19,Variante 19 do status concluido,#16C730,396
SUSPENSO_19,Variante 19 do status suspenso,#B3D87C,397
REAGENDADO_19,Variante 19 do status reagendado,#3A0E0F,398
EMERGENCIA_19,Variante 19 do status emergencia,#240953,399
PRE_VOO_19,Variante 19 do status pre voo,#F2EF26,400
PROGRAMADO_20,Variante 20 do status programado,#283F16,401
EMBARQUE_20,Variante 20 do status embarque,#D84F94,402
EM_VOO_20,Variante 20 do status em voo,#1FAD0C,403
ATERRISSADO_20,Variante 20 do status aterrissado,#74426A,404
CANCELADO_20,Variante 20 do status cancelado,#CA2E77,405
ATRASADO_20,Variante 20 do status atrasado,#6A0E74,406
DESVIADO_20,Variante 20 do status desviado,#D7ADED,407
TAXIANDO_20,Variante 20 do status taxiando,#A0F777,408
PORTAO_ABERTO_20,Variante 20 do status portao aberto,#7F4252,409
PORTAO_FECHADO_20,Variante 20 do status portao fechado,#D25303,410
DECOLANDO_20,Variante 20 do status decolando,#406403,411
APROXIMACAO_20,Variante 20 do status aproximacao,#33344A,412
MANUTENCAO_20,Variante 20 do status manutencao,#851250,413
AGUARDANDO_PIS_20,Variante 20 do status aguardando pista,#A7C23E,414
CHECK_IN_ABERT_20,Variante 20 do status check in aberto,#BEA9B0,415
CONCLUIDO_20,Variante 20 do status concluido,#1C934E,416
SUSPENSO_20,Variante 20 do status suspenso,#C20A0C,417
REAGENDADO_20,Variante 20 do status reagendado,#F89485,418
EMERGENCIA_20,Variante 20 do status emergencia,#03EE6A,419
PRE_VOO_20,Variante 20 do status pre voo,#192A6A,420
PROGRAMADO_21,Variante 21 do status programado,#0CAF12,421
EMBARQUE_21,Variante 21 do status embarque,#9A2E12,422
EM_VOO_21,Variante 21 do status em voo,#4592F2,423
ATERRISSADO_21,Variante 21 do status aterrissado,#98F0F5,424
CANCELADO_21,Variante 21 do status cancelado,#801C8A,425
ATRASADO_21,Variante 21 do status atrasado,#5B9C64,426
DESVIADO_21,Variante 21 do status desviado,#180AEB,427
TAXIANDO_21,Variante 21 do status taxiando,#962DB1,428
PORTAO_ABERTO_21,Variante 21 do status portao aberto,#C0AF0C,429
PORTAO_FECHADO_21,Variante 21 do status portao fechado,#C005DA,430
DECOLANDO_21,Variante 21 do status decolando,#8C4604,431
APROXIMACAO_21,Variante 21 do status aproximacao,#DEAC43,432
MANUTENCAO_21,Variante 21 do status manutencao,#DCD898,433
