nome,fabricante_id,capacidade_passageiros,alcance_km,peso_max_decolagem_kg,ano_primeiro_voo,envergadura_metros
Modelo Q-141,844,55,6824,143278.56,1995,27.37
Modelo R-142,551,58,11769,587576.0,1973,65.58
Modelo S-143,392,402,11712,165546.92,1986,72.18
Modelo T-144,333,162,5403,134292.4,2010,25.89
Modelo U-145,748,168,12899,268833.58,1978,78.15
Modelo V-146,508,97,3973,283743.22,1982,28.22
Modelo W-147,966,301,12951,120537.89,1996,16.47
Modelo X-148,907,133,3911,493237.03,1984,19.86
Modelo Y-149,437,86,5018,281189.13,2011,22.02
Modelo Z-150,141,319,12907,454009.86,1961,57.23
Modelo A-151,394,243,1339,79370.78,1961,68.44
Modelo B-152,958,379,1716,92324.74,1970,33.74
Modelo C-153,615,371,1221,478554.25,1961,82.03
Modelo D-154,556,104,13060,493679.39,1970,29.16
Modelo E-155,778,295,10221,537048.32,1980,36.52
Modelo F-156,159,295,4994,47687.17,1994,58.92
Modelo G-157,22,113,14515,41047.62,1997,22.18
Modelo H-158,426,478,3323,15708.1,1988,16.68
Modelo J-159,395,268,3414,221686.3,1996,30.81
Modelo K-160,701,500,7303,416758.28,1974,49.43
Modelo L-161,230,106,2666,574532.9,1996,40.01
Modelo M-162,342,365,2939,225888.7,1970,77.69
Modelo N-163,155,359,3917,265747.62,2002,56.97
Modelo P-164,436,397,3461,537473.77,1998,58.73
Modelo Q-165,357,196,15342,75794.7,2023,61.32
Modelo R-166,831,185,15860,431114.41,1969,70.22
Modelo S-167,956,491,3435,470003.66,1978,37.42
Modelo T-168,458,249,12818,481157.68,2021,72.03
Modelo U-169,592,107,8003,576357.41,1995,25.13
Modelo V-170,131,215,3979,464008.22,2005,37.35
Modelo W-171,493,267,12361,584116.59,2002,24.68
Modelo X-172,944,384,5028,239163.35,2023,52.71
Modelo Y-173,546,302,9785,495521.46,2009,20.85
Modelo Z-174,432,416,9633,353057.72,1988,64.22
Modelo A-175,371,170,1046,133918.6,1962,40.37
Modelo B-176,981,292,3188,553728.9,1967,78.8
Modelo C-177,870,234,14915,522061.92,1977,35.63
Modelo D-178,856,123,14980,337627.73,2013,31.97
Modelo E-179,230,473,1915,451992.29,1975,82.34
Modelo F-180,147,410,7184,443852.69,2014,41.02
Modelo G-181,109,409,11858,355240.14,2021,73.62
Modelo H-182,162,495,1494,100928.7,1978,20.53
Modelo J-183,13,89,10325,501174.78,2013,25.48
Modelo K-184,482,143,13182,96965.75,1998,47.91
Modelo L-185,346,419,8274,472117.19,1961,35.07
Modelo M-186,62,129,15436,390835.75,1982,50.23
Modelo N-187,406,55,14642,262818.15,2018,53.79
Modelo P-188,265,474,10372,308595.38,1989,44.66
Modelo Q-189,279,130,2506,320078.11,1976,67.02
Modelo R-190,634,255,1917,143060.25,1983,72.58
Modelo S-191,620,336,14790,60167.41,2019,48.42
Modelo T-192,658,384,7637,498943.4,1981,18.83
Modelo U-193,663,240,7950,128917.39,1973,22.31
Modelo V-194,618,235,13759,510266.43,1963,31.77
Modelo W-195,555,133,2744,53211.71,1961,67.96
Modelo X-196,193,208,10038,133009.66,1964,31.82
Modelo Y-197,584,93,10253,41251.6,2021,18.2
Modelo Z-198,96,211,6056,19960.06,2005,67.62
Modelo A-199,513,253,4192,198966.38,2010,65.8
Modelo B-200,720,116,12054,71967.2,2012,77.76
Modelo C-201,104,307,9227,487384.18,1979,16.66
Modelo D-202,392,457,8814,358019.55,1964,35.31
Modelo E-203,699,127,8587,61070.42,1971,81.7
Modelo F-204,906,168,4533,487373.48,1978,68.82
Modelo G-205,987,132,9218,317035.97,2003,46.32
Modelo H-206,348,117,5765,225785.07,2015,17.8
Modelo J-207,793,414,12188,241766.05,1986,84.79
Modelo K-208,77,360,3496,346637.0,2023,21.82
Modelo L-209,147,57,13555,524217.63,1971,49.92
Modelo M-210,322,282,3780,561422.74,1980,19.77
Modelo N-211,373,345,6789,67199.11,1982,64.75
Modelo P-212,265,285,8753,587413.0,2016,60.52
Modelo Q-213,963,121,3031,583433.18,2022,17.77
Modelo R-214,294,489,7568,254284.44,1976,45.86
Modelo S-215,866,312,11233,571946.3,2007,20.84
Modelo T-216,519,261,8374,168754.05,1965,58.44
Modelo U-217,59,379,13141,477495.52,1961,25.82
Modelo V-218,298,103,7157,107550.4,2011,74.77
Modelo W-219,398,164,15322,285432.96,1971,39.43
Modelo X-220,658,289,9767,541574.01,2019,22.64
Modelo Y-221,750,142,2775,551714.31,2010,68.78
Modelo Z-222,412,152,6385,52715.85,2003,84.75
Modelo A-223,218,298,12506,448651.59,1974,34.49
Modelo B-224,559,69,3551,569892.2,1978,59.82
Modelo C-225,582,213,1513,592869.28,2008,19.37
Modelo D-226,371,463,13936,266614.2,2020,29.94
Modelo E-227,889,158,1375,572297.33,2014,33.89
Modelo F-228,181,375,2369,97916.67,1995,43.35
Modelo G-229,895,202,12668,279081.25,2013,51.73
Modelo H-230,915,392,5250,122685.8,1966,21.47
Modelo J-231,351,269,13340,188689.41,1985,39.45
Modelo K-232,494,264,8790,328271.18,1980,82.59
Modelo L-233,364,273,15952,420347.34,2009,72.61
Modelo M-234,802,337,15643,364320.25,1969,65.59
Modelo N-235,632,346,3369,204383.56,2000,15.99
Modelo P-236,957,284,3416,307175.72,2000,22.95
Modelo Q-237,417,395,5305,319604.64,1960,84.18
Modelo R-238,878,476,3059,386061.44,1972,17.55
Modelo S-239,193,431,7884,422420.96,1981,57.07
Modelo T-240,357,160,4436,572140.48,1961,40.92
Modelo U-241,17,236,5947,539543.12,2024,72.33
Modelo V-242,717,113,9177,394613.33,2018,43.98
Modelo W-243,361,230,14568,332343.2,2002,22.94
Modelo X-244,470,140,8018,233276.07,1980,52.99
Modelo Y-245,292,245,14845,400869.28,2015,59.39
Modelo Z-246,636,409,15841,516343.4,1971,71.42
Modelo A-247,92,103,11643,24609.5,2012,22.26
Modelo B-248,770,433,11220,557428.91,1972,59.35
Modelo C-249,596,307,14203,34091.79,1997,74.62
Modelo D-250,229,158,13728,280958.48,2008,23.02
Modelo E-251,481,488,3038,220109.0,2019,43.91
Modelo F-252,661,470,12531,474011.57,2010,15.53
Modelo G-253,801,241,4668,311923.08,1994,76.57
Modelo H-254,315,185,14737,543063.74,2013,62.13
Modelo J-255,922,52,15894,257515.65,1961,16.84
Modelo K-256,384,454,14775,492773.6,2000,38.46
Modelo L-257,441,342,4962,340107.66,2010,28.49
Modelo M-258,403,379,14574,45174.88,2014,24.02
Modelo N-259,400,375,12929,116624.6,2000,51.21
Modelo P-260,237,273,2631,430364.54,1976,50.3
Modelo Q-261,591,373,13849,244327.12,1993,73.61
Modelo R-262,972,131,6282,134201.11,1971,16.79
Modelo S-263,644,55,13616,362073.59,1963,58.27
Modelo T-264,943,328,2290,349499.39,1963,66.96
Modelo U-265,465,116,11395,384428.55,2005,28.06
Modelo V-266,920,384,4633,188699.67,1991,65.84
Modelo W-267,805,463,7194,465679.08,1966,34.25
Modelo X-268,643,123,1379,388456.14,1973,22.77
Modelo Y-269,126,355,2754,97973.7,1993,77.62
Modelo Z-270,80,97,9097,509104.81,1986,42.36
Modelo A-271,815,301,1359,257040.9,2022,82.15
Modelo B-272,216,89,12261,260645.66,2000,59.35
Modelo C-273,828,280,3639,120186.76,1961,78.25
Modelo D-274,581,387,11341,369893.09,1964,23.2
Modelo E-275,356,225,8928,597025.89,1960,26.09
Modelo F-276,261,429,2992,127814.48,1963,52.52
Modelo G-277,525,315,13467,104122.42,2006,23.04
Modelo H-278,31,161,6366,96060.54,1970,65.94
Modelo J-279,275,114,5483,296721.3,1971,39.4
Modelo K-280,668,332,5822,288220.59,2023,45.52
Modelo L-281,945,254,4163,161304.49,1985,63.09
Modelo M-282,288,417,7436,75193.34,1999,26.6
Modelo N-283,977,155,12830,300381.6,2017,44.66
Modelo P-284,279,432,14367,201467.98,1973,57.51
Modelo Q-285,205,269,10292,221455.57,1968,46.46
Modelo R-286,982,67,9378,163042.24,2012,35.54
Modelo S-287,899,473,11569,570971.18,2005,42.88
Modelo T-288,185,108,14255,203768.48,1983,40.04
Modelo U-289,221,87,11763,232421.27,1978,69.57
Modelo V-290,10,112,6219,417651.06,2002,29.96
Modelo W-291,815,340,6268,540765.22,1968,41.99
Modelo X-292,218,358,9638,142216.1,1995,65.14
Modelo Y-293,881,463,11999,58772.15,2013,62.75
Modelo Z-294,326,272,14326,202271.02,1985,18.48
Modelo A-295,511,302,1766,594301.93,2013,23.35
Modelo B-296,176,281,10853,206221.73,2009,31.55
Modelo C-297,292,60,1292,391544.97,1960,78.82
Modelo D-298,135,195,14789,580609.33,1964,77.71
Modelo E-299,41,320,6527,392193.76,1968,47.89
Modelo F-300,822,474,7800,438103.4,1995,37.2
Modelo G-301,410,227,2306,340523.37,2000,49.57
Modelo H-302,403,74,5889,422427.31,2018,49.53
Modelo J-303,991,378,15917,86026.57,2007,80.64
Modelo K-304,30,102,4670,42983.03,1961,24.71
Modelo L-305,883,215,12265,438688.22,1988,26.91
Modelo M-306,742,147,15782,490184.96,1960,80.39
Modelo N-307,54,494,5254,531741.82,1965,22.76
Modelo P-308,77,205,5320,207657.45,2008,33.89
Modelo Q-309,948,137,3257,356320.12,1975,23.84
Modelo R-310,152,491,13337,356716.23,2012,59.58
Modelo S-311,126,392,9548,323639.52,2021,61.29
Modelo T-312,330,193,13658,442555.78,1988,21.43
Modelo U-313,304,442,12655,63434.65,1991,61.16
Modelo V-314,877,426,4373,421554.56,1969,83.02
Modelo W-315,218,80,1215,407241.89,2019,72.3
Modelo X-316,500,146,2712,214163.33,2025,75.09
Modelo Y-317,968,439,6108,429479.73,1979,74.35
Modelo Z-318,937,104,3130,142989.13,2006,41.99
Modelo A-319,889,281,11165,315376.46,2011,28.16
Modelo B-320,434,192,3690,416465.61,1973,25.31
Modelo C-321,110,498,13206,79466.52,1962,77.59
Modelo D-322,274,145,1468,293600.65,2017,39.64
Modelo E-323,950,110,10016,64179.06,2015,29.84
Modelo F-324,515,253,8059,312137.19,1966,45.89
Modelo G-325,101,239,1805,394443.72,2014,28.58
Modelo H-326,413,146,3894,362518.76,2023,51.3
Modelo J-327,698,105,1817,393111.74,1974,30.37
Modelo K-328,917,77,1584,351509.84,1990,19.61
Modelo L-329,283,101,4710,531321.17,2011,42.43
Modelo M-330,226,101,13024,497080.16,1994,49.66
Modelo N-331,805,137,4335,218365.37,1996,64.41
Modelo P-332,752,197,1050,70131.9,2024,78.54
Modelo Q-333,489,368,13109,193614.65,1990,26.92
Modelo R-334,72,398,3730,124596.48,2018,24.93
Modelo S-335,683,56,8775,265334.69,1962,27.43
Modelo T-336,903,185,2261,114874.19,1961,56.58
Modelo U-337,598,292,1016,300659.79,1991,48.08
Modelo V-338,839,73,1284,346851.04,1997,73.48
Modelo W-339,516,318,3741,456670.6,1972,22.0
Modelo X-340,754,461,6499,279780.57,2004,84.29
Modelo Y-341,680,181,8970,163319.05,2018,15.95
Modelo Z-342,309,230,12635,210237.24,2021,22.89
Modelo A-343,532,401,12931,389283.18,1978,83.5
Modelo B-344,226,488,11803,596540.93,2005,49.85
Modelo C-345,592,175,13140,422046.56,2015,40.16
Modelo D-346,92,431,4175,553578.64,2008,59.71
Modelo E-347,899,190,11270,412098.89,2017,84.11
Modelo F-348,540,498,3866,170205.96,2004,77.16
Modelo G-349,604,250,7836,567980.9,1995,36.65
Modelo H-350,594,71,9520,425573.85,1975,45.34
Modelo J-351,581,282,13984,478519.2,1996,22.71
Modelo K-352,511,54,12231,101071.69,1979,51.62
Modelo L-353,639,198,10144,403627.39,1998,49.08
Modelo M-354,819,83,5828,24121.55,1965,30.21
Modelo N-355,608,472,3022,46118.07,1999,15.36
Modelo P-356,677,230,14666,15375.4,1992,24.64
Modelo Q-357,291,499,13865,517521.17,1979,81.76
Modelo R-358,278,415,3337,597609.84,1985,45.24
Modelo S-359,298,91,4585,33799.96,2005,32.41
Modelo T-360,653,397,7328,262199.52,1972,77.51
Modelo U-361,612,204,6091,116381.65,2015,62.52
Modelo V-362,824,215,10472,96418.17,1985,32.5
Modelo W-363,568,263,4268,191121.43,1970,35.81
Modelo X-364,473,371,9942,122272.72,2015,21.72
Modelo Y-365,453,319,12372,198257.37,2005,47.79
Modelo Z-366,478,268,7889,577446.45,2019,16.94
Modelo A-367,28,336,13562,261237.39,1977,58.06
Modelo B-368,806,204,4975,354488.61,2007,23.91
Modelo C-369,922,328,10266,528516.06,1966,67.87
Modelo D-370,129,251,7601,406996.35,2019,71.52
Modelo E-371,531,497,8540,505930.85,1970,18.83
Modelo F-372,666,474,2753,210087.82,1972,72.54
Modelo G-373,494,339,12314,208814.94,1967,23.5
Modelo H-374,691,349,9369,447527.6,1966,64.11
Modelo J-375,148,314,10208,448148.11,2023,24.55
Modelo K-376,656,395,14963,105543.66,1999,65.34
Modelo L-377,825,53,8945,379843.39,1985,23.03
Modelo M-378,157,50,10892,529740.95,1972,32.3
Modelo N-379,486,103,1403,502144.97,2016,42.35
Modelo P-380,308,112,7628,297975.92,1983,72.42
Modelo Q-381,869,480,9957,167258.84,2016,75.15
Modelo R-382,127,365,8083,100554.13,1962,27.94
Modelo S-383,763,469,11771,155798.91,2025,66.92
Modelo T-384,206,329,8801,296072.88,1997,61.73
Modelo U-385,505,351,7018,405604.3,2010,42.01
Modelo V-386,110,459,8601,258884.43,2014,25.37
Modelo W-387,469,195,2968,345062.31,1961,55.64
Modelo X-388,661,67,11656,537534.27,2016,17.98
Modelo Y-389,986,231,3282,288725.66,2018,34.38
Modelo Z-390,367,131,9202,515666.15,2024,29.75
Modelo A-391,538,411,7399,315131.42,1982,60.91
Modelo B-392,672,230,12783,344441.44,2018,65.06
Modelo C-393,144,452,5560,474202.15,1998,79.64
Modelo D-394,939,84,14751,392403.39,2008,82.38
Modelo E-395,675,360,3955,351982.79,2024,69.28
Modelo F-396,266,319,3120,423194.69,2004,55.91
Modelo G-397,414,474,2107,41283.54,1980,31.22
Modelo H-398,109,390,9182,561526.84,2020,37.66
Modelo J-399,791,168,14247,551601.94,1990,22.38
Modelo K-400,179,500,12930,537096.62,2013,79.57
Modelo L-401,627,81,5103,81967.16,1969,45.91
Modelo M-402,622,241,11343,506797.42,1982,37.48
Modelo N-403,461,407,7187,92931.74,1985,28.7
Modelo P-404,449,301,12122,182362.26,1985,66.95
Modelo Q-405,834,272,9659,488073.25,1984,21.02
Modelo R-406,645,62,11955,71280.58,1964,71.7
Modelo S-407,369,52,13687,253696.01,1969,38.85
Modelo T-408,748,399,15925,441045.86,2023,28.31
Modelo U-409,585,156,14559,292133.73,2005,39.95
Modelo V-410,874,336,3258,483933.6,2016,44.93
Modelo W-411,895,242,2161,347954.17,1976,69.77
Modelo X-412,104,202,2932,306746.66,1966,57.1
Modelo Y-413,24,219,4670,495476.77,1997,79.56
Modelo Z-414,400,178,12522,224374.54,1980,82.77
Modelo A-415,548,88,10426,156218.06,2024,36.86
Modelo B-416,59,366,9944,423047.98,1974,55.79
Modelo C-417,669,184,1491,33880.71,2013,33.26
Modelo D-418,910,221,13529,49744.3,1986,53.3
Modelo E-419,338,425,13408,403051.63,1967,31.49
Modelo F-420,825,87,10238,544029.46,1964,39.21
Modelo G-421,973,86,7819,364916.36,1970,77.13
Modelo H-422,970,295,3121,173247.42,1965,22.28
Modelo J-423,520,304,4690,395447.13,2015,48.43
Modelo K-424,871,450,15359,583307.4,1962,80.19
Modelo L-425,793,63,13809,489647.45,2008,62.74
Modelo M-426,19,427,10052,297071.4,2009,68.6
Modelo N-427,129,406,8040,425282.61,1977,23.09
Modelo P-428,919,110,11086,589782.72,2007,39.63
Modelo Q-429,448,225,1949,154329.57,1971,56.2
Modelo R-430,423,166,13246,455252.9,1965,84.37
Modelo S-431,895,57,12793,161204.6,1967,20.36
Modelo T-432,450,114,3958,180318.65,2000,39.48
Modelo U-433,912,385,5001,598881.95,1976,57.43
Modelo V-434,674,295,3005,399105.32,1969,32.51
Modelo W-435,211,328,9108,427574.28,2005,77.83
Modelo X-436,226,489,8266,432183.31,2006,69.61
Modelo Y-437,890,199,11709,157860.39,1994,37.32
Modelo Z-438,516,327,2710,46588.56,2012,64.39
Modelo A-439,498,368,5583,60890.95,1977,73.9
Modelo B-440,237,316,5996,449016.57,1986,23.59
Modelo C-441,836,421,13909,98047.32,1990,63.88
Modelo D-442,783,382,8434,572531.31,1962,49.92
Modelo E-443,277,67,5554,359120.49,1998,72.9
Modelo F-444,62,93,5572,514925.93,2009,49.68
Modelo G-445,392,491,7302,274751.55,1988,29.4
Modelo H-446,676,144,8062,326507.78,1999,17.19
Modelo J-447,357,440,1425,547381.59,2003,79.59
Modelo K-448,830,184,13342,360710.8,1963,38.87
Modelo L-449,637,474,8111,521459.24,1967,71.52
Modelo M-450,398,333,12817,560496.53,1996,75.1
Modelo N-451,475,323,7944,349972.49,1993,26.38
Modelo P-452,479,245,13216,595678.65,1990,24.23
Modelo Q-453,288,57,14100,414320.26,1995,20.99
Modelo R-454,790,177,9893,188057.58,2010,17.7
Modelo S-455,371,190,5403,400649.52,1961,23.7
Modelo T-456,677,341,6259,504059.88,1982,46.07
Modelo U-457,451,58,1145,287867.11,2005,48.61
Modelo V-458,570,482,4569,254037.37,1970,34.35
Modelo W-459,565,362,6145,572676.57,2016,27.59
Modelo X-460,806,442,5524,166831.37,2023,23.91
Modelo Y-461,179,372,3406,524674.92,1966,31.29
Modelo Z-462,40,385,4018,415398.21,2016,55.59
Modelo A-463,567,71,12753,148352.17,1993,83.27
Modelo B-464,695,58,14843,516631.83,2005,52.83
Modelo C-465,615,72,4845,219591.85,1969,50.49
Modelo D-466,524,107,2268,153632.55,2001,54.93
Modelo E-467,843,474,12157,258342.26,2014,76.31
Modelo F-468,26,123,6350,370075.54,2006,38.45
Modelo G-469,919,258,11682,234208.63,1997,58.53
Modelo H-470,378,132,1730,185160.49,1979,78.83
Modelo J-471,109,63,10978,138715.59,2000,50.76
Modelo K-472,760,449,9326,473328.28,2004,80.8
Modelo L-473,851,243,10546,34070.72,1979,41.68
Modelo M-474,81,382,2266,575795.72,1988,54.58
Modelo N-475,646,344,9982,444361.48,1975,74.33
Modelo P-476,818,320,1842,370154.68,2016,37.19
Modelo Q-477,857,149,10424,186443.21,1991,38.01
Modelo R-478,787,459,6930,150071.06,2000,67.37
Modelo S-479,710,109,4949,275329.38,2012,40.33
Modelo T-480,574,230,9284,59719.6,2006,60.73
Modelo U-481,236,359,8355,474987.92,1989,54.85
Modelo V-482,129,473,9808,158292.2,2012,62.19
Modelo W-483,142,390,10921,167263.19,1996,38.91
Modelo X-484,84,110,7692,261298.22,1978,55.32
Modelo Y-485,903,373,13659,130890.97,1983,76.35
Modelo Z-486,171,57,2979,259895.98,2020,67.0
Modelo A-487,891,114,1558,502807.26,1963,63.3
Modelo B-488,136,87,9436,522124.79,2009,78.3
Modelo C-489,131,231,7591,422703.29,1990,64.84
Modelo D-490,345,110,15703,497458.62,2003,56.4
Modelo E-491,111,365,12832,41464.05,2005,81.49
Modelo F-492,646,259,8368,448308.03,2015,35.25
Modelo G-493,717,294,3205,444064.23,2025,20.87
Modelo H-494,608,53,10716,231376.24,2018,41.56
Modelo J-495,181,274,9334,437681.91,1995,81.13
Modelo K-496,238,99,5871,303576.68,1966,54.49
Modelo L-497,594,318,9326,508778.27,2014,34.97
Modelo M-498,327,246,13407,119373.25,1978,17.94
Modelo N-499,904,426,12976,138248.2,1995,55.26
Modelo P-500,322,365,2629,218197.18,1981,23.3
Modelo Q-501,499,190,8191,145825.52,1981,35.19
Modelo R-502,621,182,13344,77079.88,1989,61.65
Modelo S-503,99,122,4388,338015.61,2025,67.84
Modelo T-504,613,64,15787,38250.85,1984,15.47
Modelo U-505,843,476,1422,231181.23,1996,80.93
Modelo V-506,437,342,12994,275222.44,1976,73.17
Modelo W-507,941,201,2795,434006.78,1975,46.11
Modelo X-508,506,271,5309,65815.34,1977,84.52
Modelo Y-509,685,424,2908,581537.15,1970,67.1
Modelo Z-510,745,163,2218,206362.69,2024,38.47
Modelo A-511,646,282,13050,315013.81,1969,64.48
Modelo B-512,914,211,1628,268525.91,2000,28.33
Modelo C-513,677,335,14723,528380.52,1964,81.44
Modelo D-514,9,371,5029,95071.68,2008,76.05
Modelo E-515,690,162,4205,170192.34,1979,48.92
Modelo F-516,752,145,9138,180320.81,1985,59.43
Modelo G-517,974,95,9459,516436.73,1987,15.22
Modelo H-518,503,84,10137,372562.05,1982,17.72
Modelo J-519,270,402,11049,237469.78,1990,59.64
Modelo K-520,544,297,11763,573286.1,1998,73.85
Modelo L-521,300,498,11944,298760.07,2010,56.85
Modelo M-522,493,328,5840,71471.94,1974,82.4
Modelo N-523,783,436,5706,260462.51,2017,37.78
Modelo P-524,436,389,2897,118073.75,2000,61.24
Modelo Q-525,714,227,7522,427319.0,2021,73.81
Modelo R-526,501,492,10847,256021.71,1990,17.03
Modelo S-527,520,187,4524,535539.21,2012,19.26
Modelo T-528,331,445,5286,409868.59,2012,42.4
Modelo U-529,436,276,7531,167509.14,1966,33.78
Modelo V-530,225,422,6567,387215.72,1965,36.6
Modelo W-531,227,259,10379,527238.86,1986,69.57
Modelo X-532,971,106,11048,372289.57,1976,57.35
Modelo Y-533,974,60,12832,27353.85,2008,21.32
Modelo Z-534,342,410,15945,221329.87,1968,60.85
Modelo A-535,216,315,6932,328251.51,1980,73.67
Modelo B-536,881,252,12760,149160.66,1980,78.75
Modelo C-537,424,219,4532,338476.43,1991,80.8
Modelo D-538,866,68,1328,456746.26,1973,50.1
Modelo E-539,497,455,1692,106813.12,1998,16.7
Modelo F-540,791,373,12273,159675.61,1994,67.49
Modelo G-541,803,466,7190,398336.44,1976,72.28
Modelo H-542,277,498,15122,64676.23,1969,50.32
Modelo J-543,781,410,13003,257997.31,1961,66.99
Modelo K-544,620,327,3487,70900.65,2010,28.6
Modelo L-545,880,360,6114,474091.48,2014,50.86
Modelo M-546,310,61,5490,283459.8,1972,33.5
Modelo N-547,591,385,8723,235299.72,2014,21.51
Modelo P-548,575,258,5563,297759.47,2024,32.12
Modelo Q-549,509,58,12920,245282.43,2007,68.39
Modelo R-550,111,415,8409,146075.6,1963,42.81
Modelo S-551,458,168,7059,293931.7,1973,60.0
Modelo T-552,148,220,14265,383499.59,1970,21.68
Modelo U-553,213,136,15169,566124.57,1991,20.87
Modelo V-554,632,256,14730,292006.07,1989,19.13
Modelo W-555,259,302,7747,197201.15,2003,73.4
Modelo X-556,330,68,12288,345707.73,2012,76.0
Modelo Y-557,707,187,4427,456697.19,2022,53.19
Modelo Z-558,983,210,11682,152907.51,2019,64.62
Modelo A-559,569,313,15068,447715.72,1970,79.49
Modelo B-560,717,267,2269,234776.34,1961,26.35
Modelo C-561,125,433,3722,130460.05,1974,17.73
Modelo D-562,508,267,3797,381306.47,2022,24.79
Modelo E-563,561,497,7850,248652.31,1997,23.23
Modelo F-564,738,200,15421,410859.65,2001,58.06
Modelo G-565,578,240,11653,112078.22,1997,51.63
Modelo H-566,823,154,11059,571917.29,2007,51.36
Modelo J-567,484,178,8583,138211.02,2002,79.9
Modelo K-568,873,418,3217,111079.35,2020,15.69
Modelo L-569,184,263,3463,290238.66,1960,36.83
Modelo M-570,205,146,12371,69900.99,2018,38.17
Modelo N-571,640,81,8679,362755.86,1968,39.53
Modelo P-572,905,336,4703,216800.11,1961,79.95
Modelo Q-573,292,190,14447,548233.77,2014,55.91
Modelo R-574,377,206,11231,463688.47,1992,54.28
Modelo S-575,676,378,4319,60323.53,1979,22.21
Modelo T-576,287,160,3921,168818.51,1973,23.87
Modelo U-577,602,317,11564,463141.79,2002,55.3
Modelo V-578,607,486,10908,177183.94,2020,29.65
Modelo W-579,803,51,4798,593616.03,1971,80.07
Modelo X-580,151,364,3348,111418.76,1960,37.63
Modelo Y-581,141,76,9383,487232.12,2014,61.54
Modelo Z-582,310,217,9198,459604.34,1990,54.21
Modelo A-583,793,243,7316,428153.09,2005,36.82
Modelo B-584,325,317,9694,60746.8,1987,81.88
Modelo C-585,854,374,5550,431138.39,2015,54.23
Modelo D-586,712,300,13926,161565.34,1975,54.05
Modelo E-587,668,272,6704,119137.26,2006,74.88
Modelo F-588,687,444,6668,441167.53,1987,58.19
Modelo G-589,943,498,4129,238737.59,1982,80.32
Modelo H-590,201,55,8243,226179.96,1984,15.39
Modelo J-591,337,208,2541,547958.84,1992,50.2
Modelo K-592,622,56,5473,34613.99,1995,59.92
Modelo L-593,45,253,12395,426994.72,1995,58.77
Modelo M-594,844,342,1498,519963.41,2020,84.81
Modelo N-595,466,373,9033,116656.02,1973,17.67
Modelo P-596,628,64,15651,432286.61,1982,75.96
Modelo Q-597,85,117,7874,502927.69,1975,18.92
Modelo R-598,728,376,2021,198828.38,1995,83.84
Modelo S-599,671,149,11059,446410.37,2002,73.61
Modelo T-600,922,484,6185,540175.84,1981,78.4
Modelo U-601,740,350,7000,317059.16,2011,44.15
Modelo V-602,686,391,2007,52998.62,2024,25.33
Modelo W-603,86,186,3827,274388.34,1995,57.6
Modelo X-604,518,402,7705,116186.4,1960,36.78
Modelo Y-605,360,337,2928,214749.71,1971,54.63
Modelo Z-606,91,287,2904,552036.49,1983,66.07
Modelo A-607,326,145,10685,381575.59,1962,68.67
Modelo B-608,11,453,4563,388198.19,2018,20.69
Modelo C-609,966,420,5042,195052.66,1984,67.32
Modelo D-610,136,427,6087,46201.15,1996,27.46
