nome,codigo_iso2,codigo_iso3,continente
República de Aparecida,0M,AAW,AMERICA_DO_SUL
República de Vargas,0N,AAX,EUROPA
República de Barros de Goiás,0O,AAY,AMERICA_DO_SUL
República de Garcia,0P,AAZ,ASIA
República de Marques da Praia,0Q,ABA,OCEANIA
República de Freitas,0R,ABB,OCEANIA
República de Costela Paulista,0S,ABC,OCEANIA
República de Pereira,0T,ABD,AMERICA_DO_SUL
República de Nascimento,0U,ABE,AMERICA_DO_NORTE
República de Castro,0V,ABF,ASIA
República de Garcia de da Mata,0W,ABG,AMERICA_DO_NORTE
República de Rodrigues,0X,ABH,AMERICA_DO_SUL
República de Vargas do Norte,0Y,ABI,AFRICA
República de Andrade,0Z,ABJ,ANTARTICA
República de Guerra Paulista,10,ABK,ANTARTICA
República de Cunha 2,11,ABL,EUROPA
República de Cunha do Amparo,1A,ABM,ANTARTICA
República de Ramos dos Dourados,1B,ABN,ANTARTICA
República de da Luz,1C,ABO,ASIA
República de da Cruz,1D,ABP,OCEANIA
República de Souza Verde,1E,ABQ,AMERICA_DO_NORTE
República de Pacheco das Flores,1F,ABR,AFRICA
República de Câmara Grande,1G,ABS,AFRICA
República de Borges de Sá,1H,ABT,ASIA
República de Camargo,1I,ABU,ASIA
República de Pires,1J,ABV,ANTARTICA
República de Vieira,1K,ABW,AFRICA
República de Peixoto de Minas,1L,ABX,EUROPA
República de Garcia dos Dourados,1M,ABY,EUROPA
República de Novaes do Sul,1N,ABZ,AMERICA_DO_NORTE
República de Rodrigues 1,1O,ACA,EUROPA
República de Vargas Alegre,1P,ACB,AFRICA
República de da Rocha,1Q,ACC,ANTARTICA
República de Castro dos Dourados,1R,ACD,AFRICA
República de Silveira,1S,ACE,AMERICA_DO_SUL
República de Montenegro da Serra,1T,ACF,AFRICA
República de Pires 1,1U,ACG,ANTARTICA
República de Porto do Galho,1V,ACH,EUROPA
República de Cassiano,1W,ACI,OCEANIA
República de Teixeira da Serra,1X,ACJ,AMERICA_DO_NORTE
República de Peixoto,1Y,ACK,AMERICA_DO_SUL
República de Mendonça do Sul,1Z,ACL,EUROPA
República de Fonseca,A0,ACM,AMERICA_DO_NORTE
República de da Costa do Norte,A1,ACN,EUROPA
República de Nunes,A2,ACO,AMERICA_DO_SUL
República de Barros,A3,ACP,AFRICA
República de Azevedo de Teixeira,A4,ACQ,ANTARTICA
República de Cardoso,A5,ACR,OCEANIA
República de Novaes de Cavalcante,A6,ACS,AMERICA_DO_SUL
República de Moura das Pedras,A7,ACT,ANTARTICA
República de Nogueira,A8,ACU,AFRICA
República de Silva 1,A9,ACV,AMERICA_DO_SUL
República de Guerra da Praia,AA,ACW,ASIA
República de Moreira de Machado,AB,ACX,OCEANIA
República de da Cruz 1,AC,ACY,EUROPA
República de Azevedo,AD,ACZ,EUROPA
República de Almeida Verde,AE,ADA,OCEANIA
República de Pastor 1,AF,ADB,ASIA
República de Abreu,AG,ADC,ANTARTICA
República de Santos 1,AH,ADD,AFRICA
República de da Conceição,AI,ADE,EUROPA
República de Andrade 1,AJ,ADF,ANTARTICA
República de Barbosa do Galho,AK,ADG,ASIA
República de da Mota,AL,ADH,ANTARTICA
República de Cunha de Nogueira,AM,ADI,EUROPA
República de Silveira 1,AN,ADJ,AMERICA_DO_NORTE
República de da Cruz de Viana,AO,ADK,AFRICA
República de Jesus de Correia,AP,ADL,AMERICA_DO_NORTE
República de Brito,AQ,ADM,OCEANIA
República de Fogaça das Pedras,AS,ADN,ANTARTICA
República de Martins do Norte,AV,ADO,AFRICA
República de Araújo,AW,ADP,ASIA
República de Siqueira Alegre,AX,ADQ,AFRICA
República de da Cruz 2,AY,ADR,AFRICA
República de Correia,AZ,ADS,ASIA
República de Carvalho de Lima,B0,ADT,OCEANIA
República de da Mota 1,B1,ADU,AFRICA
República de da Cruz de Barbosa,B2,ADV,OCEANIA
República de Novaes de Brito,B3,ADW,OCEANIA
República de Rezende,B4,ADX,OCEANIA
República de Borges,B5,ADY,EUROPA
República de Cavalcante,B6,ADZ,AMERICA_DO_SUL
República de Mendonça do Amparo,B7,AEA,OCEANIA
República de Guerra,B8,AEB,ASIA
República de Cavalcante 1,B9,AEC,AMERICA_DO_SUL
República de Abreu das Flores,BA,AED,OCEANIA
República de Viana dos Dourados,BB,AEE,ASIA
República de Lima da Prata,BC,AEF,ASIA
República de Cassiano de Correia,BD,AEG,AMERICA_DO_NORTE
República de Cunha do Norte,BF,AEH,AMERICA_DO_NORTE
República de Souza,BG,AEI,AFRICA
República de Araújo do Norte,BH,AEJ,OCEANIA
República de Montenegro de Moura,BI,AEK,OCEANIA
República de Araújo 1,BJ,AEL,AMERICA_DO_SUL
República de Cirino,BK,AEM,ASIA
República de Peixoto 1,BL,AEN,OCEANIA
República de Rocha 1,BM,AEO,AFRICA
República de Guerra 1,BN,AEP,ANTARTICA
República de Nunes 1,BP,AEQ,ANTARTICA
República de Pacheco,BQ,AER,ANTARTICA
República de Pinto,BS,AES,EUROPA
República de Leão,BT,AET,ASIA
República de da Luz do Oeste,BU,AEU,ANTARTICA
República de da Costa Paulista,BV,AEV,EUROPA
República de Cardoso da Mata,BW,AEW,ANTARTICA
República de Dias de Sá,BX,AEX,AFRICA
República de Albuquerque,BY,AEY,AMERICA_DO_NORTE
República de Pinto de Nunes,BZ,AEZ,AFRICA
República de Barbosa,C0,AFA,EUROPA
República de Montenegro 1,C1,AFB,ASIA
República de Cardoso da Praia,C2,AFC,AMERICA_DO_SUL
República de da Cruz 3,C3,AFD,OCEANIA
República de da Paz da Serra,C4,AFE,AFRICA
República de Nogueira de Santos,C5,AFF,ASIA
República de Pimenta do Galho,C6,AFG,OCEANIA
República de Rios,C7,AFH,AMERICA_DO_NORTE
República de Ribeiro do Campo,C8,AFI,AMERICA_DO_NORTE
República de da Luz 1,C9,AFJ,OCEANIA
República de Caldeira,CB,AFK,AMERICA_DO_NORTE
República de da Mata,CC,AFL,ASIA
República de Pereira do Oeste,CD,AFM,AFRICA
República de Costela Paulista 1,CE,AFN,ASIA
República de da Cunha de Aragão,CF,AFO,ASIA
República de Porto,CG,AFP,OCEANIA
República de da Mota do Norte,CI,AFQ,AMERICA_DO_SUL
República de Farias,CJ,AFR,AMERICA_DO_SUL
República de Porto 1,CK,AFS,AFRICA
República de Castro dos Dourados 1,CM,AFT,OCEANIA
República de Novais do Sul,CP,AFU,AMERICA_DO_SUL
República de Barbosa 1,CQ,AFV,AMERICA_DO_NORTE
República de Nogueira 1,CR,AFW,AMERICA_DO_SUL
República de Freitas 1,CS,AFX,AMERICA_DO_NORTE
República de Lopes,CT,AFY,AFRICA
República de Aparecida 1,CU,AFZ,ASIA
República de Fonseca do Norte,CV,AGA,ASIA
República de Costela de Goiás,CW,AGB,AMERICA_DO_SUL
República de Fogaça,CX,AGC,AMERICA_DO_NORTE
República de Pinto Grande,CY,AGD,EUROPA
República de Castro 1,D0,AGE,ANTARTICA
República de Jesus,D1,AGF,EUROPA
República de Cavalcanti,D2,AGG,ANTARTICA
República de Viana das Pedras,D3,AGH,EUROPA
República de da Mata 1,D4,AGI,ASIA
República de Viana,D5,AGJ,OCEANIA
República de Garcia 1,D6,AGK,ASIA
República de Melo,D7,AGL,ANTARTICA
República de Costa,D8,AGM,OCEANIA
República de Ferreira de das Neves,D9,AGN,AMERICA_DO_NORTE
República de Câmara,DA,AGO,AMERICA_DO_SUL
República de Ribeiro,DB,AGP,EUROPA
República de Guerra 2,DC,AGQ,AMERICA_DO_NORTE
República de da Mota de Minas,DD,AGR,AMERICA_DO_NORTE
República de Ferreira do Galho,DF,AGS,AMERICA_DO_SUL
República de Rocha da Prata,DG,AGT,AMERICA_DO_NORTE
República de Alves do Campo,DH,AGU,AMERICA_DO_SUL
República de Cavalcanti Verde,DI,AGV,AFRICA
República de Andrade do Campo,DJ,AGW,AMERICA_DO_SUL
República de Ferreira Alegre,DL,AGX,ANTARTICA
República de Pereira do Galho,DM,AGY,EUROPA
República de Gomes,DN,AGZ,OCEANIA
República de da Cunha,DO,AHA,OCEANIA
República de Santos 2,DP,AHB,EUROPA
República de Abreu do Galho,DQ,AHC,OCEANIA
República de Fonseca 1,DR,AHD,AMERICA_DO_SUL
República de Azevedo Alegre,DS,AHE,ANTARTICA
República de Ribeiro do Campo 1,DT,AHF,AFRICA
República de Montenegro da Mata,DU,AHG,ANTARTICA
República de Duarte das Flores,DV,AHH,OCEANIA
República de Novaes Grande,DW,AHI,AFRICA
República de Leão 1,DX,AHJ,EUROPA
República de Rocha da Serra,DY,AHK,AFRICA
República de Guerra da Prata,DZ,AHL,AMERICA_DO_NORTE
República de da Rosa,E0,AHM,ASIA
República de Costela das Pedras,E1,AHN,AMERICA_DO_NORTE
República de Martins dos Dourados,E2,AHO,EUROPA
República de Rocha de Cunha,E3,AHP,OCEANIA
República de Vieira de Vieira,E4,AHQ,OCEANIA
República de Ribeiro 1,E5,AHR,AFRICA
República de da Paz,E6,AHS,AMERICA_DO_SUL
República de Borges de Goiás,E7,AHT,ANTARTICA
República de Câmara do Oeste,E8,AHU,ASIA
República de Alves 1,E9,AHV,AMERICA_DO_SUL
República de da Cruz 4,EA,AHW,EUROPA
República de Pimenta de Vargas,EB,AHX,ANTARTICA
República de Marques,ED,AHY,OCEANIA
República de Pires Verde,EE,AHZ,AFRICA
República de Silva 2,EF,AIA,ANTARTICA
República de Monteiro das Flores,EH,AIB,OCEANIA
República de Casa Grande,EI,AIC,AMERICA_DO_SUL
República de Sá,EJ,AID,AMERICA_DO_SUL
República de Vasconcelos,EK,AIE,ASIA
República de Câmara da Serra,EL,AIF,ASIA
República de Aragão de Novais,EM,AIG,AFRICA
República de Campos,EN,AIH,ANTARTICA
República de Carvalho de Martins,EO,AII,ASIA
República de Sá dos Dourados,EP,AIJ,AMERICA_DO_SUL
República de Novaes dos Dourados,EQ,AIK,ANTARTICA
República de Souza 1,ER,AIL,AMERICA_DO_SUL
República de Machado de da Luz,ET,AIM,EUROPA
República de Porto 2,EU,AIN,AMERICA_DO_SUL
República de Vargas do Galho,EV,AIO,AFRICA
República de Pires de da Costa,EW,AIP,AMERICA_DO_NORTE
República de Macedo de Minas,EX,AIQ,EUROPA
República de da Costa Paulista 1,EY,AIR,EUROPA
República de Dias da Prata,EZ,AIS,AFRICA
República de Carvalho,F0,AIT,ANTARTICA
República de da Conceição 1,F1,AIU,ANTARTICA
República de Sales Grande,F2,AIV,AFRICA
República de Azevedo 1,F3,AIW,ASIA
República de Jesus Alegre,F4,AIX,EUROPA
República de Leão de Araújo,F5,AIY,ASIA
República de Leão 2,F6,AIZ,AMERICA_DO_SUL
República de Vargas Verde,F7,AJA,EUROPA
República de Teixeira,F8,AJB,EUROPA
República de Mendes do Sul,F9,AJC,OCEANIA
República de da Rosa das Flores,FA,AJD,AMERICA_DO_NORTE
República de Nascimento da Prata,FB,AJE,ANTARTICA
República de Mendonça,FC,AJF,EUROPA
República de da Mata 2,FD,AJG,ANTARTICA
República de Mendonça do Sul 1,FE,AJH,AMERICA_DO_SUL
República de Fernandes das Flores,FF,AJI,ANTARTICA
República de Martins,FG,AJJ,ASIA
República de Pinto 1,FH,AJK,ASIA
República de Gonçalves,FJ,AJL,OCEANIA
República de Barros 1,FK,AJM,AMERICA_DO_NORTE
República de Carvalho dos Dourados,FL,AJN,AMERICA_DO_SUL
República de Aragão,FM,AJO,ASIA
República de Garcia Alegre,FN,AJP,AFRICA
República de Marques 1,FO,AJQ,AMERICA_DO_SUL
República de Fernandes das Flores 1,FP,AJR,ANTARTICA
República de Sá das Pedras,FQ,AJS,AMERICA_DO_SUL
República de Barros do Amparo,FS,AJT,AMERICA_DO_NORTE
República de Souza 2,FT,AJU,ASIA
República de Ferreira,FU,AJV,AMERICA_DO_SUL
República de Rezende 1,FV,AJW,ANTARTICA
República de Vasconcelos 1,FW,AJX,OCEANIA
República de Sá 1,FX,AJY,OCEANIA
República de da Cruz 5,FY,AJZ,ASIA
República de Almeida,FZ,AKA,OCEANIA
República de da Costa,G0,AKB,AFRICA
República de Melo 1,G1,AKC,AMERICA_DO_NORTE
República de Nunes 2,G2,AKD,OCEANIA
República de Martins 1,G3,AKE,OCEANIA
República de Vargas da Praia,G4,AKF,AFRICA
República de Pereira 1,G5,AKG,AMERICA_DO_NORTE
República de Vasconcelos 2,G6,AKH,AMERICA_DO_SUL
República de das Neves,G7,AKI,AMERICA_DO_NORTE
República de Pacheco 1,G8,AKJ,EUROPA
República de das Neves 1,G9,AKK,ASIA
República de Gonçalves do Oeste,GA,AKL,ASIA
República de Pastor 2,GC,AKM,EUROPA
República de Caldeira 1,GD,AKN,AFRICA
República de Rodrigues do Campo,GE,AKO,EUROPA
República de Ferreira 1,GF,AKP,AMERICA_DO_SUL
República de Ribeiro da Praia,GG,AKQ,AMERICA_DO_SUL
República de Montenegro 2,GH,AKR,ASIA
República de Albuquerque das Pedras,GI,AKS,AMERICA_DO_SUL
República de Caldeira de Lopes,GJ,AKT,ASIA
República de Porto dos Dourados,GK,AKU,EUROPA
República de Lopes 1,GL,AKV,EUROPA
República de Siqueira 1,GM,AKW,OCEANIA
República de Pimenta da Prata,GN,AKX,OCEANIA
República de Martins de Lopes,GO,AKY,EUROPA
República de Duarte de Goiás,GP,AKZ,ASIA
República de da Mota 2,GQ,ALA,EUROPA
República de da Cruz de Sá,GS,ALB,EUROPA
República de Nunes de Pimenta,GT,ALC,ANTARTICA
República de Fernandes do Sul,GU,ALD,AFRICA
República de Duarte de Cirino,GV,ALE,EUROPA
República de Cunha de Fogaça,GW,ALF,AMERICA_DO_SUL
República de Fernandes Paulista 1,GX,ALG,ASIA
República de Novais do Sul 1,GY,ALH,AFRICA
República de Barros 2,GZ,ALI,OCEANIA
República de Silveira 2,H0,ALJ,AMERICA_DO_NORTE
República de Mendonça da Prata,H1,ALK,ASIA
República de Sales,H2,ALL,AMERICA_DO_SUL
República de Ramos de Silva,H3,ALM,ASIA
República de Machado de Vieira,H4,ALN,OCEANIA
República de Borges 1,H5,ALO,AMERICA_DO_SUL
República de Câmara das Flores,H6,ALP,AMERICA_DO_SUL
República de das Neves 2,H7,ALQ,AMERICA_DO_NORTE
República de Melo da Prata,H8,ALR,ASIA
República de Lima da Prata 1,H9,ALS,ANTARTICA
República de Fogaça dos Dourados,HA,ALT,AMERICA_DO_NORTE
República de das Neves Paulista,HB,ALU,ANTARTICA
República de Campos 1,HC,ALV,AMERICA_DO_NORTE
República de Dias,HD,ALW,ASIA
República de Souza 3,HE,ALX,EUROPA
República de Correia 1,HF,ALY,EUROPA
República de Sousa 1,HG,ALZ,OCEANIA
República de da Mota de Silveira,HH,AMA,AMERICA_DO_NORTE
República de Brito do Oeste,HI,AMB,AFRICA
República de da Conceição da Praia,HJ,AMC,AMERICA_DO_NORTE
República de da Rosa 1,HK,AMD,AMERICA_DO_NORTE
República de Santos 3,HL,AME,AMERICA_DO_NORTE
República de da Mota 3,HM,AMF,ANTARTICA
República de Aragão 1,HN,AMG,OCEANIA
República de Sampaio Grande,HO,AMH,EUROPA
República de Caldeira de Albuquerque,HP,AMI,OCEANIA
República de Melo do Amparo,HQ,AMJ,OCEANIA
República de Fernandes de Cirino,HR,AMK,OCEANIA
República de da Cunha 1,HS,AML,EUROPA
República de Camargo de Azevedo,HT,AMM,EUROPA
República de Mendonça de Minas,HV,AMN,AMERICA_DO_NORTE
República de Cassiano 1,HW,AMO,OCEANIA
República de Nunes 3,HX,AMP,AFRICA
República de Barros de Goiás 1,HY,AMQ,ANTARTICA
República de Novais 1,HZ,AMR,ANTARTICA
República de Pereira de Goiás,I0,AMS,EUROPA
República de Machado dos Dourados,I1,AMT,ASIA
República de Pastor das Pedras,I2,AMU,ASIA
República de Nunes do Norte,I3,AMV,ASIA
República de Teixeira 1,I4,AMW,AMERICA_DO_SUL
República de Pires 2,I5,AMX,AMERICA_DO_NORTE
República de da Luz 2,I6,AMY,ASIA
República de Castro 2,I7,AMZ,AMERICA_DO_NORTE
República de Cavalcanti 1,I8,ANA,ASIA
República de Castro 3,I9,ANB,AFRICA
República de Jesus 1,IA,ANC,AMERICA_DO_NORTE
República de Sales de Peixoto,IB,AND,ASIA
República de da Rocha de Andrade,IC,ANE,ANTARTICA
República de da Paz 1,IF,ANF,EUROPA
República de Sampaio dos Dourados,IG,ANG,AMERICA_DO_NORTE
República de Rodrigues 2,IH,ANH,ANTARTICA
República de da Luz 3,II,ANI,ANTARTICA
República de Lima,IJ,ANJ,ANTARTICA
República de Nogueira 2,IK,ANK,AMERICA_DO_SUL
República de Ramos,IL,ANL,EUROPA
República de da Mata 3,IM,ANM,EUROPA
República de Barbosa 2,IO,ANN,OCEANIA
República de Cavalcante 2,IP,ANO,AMERICA_DO_SUL
República de Peixoto Verde,IQ,ANP,ANTARTICA
República de Macedo do Campo,IR,ANQ,EUROPA
República de Sales de da Rosa,IS,ANR,EUROPA
República de da Mata do Galho,IU,ANS,ANTARTICA
República de Macedo de Barros,IV,ANT,ANTARTICA
República de Lopes 2,IW,ANU,ASIA
República de Pereira Paulista 1,IX,ANV,ASIA
República de Borges 2,IY,ANW,AMERICA_DO_NORTE
República de Rocha 2,IZ,ANX,AMERICA_DO_NORTE
República de Teixeira 2,J0,ANY,AMERICA_DO_NORTE
República de Oliveira do Norte,J1,ANZ,ASIA
República de Melo 2,J2,AOA,ANTARTICA
República de da Mota de Cirino,J3,AOB,AMERICA_DO_NORTE
República de Porto do Amparo,J4,AOC,EUROPA
República de Melo 3,J5,AOD,ASIA
República de Jesus Alegre 1,J6,AOE,AMERICA_DO_NORTE
República de Rios do Campo,J7,AOF,EUROPA
República de Farias 1,J8,AOG,AMERICA_DO_NORTE
República de Sales do Amparo,J9,AOH,AFRICA
República de Ribeiro das Flores,JA,AOI,ANTARTICA
República de Marques 2,JB,AOJ,ANTARTICA
República de Dias 1,JC,AOK,AMERICA_DO_NORTE
República de Duarte do Campo,JD,AOL,AFRICA
República de Moraes do Sul,JE,AOM,AMERICA_DO_NORTE
República de Jesus de Aragão,JF,AON,OCEANIA
República de Moreira,JG,AOO,OCEANIA
República de Pinto do Amparo,JH,AOP,ANTARTICA
República de Teixeira de Aragão,JI,AOQ,AMERICA_DO_SUL
República de da Mata 4,JJ,AOR,OCEANIA
República de da Paz 2,JK,AOS,OCEANIA
República de Sampaio de Mendonça,JL,AOT,AMERICA_DO_NORTE
República de Alves 2,JM,AOU,ASIA
República de Santos 4,JN,AOV,ASIA
República de das Neves 3,JO,AOW,AFRICA
República de Novaes,JQ,AOX,ASIA
República de Borges de Goiás 1,JR,AOY,EUROPA
República de Martins 2,JS,AOZ,AMERICA_DO_SUL
República de Ramos 1,JT,APA,OCEANIA
República de Monteiro,JU,APB,AMERICA_DO_SUL
República de Moraes Paulista,JV,APC,EUROPA
República de Mendes do Amparo,JW,APD,OCEANIA
República de Marques 3,JX,APE,AFRICA
República de Gomes 1,JY,APF,EUROPA
República de Peixoto 2,JZ,APG,EUROPA
República de Azevedo 2,K0,APH,AMERICA_DO_SUL
República de Vargas das Pedras,K1,API,AMERICA_DO_NORTE
República de Viana do Galho,K2,APJ,AMERICA_DO_SUL
República de Abreu da Mata,K3,APK,ANTARTICA
República de Pastor Verde,K4,APL,AMERICA_DO_SUL
República de Cassiano de Machado,K5,APM,ASIA
República de Ferreira de Farias,K6,APN,EUROPA
República de Marques Alegre,K7,APO,AMERICA_DO_SUL
República de Sampaio,K8,APP,EUROPA
República de Oliveira,K9,APQ,ANTARTICA
República de da Conceição das Pedras,KA,APR,ASIA
República de Dias 2,KB,APS,EUROPA
República de Santos de Garcia,KC,APT,AMERICA_DO_SUL
República de Ribeiro Grande,KD,APU,EUROPA
República de Andrade de Cardoso,KE,APV,OCEANIA
República de Brito dos Dourados,KF,APW,ANTARTICA
República de Moura,KG,APX,ASIA
República de Albuquerque de Silveira,KH,APY,AMERICA_DO_NORTE
República de Jesus 2,KI,APZ,EUROPA
República de Barbosa 3,KJ,AQA,AMERICA_DO_SUL
República de Viana de da Luz,KK,AQB,ASIA
República de Pinto das Flores,KL,AQC,AMERICA_DO_SUL
República de Farias 2,KM,AQD,AMERICA_DO_SUL
República de Dias do Amparo,KN,AQE,EUROPA
República de Pinto 2,KO,AQF,AMERICA_DO_SUL
República de da Costa 1,KP,AQG,EUROPA
República de da Conceição de Minas,KQ,AQH,AMERICA_DO_NORTE
República de Brito do Campo,KS,AQI,OCEANIA
República de Cavalcante de Sales,KT,AQJ,AMERICA_DO_SUL
República de Alves do Norte,KU,AQK,AMERICA_DO_SUL
República de Vieira do Norte,KV,AQL,AMERICA_DO_SUL
República de Fogaça da Praia,KW,AQM,AFRICA
República de Casa Grande de Goiás,KX,AQN,AFRICA
República de Nunes da Serra,KY,AQO,ASIA
República de Cavalcanti 2,KZ,AQP,OCEANIA
República de Pimenta,L0,AQQ,OCEANIA
República de Pinto de Goiás,L1,AQR,AFRICA
República de Pacheco de Casa Grande,L2,AQS,ASIA
República de Martins 3,L3,AQT,AFRICA
República de Marques Paulista,L4,AQU,AMERICA_DO_NORTE
República de Martins 4,L5,AQV,ASIA
República de Rocha da Prata 1,L6,AQW,OCEANIA
República de Barbosa 4,L7,AQX,OCEANIA
República de Ferreira de Pastor,L8,AQY,AFRICA
República de Porto das Pedras,L9,AQZ,AMERICA_DO_NORTE
República de Marques da Mata,LA,ARA,AFRICA
República de Gomes 2,LB,ARB,ANTARTICA
República de Caldeira de da Costa,LC,ARC,EUROPA
República de Oliveira da Praia,LD,ARD,EUROPA
República de Sampaio da Mata,LE,ARE,AMERICA_DO_NORTE
República de Ribeiro 2,LF,ARF,AMERICA_DO_SUL
República de da Mota do Sul,LG,ARH,AMERICA_DO_SUL
República de Pereira 2,LH,ARI,EUROPA
República de da Paz de Vasconcelos,LI,ARJ,EUROPA
República de Pereira 3,LJ,ARK,AMERICA_DO_SUL
República de Câmara do Oeste 1,LK,ARL,ASIA
República de Rocha Grande,LL,ARM,AMERICA_DO_SUL
República de Pires 3,LM,ARN,AFRICA
República de das Neves 4,LN,ARO,ASIA
República de Andrade de Pacheco,LO,ARP,AFRICA
República de Siqueira Grande,LP,ARQ,EUROPA
República de da Rocha 1,LQ,ARR,ASIA
República de Souza das Pedras,LR,ARS,AFRICA
República de Costa 1,LS,ART,AFRICA
República de Viana 1,LT,ARU,ASIA
República de Moura do Galho,LU,ARV,AMERICA_DO_NORTE
República de Cavalcante Paulista,LV,ARW,ANTARTICA
República de da Rocha de Souza,LW,ARX,AMERICA_DO_SUL
República de Camargo dos Dourados,LX,ARY,OCEANIA
República de Casa Grande 1,LY,ARZ,AFRICA
República de Rocha 3,LZ,ASA,AMERICA_DO_SUL
República de Novais da Praia,M0,ASB,ANTARTICA
República de Vieira 1,M1,ASC,OCEANIA
República de Albuquerque Paulista,M2,ASD,AMERICA_DO_SUL
República de Marques 4,M3,ASE,EUROPA
República de Rocha Paulista,M4,ASF,OCEANIA
República de Porto da Praia,M5,ASG,ANTARTICA
República de Rocha 4,M6,ASH,AMERICA_DO_SUL
República de Melo 4,M7,ASI,AFRICA
República de Pinto 3,M8,ASJ,OCEANIA
República de Pimenta de Goiás,M9,ASK,EUROPA
República de Porto 3,MA,ASL,ASIA
República de Sampaio de da Rosa,MB,ASM,AFRICA
República de Camargo Grande,MC,ASN,EUROPA
República de Andrade 2,MD,ASO,EUROPA
República de Monteiro do Campo,ME,ASP,OCEANIA
República de da Costa 2,MF,ASQ,AMERICA_DO_SUL
República de Gomes 3,MG,ASR,ASIA
República de Freitas de Rios,MH,ASS,AFRICA
República de Pastor Grande,MI,AST,AFRICA
República de Rezende do Campo,MJ,ASU,AMERICA_DO_SUL
República de Pimenta de Jesus,MK,ASV,ASIA
República de Andrade da Praia,ML,ASW,OCEANIA
República de Macedo,MM,ASX,AFRICA
República de da Costa de Fonseca,MN,ASY,ASIA
República de Rodrigues 3,MO,ASZ,OCEANIA
República de Nogueira da Praia,MP,ATA,OCEANIA
República de Gonçalves 1,MQ,ATB,ANTARTICA
República de Correia do Campo,MR,ATC,AFRICA
República de Borges de Ribeiro,MS,ATD,AMERICA_DO_SUL
República de Ramos 2,MT,ATE,AMERICA_DO_NORTE
República de Aragão 2,MU,ATF,AFRICA
República de da Cruz Grande,MV,ATG,ANTARTICA
República de Azevedo 3,MW,ATH,EUROPA
República de Pastor 3,MZ,ATI,EUROPA
República de da Conceição 2,N0,ATJ,OCEANIA
República de Vasconcelos Grande,N1,ATK,AMERICA_DO_NORTE
República de da Mota 4,N2,ATL,ANTARTICA
República de Cardoso 1,N3,ATM,AFRICA
República de Cavalcanti do Campo,N4,ATN,EUROPA
República de Cardoso 2,N5,ATO,EUROPA
República de Fogaça 1,N6,ATP,AFRICA
