nome,pais_id,tipo_servico,telefone,email,cnpj_vat,ativo,data_contrato
Moraes,427,CONSULTORIA,0900 170 4542,novaescecilia@freitas.br,05.674.192/0001-35,True,2018-10-29
Fonseca Monteiro S/A,628,LOGISTICA,0500 001 6356,caue72@carvalho.com,82.579.043/0001-38,True,2024-09-04
Castro Sales Ltda.,549,MANUTENCAO,(041) 3126-1685,mendesdavi-lucca@viana.edu.br,01.842.973/0001-30,True,2018-04-11
Dias S.A.,995,MANUTENCAO,(011) 1053-7092,caioandrade@barbosa.com.br,65.073.294/0001-27,True,2026-03-08
Novais,482,CONSULTORIA,(061) 4329 8769,juliaferreira@peixoto.br,16.945.873/0001-07,True,2019-11-10
Nascimento,173,TRANSPORTE,+55 21 3104 5025,rcamara@azevedo.net,57.481.293/0001-93,True,2025-06-07
Guerra Ltda.,295,CATERING,71 6067-3983,ana-clara88@novaes.br,36.491.705/0001-04,True,2022-02-06
Machado - ME,857,MANUTENCAO,+55 84 0657-9551,isabella23@siqueira.com,85.906.324/0001-46,True,2016-11-20
da Conceição S/A,458,HANDLING,+55 21 1786 1902,ana-carolina76@rodrigues.com,20.654.913/0001-39,False,2020-12-23
Rodrigues S.A.,578,CONSULTORIA,+55 (011) 1227 5950,castrolara@barros.com,53.279.461/0001-01,True,2022-03-14
Macedo Ltda.,672,TRANSPORTE,+55 (061) 7173 2798,fogacaemanuelly@da.com.br,10.832.496/0001-13,True,2016-08-16
Sales Pacheco S/A,529,COMBUSTIVEL,+55 (011) 4520 3608,davi-lucas18@pires.gov.br,13.546.927/0001-73,False,2020-07-24
Rodrigues,459,COMBUSTIVEL,0300 520 5610,jesusmariah@ramos.br,96.074.351/0001-16,False,2020-11-20
Vasconcelos e Filhos,108,TECNOLOGIA,+55 41 7842-3394,evelyn30@goncalves.br,62.580.149/0001-44,True,2022-05-04
Barbosa - ME,379,COMBUSTIVEL,+55 11 6542-6241,qnascimento@pacheco.com,92.361.840/0001-06,False,2017-08-09
Sousa S/A,824,HANDLING,0500 060 5308,qmoraes@albuquerque.com,69.718.405/0001-66,True,2022-02-09
Farias,850,CATERING,0300 887 5921,laviniadas-neves@goncalves.com.br,36.280.194/0001-73,True,2022-06-08
Barbosa da Cunha - ME,337,MANUTENCAO,(061) 0920-7115,raelsilva@cirino.br,21.907.465/0001-09,True,2026-03-01
Silveira,297,CONSULTORIA,+55 (011) 5916 1186,stellafreitas@novaes.edu.br,15.783.904/0001-08,True,2025-11-16
Santos S/A,708,HANDLING,(081) 3789 3186,nicolepacheco@cavalcanti.com.br,84.520.719/0001-43,True,2024-07-12
Abreu Aragão S.A.,201,CONSULTORIA,81 3948-2322,da-cunhafelipe@da.br,43.259.061/0001-80,True,2022-07-17
Sampaio Albuquerque e Filhos,538,HANDLING,+55 81 0203 0423,jose-pedrosilva@monteiro.br,21.395.807/0001-40,True,2024-12-24
Leão Ltda.,749,TRANSPORTE,+55 (071) 6463 0059,lunnamarques@fogaca.br,91.380.562/0001-63,True,2017-12-11
Rodrigues,735,HANDLING,+55 11 7469 0298,isaqueviana@da.com.br,84.193.570/0001-35,True,2026-01-27
Costa S/A,579,MANUTENCAO,84 7080 5685,dgoncalves@gomes.com.br,62.149.387/0001-08,True,2017-06-12
Pacheco,474,LOGISTICA,(011) 4407 6634,raelnunes@ferreira.com,46.231.598/0001-20,True,2018-09-16
Campos,152,TRANSPORTE,+55 31 4243 6258,vitor21@nascimento.br,91.685.723/0001-27,True,2017-11-09
da Luz,527,COMBUSTIVEL,+55 21 3853-2472,danilo58@camara.net,03.195.287/0001-40,False,2016-11-22
Silveira,643,LOGISTICA,+55 81 5769-4757,tpastor@silveira.com.br,53.918.276/0001-10,True,2023-02-08
Siqueira,722,MANUTENCAO,0300-861-6342,cavalcanticaroline@freitas.com,80.564.291/0001-80,True,2019-07-28
Peixoto,83,CONSULTORIA,+55 (011) 5596-6472,da-costaapollo@da.com,35.127.908/0001-45,True,2017-04-25
Rezende,644,MANUTENCAO,71 9332-6145,paulo07@camara.gov.br,73.150.649/0001-62,False,2025-06-13
Cavalcante,643,LOGISTICA,+55 (011) 1158-7184,levi35@sousa.com,68.729.304/0001-28,True,2024-11-16
Ramos Castro e Filhos,757,TRANSPORTE,+55 (041) 8652 3777,lorenaguerra@jesus.net,37.082.645/0001-20,True,2022-06-30
Macedo Nascimento S/A,988,LIMPEZA,+55 (041) 5580 0027,jose-miguelazevedo@cirino.br,73.180.425/0001-01,True,2026-03-06
Vargas S.A.,940,LOGISTICA,61 8172 0313,wpinto@santos.com,86.250.417/0001-28,True,2024-08-30
Ferreira Cardoso e Filhos,87,CONSULTORIA,31 9533 2227,mateusmoreira@abreu.com.br,73.516.984/0001-31,True,2017-11-25
Andrade,170,TECNOLOGIA,(071) 6108-7082,fpereira@teixeira.com.br,23.607.584/0001-63,True,2019-01-27
Brito,101,HANDLING,11 8388 2176,sophie46@costa.br,74.216.580/0001-95,True,2019-03-01
Porto S/A,559,CATERING,0500-442-5892,luiz-henriquesiqueira@guerra.com,62.518.034/0001-20,True,2024-07-25
Azevedo Ramos S/A,515,SEGURANCA,61 0467-4130,urios@novais.gov.br,85.209.613/0001-96,True,2019-05-22
Ribeiro,270,TRANSPORTE,+55 (081) 8463 9756,diasyuri@aparecida.br,54.167.028/0001-47,True,2023-09-14
Barbosa,802,CATERING,+55 11 9556 4091,npastor@machado.edu.br,75.203.614/0001-70,False,2020-09-24
Lopes Castro e Filhos,891,LIMPEZA,+55 (021) 1971 2124,costaryan@pinto.br,78.930.465/0001-39,True,2017-09-06
Lima Mendonça - ME,354,CONSULTORIA,+55 31 1922-7607,sofia89@rezende.edu.br,65.398.120/0001-34,True,2018-05-19
Pires - ME,422,HANDLING,(071) 4308 9523,casa-grandecaleb@campos.br,05.763.248/0001-28,True,2024-03-06
Mendes,189,HANDLING,+55 (011) 0026 8764,yasmin67@da.gov.br,79.403.158/0001-62,True,2023-09-04
da Cunha Ltda.,896,HANDLING,+55 (051) 0635 5373,pastorhelena@nunes.br,92.730.584/0001-79,True,2026-02-07
Câmara,817,TECNOLOGIA,(061) 3059 7025,henry28@martins.net,64.302.857/0001-49,True,2025-12-09
Pimenta,818,HANDLING,61 5466 3454,pedro-miguel44@vieira.gov.br,16.384.925/0001-13,True,2026-04-04
da Paz,401,COMBUSTIVEL,+55 21 9464-0882,pietroaragao@montenegro.br,27.345.690/0001-77,True,2020-08-28
Caldeira Albuquerque - EI,875,CONSULTORIA,(041) 2021-7075,rafaela53@pires.com.br,65.834.170/0001-17,False,2020-07-29
Aparecida Ltda.,866,COMBUSTIVEL,+55 84 9646-1293,alvesjoao-miguel@caldeira.com,13.728.650/0001-08,True,2022-01-17
Pires,676,SEGURANCA,(071) 0861-9931,eloah84@da.br,63.107.429/0001-00,False,2019-11-25
Cirino,900,CONSULTORIA,+55 (071) 6220-3347,luiz-otavio46@rezende.org,37.645.908/0001-62,True,2025-10-24
Santos,343,SEGURANCA,+55 (011) 9469-0217,eda-paz@da.net,04.362.918/0001-31,True,2025-07-19
Aragão,308,SEGURANCA,+55 (031) 2894-6652,vsa@costa.edu.br,23.017.694/0001-75,True,2026-03-06
Cunha S.A.,433,LIMPEZA,+55 (021) 3033 4677,siqueirajoaquim@viana.br,50.763.192/0001-66,True,2022-04-30
da Cruz,946,HANDLING,+55 (081) 2453 0123,mariah23@cunha.com.br,20.947.385/0001-06,True,2016-09-11
Marques e Filhos,113,TRANSPORTE,+55 (031) 2240-5076,zoe71@ramos.gov.br,75.430.916/0001-80,True,2017-04-08
Fonseca,565,CONSULTORIA,71 3872-7258,cirinoleonardo@peixoto.com,95.634.287/0001-18,True,2018-12-05
Mendonça da Cruz e Filhos,795,MANUTENCAO,+55 (071) 7912-1211,campossofia@moraes.com,35.678.402/0001-24,True,2017-09-04
Aragão,1000,CATERING,(084) 4039-2519,daniela29@sousa.com.br,17.986.534/0001-31,True,2020-09-30
Câmara Novais - ME,414,TRANSPORTE,+55 (061) 2054-2216,fernandarocha@rodrigues.com.br,46.315.089/0001-86,True,2021-05-08
da Rosa,498,HANDLING,(031) 0488-7899,apollo47@cavalcante.com.br,56.904.217/0001-80,True,2024-01-16
da Cunha,868,SEGURANCA,0900-266-3295,rda-conceicao@machado.br,29.541.036/0001-64,True,2023-03-19
Nogueira,187,CATERING,+55 21 2920 5922,igor15@cunha.com,25.867.430/0001-36,True,2023-11-01
Martins Rios e Filhos,247,COMBUSTIVEL,+55 (021) 6294-2066,fariasvalentim@ramos.edu.br,51.389.062/0001-78,True,2025-07-29
Aparecida Ltda.,785,HANDLING,0500 832 1122,cavalcantieduardo@souza.org,81.549.362/0001-38,True,2024-11-30
da Rosa,608,TECNOLOGIA,+55 (021) 1918 5488,gomesana-luiza@sa.com,09.614.537/0001-16,False,2025-05-04
da Cruz,944,HANDLING,(051) 8566 4641,isilveira@da.com,92.671.503/0001-07,True,2019-07-14
das Neves e Filhos,68,COMBUSTIVEL,+55 (084) 0429 4831,maria-vitoria89@borges.com.br,97.263.485/0001-48,True,2025-05-19
Rezende S.A.,285,HANDLING,31 3180-0366,valmeida@santos.com,53.247.180/0001-77,True,2018-01-21
Duarte e Filhos,815,TECNOLOGIA,+55 (061) 5243 8380,lorenzo69@ribeiro.com.br,90.836.457/0001-23,True,2024-03-14
da Cruz,240,TRANSPORTE,+55 31 2838-9633,vjesus@montenegro.gov.br,18.693.504/0001-08,True,2023-10-21
Vasconcelos,44,CONSULTORIA,+55 51 0132 8233,gael-henriquerocha@ferreira.com.br,91.725.038/0001-87,True,2024-10-21
Brito,524,CATERING,+55 (061) 6592 0881,thales19@martins.br,17.924.386/0001-20,True,2021-07-03
Ribeiro,583,LIMPEZA,11 2026-6568,kteixeira@oliveira.com.br,12.539.876/0001-90,True,2021-12-19
Pereira da Mata e Filhos,471,COMBUSTIVEL,(021) 0742-9907,maria-laura29@lima.gov.br,41.796.350/0001-93,True,2025-12-26
Novaes - EI,429,TRANSPORTE,(051) 4748-5994,eda-mota@pereira.com,67.328.490/0001-20,True,2023-03-15
Garcia Ltda.,878,CONSULTORIA,0800 804 4509,oliviagoncalves@duarte.com,02.613.957/0001-39,True,2021-05-08
Almeida - EI,367,LIMPEZA,+55 (051) 4845-8130,bryanfarias@das.gov.br,89.346.725/0001-40,True,2018-03-22
Leão,2,COMBUSTIVEL,+55 41 0275-0003,rochacatarina@teixeira.gov.br,61.578.029/0001-40,True,2021-05-26
Novais Ltda.,645,TECNOLOGIA,0300 378 4679,montenegromaria-luiza@rezende.edu.br,72.650.948/0001-01,True,2019-11-21
Freitas,427,HANDLING,+55 71 0344 4429,goncalvesmaria-sophia@rios.br,68.972.150/0001-09,True,2022-11-05
Viana Vasconcelos S.A.,69,MANUTENCAO,+55 61 5599 6725,lvargas@cirino.com,53.896.270/0001-99,True,2020-10-26
das Neves,994,TRANSPORTE,(081) 6484-5593,kduarte@da.net,50.768.124/0001-90,True,2022-05-02
Caldeira Cavalcante e Filhos,344,SEGURANCA,0300-003-6221,silvamaria-julia@vasconcelos.gov.br,79.238.415/0001-58,True,2022-04-25
Silva,845,TECNOLOGIA,(061) 8522 9425,ana-sophiabrito@camargo.edu.br,57.940.386/0001-39,True,2022-02-18
Moura e Filhos,904,CATERING,+55 (071) 5491 4774,maria-julia35@fogaca.org,78.403.625/0001-91,True,2021-07-11
Costa,995,LOGISTICA,+55 71 4930-5378,camaramathias@moura.br,19.385.467/0001-25,True,2017-01-20
Montenegro,208,LIMPEZA,61 2815-2787,antonyda-paz@cirino.br,15.203.789/0001-55,True,2020-01-14
Siqueira,929,CATERING,+55 21 7801-8915,erodrigues@da.br,17.853.962/0001-96,False,2017-07-12
Câmara,333,MANUTENCAO,+55 (084) 6299-9466,carolina09@sales.com,08.531.492/0001-53,False,2020-05-25
Castro,850,TRANSPORTE,+55 41 1896 8442,heloisa48@pinto.com.br,97.531.428/0001-00,True,2022-01-03
Sá,317,CATERING,41 2819-0221,lsouza@siqueira.edu.br,91.274.586/0001-38,True,2024-02-08
Martins S/A,97,LOGISTICA,(071) 9844 5143,wmonteiro@moreira.com,12.350.984/0001-10,True,2025-07-17
Vasconcelos S/A,736,HANDLING,0500 397 8145,almeidalucas-gabriel@macedo.gov.br,05.814.372/0001-75,True,2019-12-14
Vieira Freitas S/A,116,COMBUSTIVEL,(051) 8807 0532,valmeida@campos.net,91.084.635/0001-70,True,2018-09-15
Ferreira,303,LOGISTICA,+55 71 3609 0858,montenegrojoaquim@da.com,24.357.160/0001-50,True,2022-04-04
Costela,871,TRANSPORTE,41 6271 3589,pnunes@fogaca.com,05.863.927/0001-79,True,2021-05-20
Rios,861,LOGISTICA,+55 51 1566 3979,eduardaferreira@brito.org,36.051.489/0001-78,True,2024-09-08
Marques Alves S.A.,348,MANUTENCAO,71 9666-0534,raquelbarros@da.org,16.908.437/0001-68,True,2019-11-26
Nascimento,796,LOGISTICA,(031) 6405 1038,carvalhomariane@albuquerque.br,63.914.028/0001-54,True,2020-10-29
Marques,957,MANUTENCAO,+55 61 8939 5309,zoliveira@leao.br,40.219.573/0001-25,True,2025-01-29
Teixeira,295,CONSULTORIA,+55 81 5513-5872,dcampos@costa.com,68.190.324/0001-73,True,2017-01-06
das Neves Costela - EI,353,LIMPEZA,21 8187-3877,olivia33@guerra.br,04.175.982/0001-03,True,2018-05-03
Correia,892,CONSULTORIA,31 6028-2625,lucas-gabriel04@rezende.com.br,31.056.298/0001-85,True,2018-09-12
da Mata Ltda.,373,LOGISTICA,+55 (084) 0079 4193,vitor-hugofreitas@novaes.com,97.405.183/0001-67,True,2025-09-03
Alves,65,TRANSPORTE,0900 872 6496,luiz-otaviocavalcanti@barros.br,42.870.615/0001-19,True,2023-07-20
Caldeira - EI,666,CONSULTORIA,0900-003-4686,salesgiovanna@aragao.com,86.759.103/0001-55,True,2017-01-06
Peixoto Ltda.,49,MANUTENCAO,+55 41 6621-9536,albuquerquecamila@melo.gov.br,50.873.149/0001-53,True,2025-12-30
Alves - ME,165,COMBUSTIVEL,+55 11 9713-0722,caldeiranicolas@nunes.com,87.153.690/0001-05,True,2018-06-17
da Cunha Ltda.,566,LOGISTICA,+55 84 6171-9281,dabreu@das.net,60.291.748/0001-12,False,2019-07-18
Casa Grande,4,COMBUSTIVEL,+55 31 6025 2394,casa-grandearthur-gabriel@das.com.br,79.234.018/0001-08,True,2019-07-11
Ramos,891,COMBUSTIVEL,11 5132 7617,benicio24@sales.br,98.503.614/0001-90,True,2018-03-24
Dias - EI,844,HANDLING,0800 126 8649,eda-cunha@vieira.edu.br,62.379.048/0001-00,True,2025-05-11
das Neves,270,COMBUSTIVEL,(051) 4083-7819,oliveirabenicio@da.gov.br,92.138.047/0001-34,True,2026-02-19
Gonçalves Pereira e Filhos,971,HANDLING,+55 81 3534 8486,manuela08@campos.edu.br,65.431.809/0001-13,True,2017-07-16
Costa Souza e Filhos,107,LOGISTICA,(084) 2055-0330,almeidaarthur-miguel@da.com.br,46.719.053/0001-68,True,2025-03-14
Campos Ltda.,986,MANUTENCAO,+55 71 6009 1692,joao-lucasrodrigues@costa.br,98.756.401/0001-70,True,2016-07-27
da Rosa,876,COMBUSTIVEL,71 1867-4630,almeidaolivia@rodrigues.net,36.105.798/0001-83,True,2018-01-20
Dias S/A,731,COMBUSTIVEL,0500-854-5829,kaique03@rios.com,15.329.678/0001-90,True,2016-12-05
