passagem_id,tipo_bagagem_id,peso_kg,codigo_rastreio,status
2121,198,13.1,BAG-00000131,EM_TRANSITO
4866,39,3.43,BAG-00000132,DESPACHADA
2593,605,3.51,BAG-00000133,EXTRAVIADA
4145,248,31.05,BAG-00000134,EXTRAVIADA
2403,858,13.34,BAG-00000135,DESPACHADA
2237,184,13.14,BAG-00000136,ENTREGUE
3539,198,19.92,BAG-00000137,ENTREGUE
1346,818,7.65,BAG-00000138,EXTRAVIADA
2383,511,4.31,BAG-00000139,ENTREGUE
4622,342,8.2,BAG-00000140,EM_TRANSITO
1394,289,22.85,BAG-00000141,DESPACHADA
1378,530,10.59,BAG-00000142,EM_TRANSITO
3442,513,25.7,BAG-00000143,ENTREGUE
3617,734,26.74,BAG-00000144,DANIFICADA
3191,125,23.19,BAG-00000145,DANIFICADA
508,600,21.15,BAG-00000146,EM_TRANSITO
4422,959,5.32,BAG-00000147,ENTREGUE
3184,713,21.81,BAG-00000148,EXTRAVIADA
4051,638,2.16,BAG-00000149,DANIFICADA
3099,701,4.27,BAG-00000150,ENTREGUE
1056,351,4.5,BAG-00000151,EXTRAVIADA
3662,485,24.77,BAG-00000152,DESPACHADA
445,312,11.12,BAG-00000153,DESPACHADA
4561,849,22.59,BAG-00000154,EXTRAVIADA
3010,964,16.01,BAG-00000155,DESPACHADA
638,907,12.28,BAG-00000156,EM_TRANSITO
4040,255,4.34,BAG-00000157,ENTREGUE
2456,350,18.8,BAG-00000158,EM_TRANSITO
4201,437,6.43,BAG-00000159,DESPACHADA
1315,532,26.78,BAG-00000160,ENTREGUE
2945,90,4.93,BAG-00000161,ENTREGUE
3038,595,2.39,BAG-00000162,ENTREGUE
3342,802,7.55,BAG-00000163,EM_TRANSITO
1970,457,7.88,BAG-00000164,EM_TRANSITO
4776,664,12.09,BAG-00000165,EM_TRANSITO
4227,255,5.94,BAG-00000166,DANIFICADA
4343,265,20.78,BAG-00000167,EM_TRANSITO
2354,340,2.76,BAG-00000168,DESPACHADA
4928,522,15.29,BAG-00000169,ENTREGUE
3057,923,4.05,BAG-00000170,EXTRAVIADA
957,145,17.38,BAG-00000171,DANIFICADA
4842,440,12.15,BAG-00000172,ENTREGUE
290,413,18.66,BAG-00000173,ENTREGUE
4046,829,17.95,BAG-00000174,EM_TRANSITO
3859,482,5.06,BAG-00000175,ENTREGUE
2209,304,5.45,BAG-00000176,DANIFICADA
132,150,14.23,BAG-00000177,DANIFICADA
1911,438,8.8,BAG-00000178,DESPACHADA
993,18,16.56,BAG-00000179,DANIFICADA
1842,932,3.34,BAG-00000180,DANIFICADA
2042,966,23.62,BAG-00000181,EM_TRANSITO
1437,164,7.47,BAG-00000182,EXTRAVIADA
497,75,10.77,BAG-00000183,ENTREGUE
1152,455,13.24,BAG-00000184,ENTREGUE
414,704,6.73,BAG-00000185,ENTREGUE
1296,737,2.39,BAG-00000186,DANIFICADA
3403,85,10.21,BAG-00000187,DESPACHADA
1186,228,27.97,BAG-00000188,EXTRAVIADA
66,987,15.42,BAG-00000189,EXTRAVIADA
816,365,29.46,BAG-00000190,DANIFICADA
1086,726,17.75,BAG-00000191,ENTREGUE
1302,8,3.35,BAG-00000192,EXTRAVIADA
2883,683,12.65,BAG-00000193,EM_TRANSITO
4236,140,23.98,BAG-00000194,EM_TRANSITO
467,900,11.03,BAG-00000195,EM_TRANSITO
531,523,14.79,BAG-00000196,EM_TRANSITO
4995,671,12.34,BAG-00000197,DANIFICADA
4753,478,8.86,BAG-00000198,DANIFICADA
4038,405,3.51,BAG-00000199,EXTRAVIADA
4691,396,14.57,BAG-00000200,EM_TRANSITO
4945,14,26.66,BAG-00000201,EM_TRANSITO
2716,297,14.88,BAG-00000202,DESPACHADA
4178,359,2.79,BAG-00000203,EM_TRANSITO
333,311,16.56,BAG-00000204,ENTREGUE
2348,274,10.89,BAG-00000205,EM_TRANSITO
2361,62,8.51,BAG-00000206,ENTREGUE
3766,7,10.47,BAG-00000207,EM_TRANSITO
2199,755,8.92,BAG-00000208,ENTREGUE
4041,401,5.31,BAG-00000209,DESPACHADA
1291,43,13.55,BAG-00000210,ENTREGUE
4107,346,13.51,BAG-00000211,DANIFICADA
1431,608,14.38,BAG-00000212,EM_TRANSITO
4778,988,12.6,BAG-00000213,ENTREGUE
1162,221,2.62,BAG-00000214,DESPACHADA
378,542,14.36,BAG-00000215,DESPACHADA
3083,329,12.09,BAG-00000216,DANIFICADA
3085,662,8.59,BAG-00000217,DANIFICADA
4290,734,21.68,BAG-00000218,EM_TRANSITO
2959,756,21.23,BAG-00000219,EXTRAVIADA
2115,410,11.55,BAG-00000220,EXTRAVIADA
1657,36,12.25,BAG-00000221,EXTRAVIADA
2735,50,9.2,BAG-00000222,EXTRAVIADA
1386,89,11.75,BAG-00000223,EXTRAVIADA
392,256,26.62,BAG-00000224,DANIFICADA
955,497,16.44,BAG-00000225,EM_TRANSITO
1642,276,10.66,BAG-00000226,DESPACHADA
1672,679,3.06,BAG-00000227,DANIFICADA
4176,618,17.62,BAG-00000228,DESPACHADA
284,534,27.12,BAG-00000229,DESPACHADA
2586,307,22.31,BAG-00000230,ENTREGUE
4132,97,3.36,BAG-00000231,DESPACHADA
527,680,12.97,BAG-00000232,ENTREGUE
865,886,18.65,BAG-00000233,DESPACHADA
2126,86,30.05,BAG-00000234,EM_TRANSITO
1161,936,23.87,BAG-00000235,ENTREGUE
3277,99,2.95,BAG-00000236,EM_TRANSITO
4529,400,14.84,BAG-00000237,ENTREGUE
1453,561,14.21,BAG-00000238,DANIFICADA
4994,208,19.69,BAG-00000239,EXTRAVIADA
1190,916,11.75,BAG-00000240,EM_TRANSITO
1817,199,6.91,BAG-00000241,DANIFICADA
4388,69,15.9,BAG-00000242,EXTRAVIADA
3448,234,11.31,BAG-00000243,DANIFICADA
2617,717,2.11,BAG-00000244,DESPACHADA
1385,69,7.47,BAG-00000245,DANIFICADA
3329,640,6.87,BAG-00000246,ENTREGUE
4775,759,6.18,BAG-00000247,ENTREGUE
2553,342,4.04,BAG-00000248,DANIFICADA
2052,282,5.51,BAG-00000249,EXTRAVIADA
3127,507,21.02,BAG-00000250,EM_TRANSITO
939,984,25.48,BAG-00000251,EM_TRANSITO
903,2,2.01,BAG-00000252,EM_TRANSITO
585,458,5.59,BAG-00000253,DESPACHADA
3910,905,25.06,BAG-00000254,DESPACHADA
4525,758,3.8,BAG-00000255,EXTRAVIADA
1044,220,17.82,BAG-00000256,EXTRAVIADA
4228,142,2.34,BAG-00000257,DANIFICADA
3933,117,14.15,BAG-00000258,ENTREGUE
2799,412,14.1,BAG-00000259,EXTRAVIADA
12,287,14.66,BAG-00000260,DESPACHADA
1792,698,6.3,BAG-00000261,DANIFICADA
811,713,4.04,BAG-00000262,EM_TRANSITO
3099,311,13.7,BAG-00000263,EXTRAVIADA
2232,117,10.82,BAG-00000264,EXTRAVIADA
117,827,18.73,BAG-00000265,EM_TRANSITO
1512,224,6.37,BAG-00000266,EM_TRANSITO
3584,762,7.56,BAG-00000267,DANIFICADA
4022,344,16.04,BAG-00000268,ENTREGUE
2356,32,21.76,BAG-00000269,DANIFICADA
2148,737,11.49,BAG-00000270,ENTREGUE
3598,887,7.77,BAG-00000271,EM_TRANSITO
2822,297,13.43,BAG-00000272,ENTREGUE
3847,366,21.54,BAG-00000273,EXTRAVIADA
2944,559,7.77,BAG-00000274,EXTRAVIADA
1118,566,31.09,BAG-00000275,EXTRAVIADA
3614,847,29.27,BAG-00000276,EXTRAVIADA
4707,923,8.94,BAG-00000277,DESPACHADA
4854,514,24.07,BAG-00000278,EM_TRANSITO
2160,254,2.41,BAG-00000279,EM_TRANSITO
4264,828,27.5,BAG-00000280,ENTREGUE
4677,812,15.53,BAG-00000281,ENTREGUE
2275,3,5.88,BAG-00000282,DESPACHADA
273,922,8.73,BAG-00000283,DESPACHADA
950,841,11.61,BAG-00000284,ENTREGUE
3024,159,2.28,BAG-00000285,EM_TRANSITO
879,884,16.22,BAG-00000286,DESPACHADA
359,932,24.95,BAG-00000287,EXTRAVIADA
1002,107,9.84,BAG-00000288,EXTRAVIADA
4627,240,3.36,BAG-00000289,EXTRAVIADA
4980,235,14.86,BAG-00000290,EXTRAVIADA
4038,800,2.05,BAG-00000291,ENTREGUE
947,1000,20.73,BAG-00000292,EXTRAVIADA
3084,309,8.91,BAG-00000293,DANIFICADA
261,961,4.34,BAG-00000294,EXTRAVIADA
4578,966,13.71,BAG-00000295,EM_TRANSITO
1464,875,8.24,BAG-00000296,EM_TRANSITO
1885,295,7.44,BAG-00000297,DESPACHADA
2774,375,13.41,BAG-00000298,EM_TRANSITO
3697,778,16.22,BAG-00000299,ENTREGUE
2005,298,7.12,BAG-00000300,DESPACHADA
916,374,9.97,BAG-00000301,DESPACHADA
3312,153,16.88,BAG-00000302,DESPACHADA
3086,206,30.22,BAG-00000303,ENTREGUE
926,863,4.99,BAG-00000304,ENTREGUE
549,653,3.29,BAG-00000305,DANIFICADA
3571,336,12.04,BAG-00000306,ENTREGUE
1882,430,10.36,BAG-00000307,EM_TRANSITO
4480,293,8.17,BAG-00000308,EM_TRANSITO
1425,14,27.99,BAG-00000309,DESPACHADA
2497,669,18.42,BAG-00000310,EM_TRANSITO
2625,863,2.51,BAG-00000311,ENTREGUE
2074,652,22.44,BAG-00000312,EXTRAVIADA
1264,125,22.54,BAG-00000313,EXTRAVIADA
2293,498,3.43,BAG-00000314,DESPACHADA
958,304,3.98,BAG-00000315,EXTRAVIADA
1057,424,17.69,BAG-00000316,DESPACHADA
1845,895,2.02,BAG-00000317,DANIFICADA
3564,872,14.33,BAG-00000318,EXTRAVIADA
1059,927,17.8,BAG-00000319,EXTRAVIADA
3697,76,22.72,BAG-00000320,DANIFICADA
1920,946,19.92,BAG-00000321,EM_TRANSITO
750,127,7.73,BAG-00000322,EM_TRANSITO
134,232,17.02,BAG-00000323,DANIFICADA
1742,828,20.38,BAG-00000324,DESPACHADA
2651,461,12.32,BAG-00000325,EM_TRANSITO
3499,767,31.4,BAG-00000326,ENTREGUE
4635,978,2.91,BAG-00000327,EXTRAVIADA
1707,961,2.59,BAG-00000328,DANIFICADA
3131,553,27.34,BAG-00000329,DESPACHADA
560,477,10.37,BAG-00000330,DESPACHADA
4622,976,15.44,BAG-00000331,EM_TRANSITO
178,827,29.5,BAG-00000332,ENTREGUE
386,534,10.03,BAG-00000333,DESPACHADA
844,935,12.9,BAG-00000334,ENTREGUE
1957,94,9.3,BAG-00000335,EM_TRANSITO
2229,968,4.92,BAG-00000336,ENTREGUE
4489,105,5.94,BAG-00000337,DESPACHADA
763,426,14.32,BAG-00000338,DANIFICADA
928,84,2.44,BAG-00000339,ENTREGUE
2366,125,25.38,BAG-00000340,ENTREGUE
807,563,3.28,BAG-00000341,DANIFICADA
846,789,29.5,BAG-00000342,DANIFICADA
130,13,12.63,BAG-00000343,DANIFICADA
4511,260,14.02,BAG-00000344,EM_TRANSITO
880,586,20.84,BAG-00000345,EXTRAVIADA
2463,412,4.8,BAG-00000346,EM_TRANSITO
2527,335,8.33,BAG-00000347,DESPACHADA
990,623,4.29,BAG-00000348,EM_TRANSITO
2075,841,2.3,BAG-00000349,DESPACHADA
1902,29,11.08,BAG-00000350,ENTREGUE
1693,887,17.67,BAG-00000351,EXTRAVIADA
1456,791,8.99,BAG-00000352,DANIFICADA
3641,891,10.62,BAG-00000353,DESPACHADA
1617,789,8.69,BAG-00000354,DANIFICADA
2124,318,12.32,BAG-00000355,DESPACHADA
3570,20,20.8,BAG-00000356,DANIFICADA
945,374,3.24,BAG-00000357,ENTREGUE
4884,624,11.4,BAG-00000358,ENTREGUE
2273,642,4.79,BAG-00000359,ENTREGUE
3067,762,10.96,BAG-00000360,EM_TRANSITO
1157,554,6.07,BAG-00000361,EXTRAVIADA
1723,555,17.79,BAG-00000362,DESPACHADA
1435,811,11.62,BAG-00000363,EM_TRANSITO
4807,738,3.41,BAG-00000364,EM_TRANSITO
1568,85,13.12,BAG-00000365,EM_TRANSITO
3407,394,30.71,BAG-00000366,DANIFICADA
2683,147,12.18,BAG-00000367,DANIFICADA
794,136,24.34,BAG-00000368,EXTRAVIADA
3678,40,18.88,BAG-00000369,DESPACHADA
3360,566,14.33,BAG-00000370,ENTREGUE
4370,716,27.83,BAG-00000371,EM_TRANSITO
1712,672,18.65,BAG-00000372,DANIFICADA
3610,837,8.55,BAG-00000373,EXTRAVIADA
2324,944,6.4,BAG-00000374,EXTRAVIADA
1141,361,8.26,BAG-00000375,DANIFICADA
4249,322,8.8,BAG-00000376,EM_TRANSITO
1797,375,3.03,BAG-00000377,EM_TRANSITO
1304,63,8.01,BAG-00000378,EXTRAVIADA
3150,94,7.32,BAG-00000379,DANIFICADA
3538,204,14.69,BAG-00000380,ENTREGUE
68,706,16.39,BAG-00000381,EM_TRANSITO
1077,239,2.2,BAG-00000382,DANIFICADA
2739,485,5.3,BAG-00000383,DESPACHADA
3101,636,6.5,BAG-00000384,ENTREGUE
1763,728,9.53,BAG-00000385,ENTREGUE
1705,91,6.04,BAG-00000386,DESPACHADA
285,661,2.51,BAG-00000387,EXTRAVIADA
214,264,21.44,BAG-00000388,DESPACHADA
1121,370,20.61,BAG-00000389,EXTRAVIADA
1161,132,19.3,BAG-00000390,DANIFICADA
4463,671,5.29,BAG-00000391,ENTREGUE
2237,35,8.49,BAG-00000392,ENTREGUE
4237,89,17.85,BAG-00000393,EM_TRANSITO
4294,281,5.27,BAG-00000394,EXTRAVIADA
3414,893,11.79,BAG-00000395,DANIFICADA
4221,779,3.3,BAG-00000396,ENTREGUE
3245,22,10.59,BAG-00000397,EM_TRANSITO
573,688,4.58,BAG-00000398,DESPACHADA
1169,638,11.25,BAG-00000399,ENTREGUE
3083,506,10.31,BAG-00000400,EM_TRANSITO
3614,926,12.27,BAG-00000401,DESPACHADA
4842,606,28.73,BAG-00000402,DESPACHADA
1282,181,16.43,BAG-00000403,DANIFICADA
1259,818,18.05,BAG-00000404,EM_TRANSITO
3787,786,21.06,BAG-00000405,EXTRAVIADA
838,913,13.47,BAG-00000406,DESPACHADA
1751,589,2.15,BAG-00000407,EM_TRANSITO
2354,905,12.2,BAG-00000408,EM_TRANSITO
3055,342,9.19,BAG-00000409,EXTRAVIADA
1097,511,11.62,BAG-00000410,EXTRAVIADA
270,1000,26.6,BAG-00000411,EXTRAVIADA
1595,806,2.45,BAG-00000412,DESPACHADA
2504,255,10.33,BAG-00000413,EXTRAVIADA
1024,742,8.92,BAG-00000414,EXTRAVIADA
3039,475,2.95,BAG-00000415,EXTRAVIADA
3029,402,4.82,BAG-00000416,EXTRAVIADA
4089,219,2.92,BAG-00000417,DANIFICADA
2134,718,22.05,BAG-00000418,ENTREGUE
3524,894,22.2,BAG-00000419,ENTREGUE
3328,202,8.47,BAG-00000420,EM_TRANSITO
3747,227,21.12,BAG-00000421,EM_TRANSITO
1473,127,9.85,BAG-00000422,EM_TRANSITO
1939,587,15.41,BAG-00000423,DANIFICADA
3316,108,19.3,BAG-00000424,EM_TRANSITO
4061,989,21.17,BAG-00000425,EM_TRANSITO
1171,939,3.3,BAG-00000426,EM_TRANSITO
3971,826,9.83,BAG-00000427,DESPACHADA
1119,454,2.48,BAG-00000428,ENTREGUE
2450,835,3.33,BAG-00000429,DANIFICADA
1236,445,5.0,BAG-00000430,DANIFICADA
1945,384,17.76,BAG-00000431,EM_TRANSITO
3708,458,8.34,BAG-00000432,EXTRAVIADA
497,871,16.53,BAG-00000433,DESPACHADA
4313,828,22.07,BAG-00000434,EXTRAVIADA
594,102,10.47,BAG-00000435,DANIFICADA
3076,1000,10.37,BAG-00000436,DESPACHADA
1123,774,6.35,BAG-00000437,EM_TRANSITO
1836,111,11.04,BAG-00000438,EM_TRANSITO
2098,942,5.91,BAG-00000439,EM_TRANSITO
1526,493,25.9,BAG-00000440,DANIFICADA
1959,203,2.28,BAG-00000441,EXTRAVIADA
1118,205,19.48,BAG-00000442,DANIFICADA
1079,232,6.29,BAG-00000443,EM_TRANSITO
4511,104,7.69,BAG-00000444,ENTREGUE
3152,903,11.61,BAG-00000445,EXTRAVIADA
1612,112,26.51,BAG-00000446,ENTREGUE
4733,401,8.98,BAG-00000447,DANIFICADA
2984,979,7.58,BAG-00000448,DESPACHADA
2068,762,3.38,BAG-00000449,EXTRAVIADA
191,163,8.61,BAG-00000450,EM_TRANSITO
635,659,6.08,BAG-00000451,EM_TRANSITO
3702,513,10.95,BAG-00000452,DESPACHADA
580,592,14.32,BAG-00000453,DESPACHADA
1455,66,15.22,BAG-00000454,DANIFICADA
1933,119,3.98,BAG-00000455,ENTREGUE
3828,743,10.19,BAG-00000456,EXTRAVIADA
4067,634,14.74,BAG-00000457,DANIFICADA
4817,988,17.49,BAG-00000458,ENTREGUE
1661,131,16.02,BAG-00000459,EXTRAVIADA
4976,10,4.75,BAG-00000460,ENTREGUE
3570,37,5.79,BAG-00000461,ENTREGUE
1173,255,6.36,BAG-00000462,EM_TRANSITO
926,77,15.4,BAG-00000463,DANIFICADA
2809,341,5.07,BAG-00000464,EM_TRANSITO
925,944,11.55,BAG-00000465,ENTREGUE
4744,112,17.33,BAG-00000466,EXTRAVIADA
4035,256,24.05,BAG-00000467,EXTRAVIADA
2367,980,6.74,BAG-00000468,EM_TRANSITO
2614,163,8.92,BAG-00000469,ENTREGUE
4911,584,4.88,BAG-00000470,ENTREGUE
4414,683,14.9,BAG-00000471,DANIFICADA
8,320,9.02,BAG-00000472,ENTREGUE
4191,980,19.3,BAG-00000473,DANIFICADA
2207,993,12.32,BAG-00000474,EXTRAVIADA
218,179,2.2,BAG-00000475,ENTREGUE
2406,3,8.25,BAG-00000476,EXTRAVIADA
2623,919,3.01,BAG-00000477,EM_TRANSITO
122,961,7.35,BAG-00000478,EM_TRANSITO
4410,429,2.46,BAG-00000479,DESPACHADA
1455,699,7.61,BAG-00000480,DESPACHADA
4755,870,2.86,BAG-00000481,EM_TRANSITO
761,549,16.85,BAG-00000482,DANIFICADA
1604,77,12.14,BAG-00000483,DESPACHADA
122,913,24.68,BAG-00000484,ENTREGUE
2353,355,3.71,BAG-00000485,ENTREGUE
3372,731,6.84,BAG-00000486,DANIFICADA
2895,443,8.19,BAG-00000487,DANIFICADA
4547,694,7.54,BAG-00000488,EM_TRANSITO
3825,906,3.47,BAG-00000489,DANIFICADA
4655,507,9.49,BAG-00000490,EM_TRANSITO
2788,814,12.1,BAG-00000491,EXTRAVIADA
1666,702,2.38,BAG-00000492,DESPACHADA
3876,310,8.95,BAG-00000493,EXTRAVIADA
2353,11,13.36,BAG-00000494,DANIFICADA
1288,473,13.75,BAG-00000495,EM_TRANSITO
4878,212,20.48,BAG-00000496,DESPACHADA
249,697,14.43,BAG-00000497,DESPACHADA
279,285,11.04,BAG-00000498,ENTREGUE
4465,5,7.34,BAG-00000499,DESPACHADA
296,866,2.9,BAG-00000500,DANIFICADA
1963,592,24.46,BAG-00000501,EM_TRANSITO
4611,191,22.77,BAG-00000502,DANIFICADA
2838,810,2.37,BAG-00000503,EM_TRANSITO
1501,844,15.12,BAG-00000504,EM_TRANSITO
1712,682,7.86,BAG-00000505,ENTREGUE
1568,736,2.57,BAG-00000506,EXTRAVIADA
919,789,22.96,BAG-00000507,EM_TRANSITO
4013,635,12.26,BAG-00000508,EM_TRANSITO
2199,682,4.52,BAG-00000509,EM_TRANSITO
700,300,26.03,BAG-00000510,ENTREGUE
390,778,14.28,BAG-00000511,EM_TRANSITO
2141,384,7.28,BAG-00000512,EM_TRANSITO
3392,903,7.53,BAG-00000513,EM_TRANSITO
243,790,4.34,BAG-00000514,EXTRAVIADA
4401,347,15.91,BAG-00000515,DESPACHADA
3481,335,16.51,BAG-00000516,DESPACHADA
3023,532,9.28,BAG-00000517,EXTRAVIADA
2203,555,8.53,BAG-00000518,DESPACHADA
2649,224,11.63,BAG-00000519,DANIFICADA
1315,100,30.78,BAG-00000520,EM_TRANSITO
3154,957,16.88,BAG-00000521,DANIFICADA
4934,859,3.51,BAG-00000522,ENTREGUE
3010,368,16.73,BAG-00000523,DANIFICADA
673,354,23.65,BAG-00000524,DESPACHADA
2832,150,3.81,BAG-00000525,ENTREGUE
192,384,8.4,BAG-00000526,EXTRAVIADA
2075,817,2.42,BAG-00000527,EXTRAVIADA
3059,303,11.46,BAG-00000528,EM_TRANSITO
1796,520,15.29,BAG-00000529,ENTREGUE
1317,717,10.32,BAG-00000530,DANIFICADA
3527,1,2.21,BAG-00000531,DESPACHADA
1770,922,9.89,BAG-00000532,DANIFICADA
3944,916,5.54,BAG-00000533,ENTREGUE
4270,778,10.34,BAG-00000534,DESPACHADA
3125,20,5.97,BAG-00000535,ENTREGUE
990,321,9.99,BAG-00000536,DANIFICADA
4681,227,22.86,BAG-00000537,DANIFICADA
4174,493,27.35,BAG-00000538,DESPACHADA
2741,567,15.81,BAG-00000539,EM_TRANSITO
4070,324,15.58,BAG-00000540,ENTREGUE
4310,78,2.23,BAG-00000541,DESPACHADA
4403,927,8.33,BAG-00000542,ENTREGUE
