nome,descricao,multiplicador_preco,bagagem_inclusa_kg,prioridade_embarque
MILITAR_2,Variante 2 da tarifa militar.,0.72,24,1
IDOSO_2,Variante 2 da tarifa idoso.,1.13,31,1
FAMILIA_2,Variante 2 da tarifa familia.,1.1,29,1
GRUPO_2,Variante 2 da tarifa grupo.,0.69,24,5
ECONOMICA_LIGHT_3,Variante 3 da tarifa economica light.,1.05,2,3
ECONOMICA_STANDARD_3,Variante 3 da tarifa economica standard.,1.23,23,5
ECONOMICA_PLUS_3,Variante 3 da tarifa economica plus.,1.12,32,3
ECONOMICA_FLEX_3,Variante 3 da tarifa economica flex.,1.51,35,2
EXECUTIVA_LIGHT_3,Variante 3 da tarifa executiva light.,1.73,39,1
EXECUTIVA_STANDARD_3,Variante 3 da tarifa executiva standard.,2.22,48,4
EXECUTIVA_FLEX_3,Variante 3 da tarifa executiva flex.,3.04,35,1
PRIMEIRA_CLASSE_3,Variante 3 da tarifa primeira classe.,3.94,58,5
PRIMEIRA_FLEX_3,Variante 3 da tarifa primeira flex.,4.74,57,4
PREMIUM_ECONOMY_3,Variante 3 da tarifa premium economy.,1.59,21,2
BUSINESS_SAVER_3,Variante 3 da tarifa business saver.,2.5,38,2
BUSINESS_FULL_3,Variante 3 da tarifa business full.,3.63,46,2
PROMO_BASICA_3,Variante 3 da tarifa promo basica.,0.64,4,3
PROMO_ESPECIAL_3,Variante 3 da tarifa promo especial.,0.75,21,2
CORPORATE_3,Variante 3 da tarifa corporate.,1.51,37,4
ESTUDANTE_3,Variante 3 da tarifa estudante.,0.73,20,3
MILITAR_3,Variante 3 da tarifa militar.,0.75,26,2
IDOSO_3,Variante 3 da tarifa idoso.,0.98,18,1
FAMILIA_3,Variante 3 da tarifa familia.,1.1,32,3
GRUPO_3,Variante 3 da tarifa grupo.,0.8,27,2
ECONOMICA_LIGHT_4,Variante 4 da tarifa economica light.,0.67,9,5
ECONOMICA_STANDARD_4,Variante 4 da tarifa economica standard.,0.85,19,2
ECONOMICA_PLUS_4,Variante 4 da tarifa economica plus.,1.3,29,2
ECONOMICA_FLEX_4,Variante 4 da tarifa economica flex.,1.57,34,3
EXECUTIVA_LIGHT_4,Variante 4 da tarifa executiva light.,2.21,29,1
EXECUTIVA_STANDARD_4,Variante 4 da tarifa executiva standard.,2.64,36,5
EXECUTIVA_FLEX_4,Variante 4 da tarifa executiva flex.,2.72,48,1
PRIMEIRA_CLASSE_4,Variante 4 da tarifa primeira classe.,3.91,45,5
PRIMEIRA_FLEX_4,Variante 4 da tarifa primeira flex.,5.03,58,5
PREMIUM_ECONOMY_4,Variante 4 da tarifa premium economy.,1.45,20,2
BUSINESS_SAVER_4,Variante 4 da tarifa business saver.,2.43,33,1
BUSINESS_FULL_4,Variante 4 da tarifa business full.,3.43,54,2
PROMO_BASICA_4,Variante 4 da tarifa promo basica.,0.78,0,3
PROMO_ESPECIAL_4,Variante 4 da tarifa promo especial.,0.94,20,4
CORPORATE_4,Variante 4 da tarifa corporate.,1.7,39,3
ESTUDANTE_4,Variante 4 da tarifa estudante.,0.96,20,1
MILITAR_4,Variante 4 da tarifa militar.,0.65,33,3
IDOSO_4,Variante 4 da tarifa idoso.,0.7,19,2
FAMILIA_4,Variante 4 da tarifa familia.,1.37,27,4
GRUPO_4,Variante 4 da tarifa grupo.,1.05,20,1
ECONOMICA_LIGHT_5,Variante 5 da tarifa economica light.,1.03,0,4
ECONOMICA_STANDARD_5,Variante 5 da tarifa economica standard.,0.92,23,1
ECONOMICA_PLUS_5,Variante 5 da tarifa economica plus.,1.05,39,1
ECONOMICA_FLEX_5,Variante 5 da tarifa economica flex.,1.52,29,1
EXECUTIVA_LIGHT_5,Variante 5 da tarifa executiva light.,2.24,30,1
EXECUTIVA_STANDARD_5,Variante 5 da tarifa executiva standard.,2.68,40,2
EXECUTIVA_FLEX_5,Variante 5 da tarifa executiva flex.,3.13,35,2
PRIMEIRA_CLASSE_5,Variante 5 da tarifa primeira classe.,3.81,50,1
PRIMEIRA_FLEX_5,Variante 5 da tarifa primeira flex.,5.09,50,1
PREMIUM_ECONOMY_5,Variante 5 da tarifa premium economy.,1.51,23,5
BUSINESS_SAVER_5,Variante 5 da tarifa business saver.,2.24,45,1
BUSINESS_FULL_5,Variante 5 da tarifa business full.,3.61,43,4
PROMO_BASICA_5,Variante 5 da tarifa promo basica.,0.36,0,5
PROMO_ESPECIAL_5,Variante 5 da tarifa promo especial.,0.66,21,3
CORPORATE_5,Variante 5 da tarifa corporate.,1.83,27,5
ESTUDANTE_5,Variante 5 da tarifa estudante.,0.98,29,4
MILITAR_5,Variante 5 da tarifa militar.,0.65,23,4
IDOSO_5,Variante 5 da tarifa idoso.,0.93,19,1
FAMILIA_5,Variante 5 da tarifa familia.,1.25,30,2
GRUPO_5,Variante 5 da tarifa grupo.,0.94,21,1
ECONOMICA_LIGHT_6,Variante 6 da tarifa economica light.,0.83,7,5
ECONOMICA_STANDARD_6,Variante 6 da tarifa economica standard.,1.27,33,2
ECONOMICA_PLUS_6,Variante 6 da tarifa economica plus.,1.38,33,3
ECONOMICA_FLEX_6,Variante 6 da tarifa economica flex.,1.68,34,1
EXECUTIVA_LIGHT_6,Variante 6 da tarifa executiva light.,2.09,31,2
EXECUTIVA_STANDARD_6,Variante 6 da tarifa executiva standard.,2.63,50,2
EXECUTIVA_FLEX_6,Variante 6 da tarifa executiva flex.,2.7,40,5
PRIMEIRA_CLASSE_6,Variante 6 da tarifa primeira classe.,3.83,54,5
PRIMEIRA_FLEX_6,Variante 6 da tarifa primeira flex.,4.78,52,2
PREMIUM_ECONOMY_6,Variante 6 da tarifa premium economy.,1.7,24,1
BUSINESS_SAVER_6,Variante 6 da tarifa business saver.,2.05,38,3
BUSINESS_FULL_6,Variante 6 da tarifa business full.,3.49,48,2
PROMO_BASICA_6,Variante 6 da tarifa promo basica.,0.74,0,1
PROMO_ESPECIAL_6,Variante 6 da tarifa promo especial.,0.65,21,5
CORPORATE_6,Variante 6 da tarifa corporate.,1.86,31,1
ESTUDANTE_6,Variante 6 da tarifa estudante.,0.85,15,2
MILITAR_6,Variante 6 da tarifa militar.,0.57,26,1
IDOSO_6,Variante 6 da tarifa idoso.,0.77,22,2
FAMILIA_6,Variante 6 da tarifa familia.,1.31,24,4
GRUPO_6,Variante 6 da tarifa grupo.,0.95,19,1
ECONOMICA_LIGHT_7,Variante 7 da tarifa economica light.,0.65,1,1
ECONOMICA_STANDARD_7,Variante 7 da tarifa economica standard.,1.24,22,5
ECONOMICA_PLUS_7,Variante 7 da tarifa economica plus.,0.96,35,1
ECONOMICA_FLEX_7,Variante 7 da tarifa economica flex.,1.34,37,2
EXECUTIVA_LIGHT_7,Variante 7 da tarifa executiva light.,1.7,28,3
EXECUTIVA_STANDARD_7,Variante 7 da tarifa executiva standard.,2.63,42,4
EXECUTIVA_FLEX_7,Variante 7 da tarifa executiva flex.,2.97,46,4
PRIMEIRA_CLASSE_7,Variante 7 da tarifa primeira classe.,4.24,48,5
PRIMEIRA_FLEX_7,Variante 7 da tarifa primeira flex.,5.02,49,1
PREMIUM_ECONOMY_7,Variante 7 da tarifa premium economy.,1.71,25,5
BUSINESS_SAVER_7,Variante 7 da tarifa business saver.,1.95,32,4
BUSINESS_FULL_7,Variante 7 da tarifa business full.,3.38,41,2
PROMO_BASICA_7,Variante 7 da tarifa promo basica.,0.65,1,1
PROMO_ESPECIAL_7,Variante 7 da tarifa promo especial.,0.97,10,3
CORPORATE_7,Variante 7 da tarifa corporate.,1.65,33,1
ESTUDANTE_7,Variante 7 da tarifa estudante.,0.82,27,2
MILITAR_7,Variante 7 da tarifa militar.,0.64,22,2
IDOSO_7,Variante 7 da tarifa idoso.,1.16,31,4
FAMILIA_7,Variante 7 da tarifa familia.,0.81,21,3
GRUPO_7,Variante 7 da tarifa grupo.,0.89,26,4
ECONOMICA_LIGHT_8,Variante 8 da tarifa economica light.,1.0,7,4
ECONOMICA_STANDARD_8,Variante 8 da tarifa economica standard.,1.27,19,4
ECONOMICA_PLUS_8,Variante 8 da tarifa economica plus.,1.04,37,2
ECONOMICA_FLEX_8,Variante 8 da tarifa economica flex.,1.15,37,3
EXECUTIVA_LIGHT_8,Variante 8 da tarifa executiva light.,1.92,36,5
EXECUTIVA_STANDARD_8,Variante 8 da tarifa executiva standard.,2.37,43,3
EXECUTIVA_FLEX_8,Variante 8 da tarifa executiva flex.,3.09,49,4
PRIMEIRA_CLASSE_8,Variante 8 da tarifa primeira classe.,3.93,51,3
PRIMEIRA_FLEX_8,Variante 8 da tarifa primeira flex.,5.06,51,2
PREMIUM_ECONOMY_8,Variante 8 da tarifa premium economy.,1.64,31,1
BUSINESS_SAVER_8,Variante 8 da tarifa business saver.,2.08,42,2
BUSINESS_FULL_8,Variante 8 da tarifa business full.,3.47,44,2
PROMO_BASICA_8,Variante 8 da tarifa promo basica.,0.53,8,1
PROMO_ESPECIAL_8,Variante 8 da tarifa promo especial.,0.45,14,3
CORPORATE_8,Variante 8 da tarifa corporate.,1.63,38,2
ESTUDANTE_8,Variante 8 da tarifa estudante.,1.0,25,5
MILITAR_8,Variante 8 da tarifa militar.,0.97,28,2
IDOSO_8,Variante 8 da tarifa idoso.,0.66,19,5
FAMILIA_8,Variante 8 da tarifa familia.,1.24,23,5
GRUPO_8,Variante 8 da tarifa grupo.,1.21,19,2
ECONOMICA_LIGHT_9,Variante 9 da tarifa economica light.,0.93,0,5
ECONOMICA_STANDARD_9,Variante 9 da tarifa economica standard.,1.04,30,3
ECONOMICA_PLUS_9,Variante 9 da tarifa economica plus.,1.03,35,2
ECONOMICA_FLEX_9,Variante 9 da tarifa economica flex.,1.63,34,4
EXECUTIVA_LIGHT_9,Variante 9 da tarifa executiva light.,2.28,32,3
EXECUTIVA_STANDARD_9,Variante 9 da tarifa executiva standard.,2.6,46,5
EXECUTIVA_FLEX_9,Variante 9 da tarifa executiva flex.,2.84,42,3
PRIMEIRA_CLASSE_9,Variante 9 da tarifa primeira classe.,4.27,46,2
PRIMEIRA_FLEX_9,Variante 9 da tarifa primeira flex.,4.75,56,5
PREMIUM_ECONOMY_9,Variante 9 da tarifa premium economy.,1.6,20,3
BUSINESS_SAVER_9,Variante 9 da tarifa business saver.,2.49,38,3
BUSINESS_FULL_9,Variante 9 da tarifa business full.,3.72,52,5
PROMO_BASICA_9,Variante 9 da tarifa promo basica.,0.71,10,3
PROMO_ESPECIAL_9,Variante 9 da tarifa promo especial.,0.88,22,5
CORPORATE_9,Variante 9 da tarifa corporate.,1.93,33,3
ESTUDANTE_9,Variante 9 da tarifa estudante.,1.02,26,2
MILITAR_9,Variante 9 da tarifa militar.,0.81,35,3
IDOSO_9,Variante 9 da tarifa idoso.,0.84,30,1
FAMILIA_9,Variante 9 da tarifa familia.,1.06,28,2
GRUPO_9,Variante 9 da tarifa grupo.,0.7,25,3
ECONOMICA_LIGHT_10,Variante 10 da tarifa economica light.,0.72,0,5
ECONOMICA_STANDARD_10,Variante 10 da tarifa economica standard.,0.9,27,5
ECONOMICA_PLUS_10,Variante 10 da tarifa economica plus.,0.95,35,2
ECONOMICA_FLEX_10,Variante 10 da tarifa economica flex.,1.56,29,3
EXECUTIVA_LIGHT_10,Variante 10 da tarifa executiva light.,2.17,38,5
EXECUTIVA_STANDARD_10,Variante 10 da tarifa executiva standard.,2.43,44,4
EXECUTIVA_FLEX_10,Variante 10 da tarifa executiva flex.,2.81,42,1
PRIMEIRA_CLASSE_10,Variante 10 da tarifa primeira classe.,3.97,53,2
PRIMEIRA_FLEX_10,Variante 10 da tarifa primeira flex.,4.84,48,3
PREMIUM_ECONOMY_10,Variante 10 da tarifa premium economy.,1.41,23,3
BUSINESS_SAVER_10,Variante 10 da tarifa business saver.,1.93,38,5
BUSINESS_FULL_10,Variante 10 da tarifa business full.,3.55,47,2
PROMO_BASICA_10,Variante 10 da tarifa promo basica.,0.86,0,3
PROMO_ESPECIAL_10,Variante 10 da tarifa promo especial.,0.87,19,2
CORPORATE_10,Variante 10 da tarifa corporate.,1.93,26,4
ESTUDANTE_10,Variante 10 da tarifa estudante.,0.79,22,4
MILITAR_10,Variante 10 da tarifa militar.,0.69,20,1
IDOSO_10,Variante 10 da tarifa idoso.,0.92,21,4
FAMILIA_10,Variante 10 da tarifa familia.,1.36,31,2
GRUPO_10,Variante 10 da tarifa grupo.,0.74,18,1
ECONOMICA_LIGHT_11,Variante 11 da tarifa economica light.,0.72,9,1
ECONOMICA_STANDARD_11,Variante 11 da tarifa economica standard.,1.25,26,3
ECONOMICA_PLUS_11,Variante 11 da tarifa economica plus.,0.99,36,3
ECONOMICA_FLEX_11,Variante 11 da tarifa economica flex.,1.54,30,4
EXECUTIVA_LIGHT_11,Variante 11 da tarifa executiva light.,2.23,41,3
EXECUTIVA_STANDARD_11,Variante 11 da tarifa executiva standard.,2.36,50,1
EXECUTIVA_FLEX_11,Variante 11 da tarifa executiva flex.,2.77,41,2
PRIMEIRA_CLASSE_11,Variante 11 da tarifa primeira classe.,4.22,45,5
PRIMEIRA_FLEX_11,Variante 11 da tarifa primeira flex.,4.95,55,2
PREMIUM_ECONOMY_11,Variante 11 da tarifa premium economy.,1.43,34,4
BUSINESS_SAVER_11,Variante 11 da tarifa business saver.,2.17,43,4
BUSINESS_FULL_11,Variante 11 da tarifa business full.,3.61,53,2
PROMO_BASICA_11,Variante 11 da tarifa promo basica.,0.42,0,1
PROMO_ESPECIAL_11,Variante 11 da tarifa promo especial.,0.57,11,1
CORPORATE_11,Variante 11 da tarifa corporate.,2.06,36,2
ESTUDANTE_11,Variante 11 da tarifa estudante.,0.94,17,1
MILITAR_11,Variante 11 da tarifa militar.,1.11,31,3
IDOSO_11,Variante 11 da tarifa idoso.,0.99,19,1
FAMILIA_11,Variante 11 da tarifa familia.,0.82,24,4
GRUPO_11,Variante 11 da tarifa grupo.,1.16,20,2
ECONOMICA_LIGHT_12,Variante 12 da tarifa economica light.,0.54,0,3
ECONOMICA_STANDARD_12,Variante 12 da tarifa economica standard.,0.98,24,1
ECONOMICA_PLUS_12,Variante 12 da tarifa economica plus.,1.16,34,2
ECONOMICA_FLEX_12,Variante 12 da tarifa economica flex.,1.68,28,2
EXECUTIVA_LIGHT_12,Variante 12 da tarifa executiva light.,2.16,29,4
EXECUTIVA_STANDARD_12,Variante 12 da tarifa executiva standard.,2.8,36,2
EXECUTIVA_FLEX_12,Variante 12 da tarifa executiva flex.,2.77,47,5
PRIMEIRA_CLASSE_12,Variante 12 da tarifa primeira classe.,3.91,49,5
PRIMEIRA_FLEX_12,Variante 12 da tarifa primeira flex.,5.17,50,1
PREMIUM_ECONOMY_12,Variante 12 da tarifa premium economy.,1.66,25,5
BUSINESS_SAVER_12,Variante 12 da tarifa business saver.,2.34,45,2
BUSINESS_FULL_12,Variante 12 da tarifa business full.,3.41,51,5
PROMO_BASICA_12,Variante 12 da tarifa promo basica.,0.51,1,2
PROMO_ESPECIAL_12,Variante 12 da tarifa promo especial.,0.49,14,4
CORPORATE_12,Variante 12 da tarifa corporate.,1.64,31,5
ESTUDANTE_12,Variante 12 da tarifa estudante.,0.81,20,1
MILITAR_12,Variante 12 da tarifa militar.,0.72,35,2
IDOSO_12,Variante 12 da tarifa idoso.,1.07,25,2
FAMILIA_12,Variante 12 da tarifa familia.,0.94,33,1
GRUPO_12,Variante 12 da tarifa grupo.,0.95,16,4
ECONOMICA_LIGHT_13,Variante 13 da tarifa economica light.,0.74,0,5
ECONOMICA_STANDARD_13,Variante 13 da tarifa economica standard.,1.29,19,5
ECONOMICA_PLUS_13,Variante 13 da tarifa economica plus.,1.01,40,1
ECONOMICA_FLEX_13,Variante 13 da tarifa economica flex.,1.56,30,2
EXECUTIVA_LIGHT_13,Variante 13 da tarifa executiva light.,1.93,30,1
EXECUTIVA_STANDARD_13,Variante 13 da tarifa executiva standard.,2.49,39,4
EXECUTIVA_FLEX_13,Variante 13 da tarifa executiva flex.,2.76,42,5
PRIMEIRA_CLASSE_13,Variante 13 da tarifa primeira classe.,4.11,50,1
PRIMEIRA_FLEX_13,Variante 13 da tarifa primeira flex.,5.28,60,4
PREMIUM_ECONOMY_13,Variante 13 da tarifa premium economy.,1.85,28,5
BUSINESS_SAVER_13,Variante 13 da tarifa business saver.,2.42,42,4
BUSINESS_FULL_13,Variante 13 da tarifa business full.,3.32,54,3
PROMO_BASICA_13,Variante 13 da tarifa promo basica.,0.38,1,2
PROMO_ESPECIAL_13,Variante 13 da tarifa promo especial.,0.99,14,2
CORPORATE_13,Variante 13 da tarifa corporate.,2.07,25,1
ESTUDANTE_13,Variante 13 da tarifa estudante.,0.9,24,3
MILITAR_13,Variante 13 da tarifa militar.,1.15,31,5
IDOSO_13,Variante 13 da tarifa idoso.,1.19,22,2
FAMILIA_13,Variante 13 da tarifa familia.,0.91,31,4
GRUPO_13,Variante 13 da tarifa grupo.,0.68,20,5
ECONOMICA_LIGHT_14,Variante 14 da tarifa economica light.,1.1,5,2
ECONOMICA_STANDARD_14,Variante 14 da tarifa economica standard.,0.92,19,4
ECONOMICA_PLUS_14,Variante 14 da tarifa economica plus.,1.05,40,2
ECONOMICA_FLEX_14,Variante 14 da tarifa economica flex.,1.14,28,5
EXECUTIVA_LIGHT_14,Variante 14 da tarifa executiva light.,1.73,39,4
EXECUTIVA_STANDARD_14,Variante 14 da tarifa executiva standard.,2.37,42,1
EXECUTIVA_FLEX_14,Variante 14 da tarifa executiva flex.,2.99,45,2
PRIMEIRA_CLASSE_14,Variante 14 da tarifa primeira classe.,4.21,54,1
PRIMEIRA_FLEX_14,Variante 14 da tarifa primeira flex.,5.09,55,2
PREMIUM_ECONOMY_14,Variante 14 da tarifa premium economy.,1.31,22,2
BUSINESS_SAVER_14,Variante 14 da tarifa business saver.,2.36,35,4
BUSINESS_FULL_14,Variante 14 da tarifa business full.,3.6,49,4
PROMO_BASICA_14,Variante 14 da tarifa promo basica.,0.44,10,3
PROMO_ESPECIAL_14,Variante 14 da tarifa promo especial.,0.63,20,3
CORPORATE_14,Variante 14 da tarifa corporate.,1.97,26,3
ESTUDANTE_14,Variante 14 da tarifa estudante.,0.64,17,2
MILITAR_14,Variante 14 da tarifa militar.,1.11,22,3
IDOSO_14,Variante 14 da tarifa idoso.,0.65,26,1
FAMILIA_14,Variante 14 da tarifa familia.,0.85,30,3
GRUPO_14,Variante 14 da tarifa grupo.,0.91,15,5
ECONOMICA_LIGHT_15,Variante 15 da tarifa economica light.,1.06,0,5
ECONOMICA_STANDARD_15,Variante 15 da tarifa economica standard.,1.13,24,5
ECONOMICA_PLUS_15,Variante 15 da tarifa economica plus.,1.09,40,3
ECONOMICA_FLEX_15,Variante 15 da tarifa economica flex.,1.58,26,4
EXECUTIVA_LIGHT_15,Variante 15 da tarifa executiva light.,2.18,31,1
EXECUTIVA_STANDARD_15,Variante 15 da tarifa executiva standard.,2.35,48,2
EXECUTIVA_FLEX_15,Variante 15 da tarifa executiva flex.,3.1,37,5
PRIMEIRA_CLASSE_15,Variante 15 da tarifa primeira classe.,4.22,60,1
PRIMEIRA_FLEX_15,Variante 15 da tarifa primeira flex.,4.78,47,2
PREMIUM_ECONOMY_15,Variante 15 da tarifa premium economy.,1.48,26,5
BUSINESS_SAVER_15,Variante 15 da tarifa business saver.,2.05,43,5
BUSINESS_FULL_15,Variante 15 da tarifa business full.,3.44,54,4
PROMO_BASICA_15,Variante 15 da tarifa promo basica.,0.32,10,2
PROMO_ESPECIAL_15,Variante 15 da tarifa promo especial.,0.44,23,4
CORPORATE_15,Variante 15 da tarifa corporate.,2.04,32,1
ESTUDANTE_15,Variante 15 da tarifa estudante.,0.93,20,2
MILITAR_15,Variante 15 da tarifa militar.,0.81,32,1
IDOSO_15,Variante 15 da tarifa idoso.,0.88,28,5
FAMILIA_15,Variante 15 da tarifa familia.,1.38,35,5
GRUPO_15,Variante 15 da tarifa grupo.,0.9,22,2
ECONOMICA_LIGHT_16,Variante 16 da tarifa economica light.,1.06,4,2
ECONOMICA_STANDARD_16,Variante 16 da tarifa economica standard.,0.77,20,4
ECONOMICA_PLUS_16,Variante 16 da tarifa economica plus.,1.1,31,1
ECONOMICA_FLEX_16,Variante 16 da tarifa economica flex.,1.67,35,2
EXECUTIVA_LIGHT_16,Variante 16 da tarifa executiva light.,1.84,31,1
EXECUTIVA_STANDARD_16,Variante 16 da tarifa executiva standard.,2.3,37,3
EXECUTIVA_FLEX_16,Variante 16 da tarifa executiva flex.,3.21,46,4
PRIMEIRA_CLASSE_16,Variante 16 da tarifa primeira classe.,4.18,53,3
PRIMEIRA_FLEX_16,Variante 16 da tarifa primeira flex.,5.04,59,3
PREMIUM_ECONOMY_16,Variante 16 da tarifa premium economy.,1.59,21,1
BUSINESS_SAVER_16,Variante 16 da tarifa business saver.,1.98,44,4
BUSINESS_FULL_16,Variante 16 da tarifa business full.,3.38,53,4
PROMO_BASICA_16,Variante 16 da tarifa promo basica.,0.54,9,5
PROMO_ESPECIAL_16,Variante 16 da tarifa promo especial.,0.67,19,1
CORPORATE_16,Variante 16 da tarifa corporate.,1.75,31,4
ESTUDANTE_16,Variante 16 da tarifa estudante.,0.98,28,1
MILITAR_16,Variante 16 da tarifa militar.,0.7,30,1
IDOSO_16,Variante 16 da tarifa idoso.,0.61,25,3
FAMILIA_16,Variante 16 da tarifa familia.,0.99,27,4
GRUPO_16,Variante 16 da tarifa grupo.,0.77,27,3
ECONOMICA_LIGHT_17,Variante 17 da tarifa economica light.,0.84,0,4
ECONOMICA_STANDARD_17,Variante 17 da tarifa economica standard.,0.96,21,5
ECONOMICA_PLUS_17,Variante 17 da tarifa economica plus.,1.29,29,5
ECONOMICA_FLEX_17,Variante 17 da tarifa economica flex.,1.52,32,3
EXECUTIVA_LIGHT_17,Variante 17 da tarifa executiva light.,1.82,38,5
EXECUTIVA_STANDARD_17,Variante 17 da tarifa executiva standard.,2.48,35,2
EXECUTIVA_FLEX_17,Variante 17 da tarifa executiva flex.,2.92,38,2
PRIMEIRA_CLASSE_17,Variante 17 da tarifa primeira classe.,4.02,59,4
PRIMEIRA_FLEX_17,Variante 17 da tarifa primeira flex.,5.1,58,3
PREMIUM_ECONOMY_17,Variante 17 da tarifa premium economy.,1.44,22,3
BUSINESS_SAVER_17,Variante 17 da tarifa business saver.,2.27,40,5
BUSINESS_FULL_17,Variante 17 da tarifa business full.,3.44,49,4
PROMO_BASICA_17,Variante 17 da tarifa promo basica.,0.69,2,3
PROMO_ESPECIAL_17,Variante 17 da tarifa promo especial.,0.98,18,3
CORPORATE_17,Variante 17 da tarifa corporate.,1.95,34,3
ESTUDANTE_17,Variante 17 da tarifa estudante.,0.92,24,5
MILITAR_17,Variante 17 da tarifa militar.,0.62,27,5
IDOSO_17,Variante 17 da tarifa idoso.,0.75,26,3
FAMILIA_17,Variante 17 da tarifa familia.,1.15,29,2
GRUPO_17,Variante 17 da tarifa grupo.,0.99,23,4
ECONOMICA_LIGHT_18,Variante 18 da tarifa economica light.,0.66,0,2
ECONOMICA_STANDARD_18,Variante 18 da tarifa economica standard.,0.83,28,5
ECONOMICA_PLUS_18,Variante 18 da tarifa economica plus.,1.15,40,2
ECONOMICA_FLEX_18,Variante 18 da tarifa economica flex.,1.69,33,1
EXECUTIVA_LIGHT_18,Variante 18 da tarifa executiva light.,1.85,30,1
EXECUTIVA_STANDARD_18,Variante 18 da tarifa executiva standard.,2.8,49,2
EXECUTIVA_FLEX_18,Variante 18 da tarifa executiva flex.,2.74,40,1
PRIMEIRA_CLASSE_18,Variante 18 da tarifa primeira classe.,4.22,46,4
PRIMEIRA_FLEX_18,Variante 18 da tarifa primeira flex.,4.9,56,2
