nome,aeroporto_id,capacidade_gates,tipo,ativo
T44,1552,33,INTERNACIONAL,True
T34,298,13,CARGA,True
T41,639,5,MISTO,True
T41,4264,6,CARGA,True
T42,2548,10,CARGA,True
Terminal C,1601,40,DOMESTICO,True
T14,144,48,CARGA,True
Terminal A,2789,17,DOMESTICO,True
Terminal A,3094,18,MISTO,True
Terminal G,1019,34,DOMESTICO,True
T4,3928,15,DOMESTICO,False
T23,4039,17,INTERNACIONAL,True
Terminal X,3744,12,INTERNACIONAL,True
T29,1819,41,MISTO,True
Terminal S,1701,43,CARGA,True
T49,2720,5,MISTO,True
T1,2922,22,INTERNACIONAL,True
T8,2999,39,INTERNACIONAL,True
T1,2818,38,CARGA,True
T22,2501,8,INTERNACIONAL,True
T50,2841,29,MISTO,True
T23,486,5,DOMESTICO,True
Terminal U,3756,31,MISTO,True
Terminal L,2575,18,INTERNACIONAL,True
T12,3169,7,DOMESTICO,True
Terminal Z,730,29,MISTO,True
Terminal U,405,46,MISTO,True
T29,1420,4,DOMESTICO,True
T48,4424,44,INTERNACIONAL,True
T8,4266,15,MISTO,True
Terminal Y,4991,36,MISTO,True
T22,2463,37,INTERNACIONAL,True
T36,523,19,CARGA,True
T9,4887,41,CARGA,True
T21,3262,22,DOMESTICO,True
T17,4204,29,INTERNACIONAL,True
T37,3508,28,CARGA,True
Terminal H,3720,15,DOMESTICO,True
Terminal V,642,10,DOMESTICO,True
T38,4226,24,INTERNACIONAL,True
Terminal W,2145,6,MISTO,True
T2,4189,23,MISTO,True
T33,2717,20,INTERNACIONAL,True
Terminal Z,4263,37,INTERNACIONAL,True
T11,3045,15,DOMESTICO,True
T18,1576,46,INTERNACIONAL,True
Terminal W,2783,6,MISTO,True
T11,1604,26,CARGA,True
T30,175,36,INTERNACIONAL,True
T35,2096,8,MISTO,True
T28,2629,8,DOMESTICO,True
Terminal E,630,15,DOMESTICO,True
Terminal R,841,15,MISTO,True
Terminal W,874,8,CARGA,True
Terminal R,1839,14,INTERNACIONAL,True
Terminal M,2125,18,INTERNACIONAL,True
T4,3353,42,INTERNACIONAL,True
Terminal O,1046,20,MISTO,True
Terminal N,3890,23,DOMESTICO,True
T25,1022,33,CARGA,True
Terminal E,4097,7,DOMESTICO,True
Terminal M,4961,15,INTERNACIONAL,True
Terminal X,2446,14,INTERNACIONAL,True
Terminal Y,3222,23,MISTO,True
Terminal F,3396,15,INTERNACIONAL,True
Terminal Y,4610,7,DOMESTICO,True
T31,2796,7,CARGA,True
T45,1641,8,MISTO,True
Terminal R,2774,31,CARGA,True
T23,1325,2,INTERNACIONAL,True
T29,2702,20,DOMESTICO,True
T4,4779,2,CARGA,True
T22,642,2,CARGA,True
T38,3577,38,CARGA,True
T47,4971,15,DOMESTICO,True
T47,1011,20,CARGA,True
Terminal W,965,17,DOMESTICO,True
Terminal E,72,11,MISTO,True
Terminal O,2760,33,MISTO,True
T2,3248,30,INTERNACIONAL,True
Terminal V,1661,32,DOMESTICO,True
T26,4859,28,CARGA,True
T22,4367,36,MISTO,True
T24,729,12,DOMESTICO,True
T20,3319,50,DOMESTICO,True
T34,2074,15,CARGA,True
Terminal Z,2378,7,DOMESTICO,True
T38,3596,6,DOMESTICO,True
Terminal S,451,31,MISTO,True
T46,340,42,MISTO,True
T32,4996,40,INTERNACIONAL,True
T13,4272,15,MISTO,True
Terminal M,1543,18,MISTO,True
Terminal M,1369,12,MISTO,True
T30,4491,4,CARGA,True
T40,41,8,DOMESTICO,True
T48,392,48,DOMESTICO,True
Terminal N,2474,20,DOMESTICO,True
T46,489,24,DOMESTICO,True
T9,1984,32,MISTO,True
T26,4927,16,CARGA,True
Terminal V,1497,28,MISTO,True
T9,2624,46,INTERNACIONAL,True
T11,1461,23,INTERNACIONAL,True
Terminal B,3260,20,INTERNACIONAL,True
Terminal K,4399,31,MISTO,True
Terminal R,2265,25,INTERNACIONAL,True
T42,3279,43,MISTO,True
T32,1522,29,INTERNACIONAL,False
T45,802,43,DOMESTICO,True
T24,2513,26,DOMESTICO,True
T43,1308,4,CARGA,False
T34,66,39,DOMESTICO,True
T20,2023,8,MISTO,True
T35,613,23,INTERNACIONAL,True
Terminal H,3604,10,MISTO,True
T38,1960,40,CARGA,False
Terminal G,3189,21,INTERNACIONAL,True
T19,3921,37,CARGA,True
Terminal Z,3013,31,DOMESTICO,True
Terminal O,291,22,INTERNACIONAL,True
Terminal A,204,14,INTERNACIONAL,True
T48,3136,28,MISTO,True
Terminal I,2060,14,INTERNACIONAL,True
T20,823,7,CARGA,True
T12,4999,36,MISTO,True
T30,3378,14,DOMESTICO,True
Terminal C,1739,39,DOMESTICO,True
T47,2550,9,INTERNACIONAL,True
T18,3121,14,CARGA,True
T1,721,27,MISTO,True
T17,1604,7,MISTO,True
T40,1506,50,INTERNACIONAL,True
T2,2664,21,MISTO,True
T32,4880,50,INTERNACIONAL,True
T27,4884,24,CARGA,True
T5,4504,43,INTERNACIONAL,True
T38,978,2,CARGA,True
T11,3549,7,INTERNACIONAL,True
T16,626,19,DOMESTICO,True
T33,2141,34,INTERNACIONAL,False
T17,3708,2,DOMESTICO,True
T38,1162,42,DOMESTICO,True
T48,2207,9,MISTO,True
T19,136,10,CARGA,True
Terminal Z,3252,28,MISTO,True
Terminal J,1252,13,CARGA,True
T15,2143,20,INTERNACIONAL,True
T40,3426,43,CARGA,True
T36,3552,44,MISTO,True
T24,1524,40,CARGA,True
Terminal L,40,46,INTERNACIONAL,True
T37,1087,41,INTERNACIONAL,True
Terminal A,3705,12,CARGA,True
Terminal P,3965,40,CARGA,True
T11,4940,41,DOMESTICO,True
Terminal P,2883,21,CARGA,True
T28,1010,49,DOMESTICO,True
T11,4463,39,MISTO,True
T25,1231,3,CARGA,True
Terminal U,1507,34,CARGA,True
Terminal J,3310,21,DOMESTICO,True
T23,4634,26,DOMESTICO,True
Terminal V,3020,41,INTERNACIONAL,True
T32,2764,35,DOMESTICO,True
T17,4135,4,CARGA,True
Terminal H,1567,47,INTERNACIONAL,True
Terminal J,3954,7,INTERNACIONAL,False
T2,3841,3,INTERNACIONAL,True
T21,4327,42,MISTO,True
Terminal R,798,39,INTERNACIONAL,True
T34,289,11,INTERNACIONAL,True
T6,1677,25,INTERNACIONAL,True
T44,4722,41,MISTO,True
T5,983,42,CARGA,True
T6,3847,36,CARGA,True
T45,3597,31,CARGA,True
Terminal U,4371,17,CARGA,False
T12,4517,13,INTERNACIONAL,True
T27,3140,23,DOMESTICO,True
T40,2132,26,MISTO,True
Terminal D,1622,27,INTERNACIONAL,True
T42,3131,6,MISTO,True
T13,4564,38,DOMESTICO,True
Terminal S,3597,5,INTERNACIONAL,True
Terminal K,4211,6,INTERNACIONAL,False
T41,39,19,INTERNACIONAL,True
T49,1790,9,MISTO,True
T45,4745,9,DOMESTICO,True
T50,3589,28,INTERNACIONAL,True
T18,174,2,CARGA,True
T48,2291,23,DOMESTICO,True
T5,2318,12,CARGA,True
Terminal V,4839,38,DOMESTICO,True
T10,4261,43,MISTO,True
T27,914,7,CARGA,True
Terminal W,3347,19,DOMESTICO,True
T17,4311,9,CARGA,True
T39,1971,8,INTERNACIONAL,True
T36,2623,47,MISTO,True
T35,1990,28,INTERNACIONAL,True
T9,2742,9,MISTO,True
T1,4376,35,MISTO,True
T4,3536,22,CARGA,True
T27,972,20,MISTO,True
T39,3364,19,CARGA,True
Terminal V,1558,45,DOMESTICO,True
Terminal H,824,13,DOMESTICO,True
T18,4272,45,DOMESTICO,True
T22,4514,35,DOMESTICO,True
Terminal M,436,20,CARGA,False
T22,1568,17,MISTO,True
T25,4851,34,INTERNACIONAL,True
Terminal M,121,19,DOMESTICO,True
T6,1152,23,CARGA,True
T26,669,33,CARGA,True
T32,1171,8,CARGA,True
T34,1476,35,MISTO,True
T33,4200,7,DOMESTICO,True
T43,1629,16,MISTO,True
Terminal F,3635,24,DOMESTICO,False
T35,2094,16,DOMESTICO,True
Terminal D,4545,13,INTERNACIONAL,True
Terminal O,1766,47,DOMESTICO,True
Terminal W,4188,21,DOMESTICO,True
T4,2465,3,MISTO,True
T23,2533,38,CARGA,True
T12,4823,11,MISTO,True
T13,1811,39,DOMESTICO,True
T50,750,30,CARGA,True
T3,4990,17,MISTO,True
T8,502,8,MISTO,True
Terminal Z,710,42,DOMESTICO,True
T24,3632,26,DOMESTICO,True
Terminal N,3172,26,CARGA,True
T27,2193,21,INTERNACIONAL,True
T41,254,33,INTERNACIONAL,True
Terminal J,4287,34,DOMESTICO,True
T25,4703,40,INTERNACIONAL,True
T7,2301,18,DOMESTICO,True
Terminal S,3604,21,CARGA,True
Terminal K,1402,16,CARGA,True
Terminal T,3308,3,DOMESTICO,True
T49,2233,45,MISTO,True
Terminal U,3909,14,DOMESTICO,True
Terminal I,235,30,DOMESTICO,True
T29,3198,35,CARGA,True
Terminal R,3588,8,MISTO,True
T2,4719,24,MISTO,True
T14,418,32,DOMESTICO,True
T33,3000,7,INTERNACIONAL,True
T24,2603,24,CARGA,True
Terminal M,2280,45,CARGA,True
T28,3193,31,DOMESTICO,True
Terminal K,919,9,INTERNACIONAL,False
Terminal C,4049,8,DOMESTICO,True
T47,4313,14,MISTO,True
T50,4019,13,CARGA,True
Terminal R,2778,24,CARGA,True
Terminal D,2863,47,INTERNACIONAL,True
T40,4976,43,MISTO,True
T28,4225,6,CARGA,True
Terminal Y,4232,50,DOMESTICO,True
T10,1673,11,INTERNACIONAL,True
T44,4064,25,INTERNACIONAL,True
Terminal A,1015,6,INTERNACIONAL,True
T44,4776,38,INTERNACIONAL,False
T10,113,2,DOMESTICO,True
T19,3444,37,MISTO,True
Terminal C,4647,8,MISTO,False
T30,2779,23,DOMESTICO,True
T32,2884,37,CARGA,False
Terminal F,4898,41,MISTO,True
T34,1172,49,DOMESTICO,True
T25,1581,40,DOMESTICO,True
Terminal O,4714,35,INTERNACIONAL,True
T9,3441,35,INTERNACIONAL,True
T50,3347,28,DOMESTICO,True
T24,1589,30,CARGA,True
T33,3731,22,INTERNACIONAL,True
T13,4674,45,INTERNACIONAL,True
T20,814,19,CARGA,True
Terminal L,4459,44,MISTO,True
T8,1133,22,INTERNACIONAL,True
Terminal E,3870,25,DOMESTICO,True
T18,3871,23,DOMESTICO,True
T8,1336,20,DOMESTICO,True
T43,4397,44,CARGA,True
T22,4848,3,DOMESTICO,True
Terminal O,4703,38,INTERNACIONAL,True
T31,510,19,DOMESTICO,True
Terminal C,1379,8,INTERNACIONAL,True
T14,4407,15,INTERNACIONAL,True
T14,616,3,MISTO,True
T35,2556,36,CARGA,True
T20,1606,30,INTERNACIONAL,True
T36,1332,16,INTERNACIONAL,False
Terminal B,4674,17,MISTO,True
T14,2431,27,MISTO,True
Terminal W,2040,6,DOMESTICO,True
T16,4865,20,CARGA,True
T37,834,31,INTERNACIONAL,True
T47,3869,2,DOMESTICO,True
T39,4679,19,CARGA,True
T34,559,3,MISTO,True
T2,325,47,MISTO,True
T15,1336,32,CARGA,True
Terminal E,465,11,DOMESTICO,True
T18,4837,25,DOMESTICO,False
T7,449,21,MISTO,True
T23,3494,45,INTERNACIONAL,False
T32,3067,12,CARGA,True
Terminal X,1268,3,INTERNACIONAL,True
T44,2616,38,INTERNACIONAL,True
T2,4599,38,DOMESTICO,True
Terminal D,3765,9,INTERNACIONAL,True
Terminal D,3215,44,CARGA,True
Terminal T,1774,48,MISTO,True
Terminal Y,4980,11,INTERNACIONAL,True
T21,3946,28,CARGA,True
T23,2220,26,MISTO,True
T10,1526,9,MISTO,True
T28,1280,43,DOMESTICO,True
T20,3616,32,MISTO,True
T42,2823,23,CARGA,True
T13,3232,25,DOMESTICO,True
Terminal W,4766,19,INTERNACIONAL,True
T8,1984,26,INTERNACIONAL,True
T21,4584,7,CARGA,True
T41,1504,33,INTERNACIONAL,True
T45,709,31,CARGA,True
T8,1971,42,DOMESTICO,True
T36,4586,44,CARGA,True
T27,3645,14,CARGA,True
Terminal C,634,14,DOMESTICO,True
Terminal W,3595,33,CARGA,True
Terminal H,3426,28,CARGA,True
Terminal W,2317,2,MISTO,True
T16,250,32,MISTO,True
Terminal I,1182,27,INTERNACIONAL,True
T17,3334,7,CARGA,True
T19,929,16,DOMESTICO,True
Terminal J,2401,45,INTERNACIONAL,True
T39,1027,43,CARGA,True
T30,4356,44,CARGA,True
T7,886,29,CARGA,True
T38,840,2,MISTO,True
T34,3398,4,DOMESTICO,True
T22,2743,46,INTERNACIONAL,True
Terminal J,2526,49,INTERNACIONAL,True
T22,3161,23,INTERNACIONAL,True
T21,4925,47,CARGA,True
T15,1603,9,CARGA,True
Terminal A,1144,13,INTERNACIONAL,True
Terminal P,3794,7,INTERNACIONAL,True
Terminal G,4100,5,INTERNACIONAL,True
T41,2278,5,DOMESTICO,True
T7,4372,30,MISTO,True
T21,2727,30,CARGA,True
Terminal T,1775,37,INTERNACIONAL,True
Terminal I,4968,14,INTERNACIONAL,True
T45,544,42,INTERNACIONAL,True
T8,4753,41,INTERNACIONAL,True
Terminal B,4203,35,MISTO,True
T38,4227,15,INTERNACIONAL,True
T15,3713,34,MISTO,True
Terminal S,3498,32,DOMESTICO,True
T34,1553,5,INTERNACIONAL,True
T25,2449,41,MISTO,True
Terminal D,4439,40,DOMESTICO,True
T48,231,21,CARGA,True
T28,448,11,CARGA,True
T39,2717,36,CARGA,True
T9,2193,50,MISTO,True
Terminal K,1987,11,MISTO,True
T49,352,13,CARGA,True
T47,2013,4,DOMESTICO,True
Terminal R,1174,4,INTERNACIONAL,True
T18,607,43,DOMESTICO,True
T20,4160,7,INTERNACIONAL,True
Terminal E,2285,22,MISTO,True
T17,3177,12,INTERNACIONAL,True
T43,11,30,CARGA,True
Terminal G,634,50,DOMESTICO,True
T30,1298,3,CARGA,True
T40,3804,49,MISTO,True
T34,3492,18,MISTO,True
Terminal J,1796,5,INTERNACIONAL,True
T44,1901,44,MISTO,True
T32,1989,47,CARGA,True
T5,3942,5,MISTO,True
Terminal W,4408,6,CARGA,True
T18,2275,40,CARGA,True
T9,1136,15,DOMESTICO,True
Terminal T,655,24,MISTO,True
T41,4111,14,INTERNACIONAL,True
T36,172,36,DOMESTICO,True
T17,1046,31,DOMESTICO,True
Terminal H,3691,31,CARGA,True
T13,1528,18,MISTO,True
T16,3842,43,CARGA,True
Terminal O,1889,25,CARGA,True
