nome,pais_id,estado_provincia,populacao,latitude,longitude
Fonseca,193,Mato Grosso,7984730,0.246114,164.780049
Marques,462,Amazonas,14053857,-28.1812,77.153598
Rios do Amparo,517,Pernambuco,661695,-45.40613,-22.407021
Peixoto das Flores,450,Rio Grande do Norte,10235837,-61.425683,-45.773286
Pastor do Campo,290,Mato Grosso do Sul,12998363,-29.093914,35.23891
Marques da Serra,809,Tocantins,5619484,-78.135866,-145.977859
Pimenta Verde,695,Amapá,4232787,40.272058,56.363071
Dias,929,Amazonas,2527845,-29.994834,29.786225
das Neves,145,Amazonas,5209824,84.185371,71.452787
Freitas,402,Roraima,11897261,78.840396,-68.550521
Moraes,386,Minas Gerais,5515922,56.373261,61.241904
Peixoto Grande,849,Rio de Janeiro,11504346,74.240637,-146.356933
Lima da Serra,687,Paraná,6075468,-86.718503,-68.808215
Novais,974,Ceará,12858968,-2.471234,-98.444503
da Paz de Carvalho,141,Ceará,4967567,61.99711,-143.589325
Machado do Norte,790,Mato Grosso do Sul,12397389,69.06279,-166.410903
Mendonça,345,Bahia,10373847,-66.411173,-44.380847
Gomes,167,Piauí,11629020,48.797606,111.255739
Jesus de Rodrigues,170,Paraná,738037,-16.04545,63.490652
Santos dos Dourados,244,Paraná,10249091,-38.712972,89.473147
Barros,460,Rio de Janeiro,4017581,-34.295779,111.104594
Vieira,481,São Paulo,3260051,-23.788628,160.966861
da Rocha,452,Alagoas,4732345,50.062327,1.046409
Câmara da Prata,429,Maranhão,13710160,-54.054408,37.678841
Vasconcelos,894,Paraíba,10762199,-3.493682,-46.363642
Novaes de Moraes,957,Amazonas,14196717,2.86369,-135.116002
da Mata,86,São Paulo,4581678,-9.12254,4.806986
Nogueira do Norte,851,São Paulo,3730179,57.006586,138.466719
Nogueira de Cunha,953,,898502,-18.638286,-45.373864
Caldeira de Goiás,396,Maranhão,6294990,-49.583023,-65.273445
Machado,102,Goiás,10909530,-29.647736,-127.42225
Borges dos Dourados,40,Amazonas,13926089,-4.958112,119.199775
Costela,778,Sergipe,7531283,20.762686,146.108696
Santos das Pedras,20,Ceará,14013356,-63.086469,158.481342
Viana,624,Distrito Federal,1870405,49.711074,-94.449518
Araújo,125,,7048503,25.011312,44.211805
Nascimento Paulista,65,Rio Grande do Norte,8390742,17.413028,-174.083273
Duarte,528,Roraima,12060173,-64.156169,-25.473998
da Rocha Verde,630,Goiás,9579148,-15.017833,59.173669
Carvalho,88,São Paulo,6054927,-77.817722,9.3814
Araújo Paulista,520,Rio Grande do Sul,8521493,9.747351,-39.436656
Sampaio,482,,6495791,86.587096,-88.685906
da Cruz,17,Bahia,1138461,-27.935551,83.858768
da Cruz das Flores,644,Paraná,9767717,42.333657,-60.293301
Oliveira,46,Rio Grande do Sul,5684880,56.431596,-116.967914
Pires das Pedras,798,Minas Gerais,11671695,-3.864389,-114.379921
Barbosa de Porto,139,,13027313,79.848927,-166.685836
Guerra,207,,3351548,69.442269,-66.385505
Sales da Praia,318,Paraíba,13685243,7.745526,-88.807045
Duarte de Pacheco,772,Acre,4805144,-25.744648,101.102964
Siqueira,887,Paraíba,4588814,-67.594499,-47.513097
Azevedo da Prata,911,Minas Gerais,7382556,71.034749,-40.807883
Lima,998,Tocantins,11615982,-0.445789,152.751768
Monteiro,532,Goiás,1390991,40.874638,-151.586278
da Paz Alegre,617,Piauí,3032557,8.185392,-64.363886
Nunes,82,Paraná,4965015,-34.830746,36.943786
Rodrigues do Norte,437,Alagoas,7452546,-26.721543,-164.752141
Pires,891,Sergipe,10320496,89.667108,-81.16007
Almeida de Campos,811,Ceará,1263981,30.8131,-33.764317
Marques de Abreu,526,Pará,11403618,-61.202389,-168.789377
Sales,870,Bahia,13113239,-11.128892,-134.557191
Castro Paulista,242,Amapá,6150971,-24.812895,161.80816
da Cunha de Minas,34,Mato Grosso do Sul,11397770,-9.013938,-46.452777
Aragão,455,Minas Gerais,9633809,-65.214881,-47.898018
Silveira de Goiás,322,Pará,4192788,82.893609,-170.671197
Santos,191,Amazonas,6497570,74.437651,-137.606042
Cunha,794,Paraná,7492220,-51.377323,40.275786
Cardoso,711,Rio de Janeiro,8245971,-53.967899,-131.13777
Moreira,76,Rondônia,11973360,-9.879985,-148.395333
Albuquerque de Albuquerque,699,Roraima,5366793,30.211162,75.434575
Campos das Pedras,564,Roraima,14959064,-36.007798,-123.29811
Mendes,727,Amapá,10703831,-58.663618,-49.862814
Gomes,230,Amapá,3376891,52.571821,-94.774974
Caldeira,506,,9299937,13.009933,-11.733898
Freitas da Mata,565,Bahia,14840193,-74.481213,-68.655342
Vasconcelos Grande,735,Rio Grande do Sul,8824709,-16.056878,-32.60393
Azevedo,589,,5323841,25.620946,-18.009182
Pimenta,697,Rio Grande do Sul,2158097,68.032827,100.894654
Macedo,656,Mato Grosso do Sul,12886238,83.927631,-24.257417
Pires,933,Santa Catarina,13953423,-67.650998,-124.914432
Jesus,169,Rio Grande do Norte,11905618,-49.415349,161.093929
Cunha de Borges,532,Amazonas,14197412,-75.805217,-109.331309
Sá,980,Amazonas,2105009,22.504025,41.19418
Ferreira das Pedras,96,Mato Grosso,2834240,16.52552,29.03274
da Cruz,176,Goiás,12095211,72.360161,-58.456949
da Cruz,947,Piauí,13850167,65.480614,-150.759772
Vasconcelos do Sul,972,Rondônia,9681615,-42.361937,-104.108983
Costela do Galho,586,Rio Grande do Norte,10725493,-84.548538,140.038877
Souza,559,Minas Gerais,5073298,-3.069933,109.687736
Ramos do Norte,702,Sergipe,7614207,-76.864855,-158.431308
Monteiro,451,Minas Gerais,7797046,-53.275858,38.397695
da Costa,321,Paraná,5362240,42.155956,129.879852
Moura,999,Acre,12766840,-23.302764,22.194438
Dias Grande,327,Minas Gerais,2060576,-41.855099,-90.749202
Fonseca da Prata,100,,6449964,65.549493,-29.471492
Teixeira,986,Paraná,2684315,56.426012,156.150553
Almeida,739,Rio de Janeiro,12808052,-61.318366,178.548988
Albuquerque,479,Goiás,5181450,-0.473351,-147.582326
Aparecida,403,Alagoas,4043756,-51.274004,-52.957768
Montenegro da Mata,52,Rio Grande do Sul,10029701,68.821106,55.533613
Lima das Flores,482,Amapá,142194,62.491026,-24.866003
da Mota,904,Amapá,6141730,47.494218,-48.262553
Barros do Galho,411,,9430722,-54.962046,19.160254
Cassiano,76,Piauí,7560692,47.592741,-79.300556
Gonçalves Verde,639,Rio Grande do Sul,1998318,-66.84059,-145.194665
das Neves,383,Roraima,5693907,10.409731,-48.381706
Siqueira de Goiás,148,Alagoas,8546658,-17.750325,-165.508234
Borges,40,Pará,5592495,54.713854,6.959776
Marques,153,Rio Grande do Norte,8653751,-64.839423,155.292745
das Neves,327,Rondônia,10348161,43.077485,-72.275637
Campos,345,Acre,8556583,5.821169,75.14633
Sampaio,307,Acre,284121,-23.695594,62.570301
Monteiro,427,Mato Grosso do Sul,13372327,71.778079,133.955681
Cavalcante da Praia,645,,7967302,-42.204521,56.01275
Souza,996,São Paulo,9696097,-49.042219,-161.512141
Siqueira do Campo,492,São Paulo,10558292,39.81291,98.858207
Farias,390,Sergipe,11425702,-46.404619,26.125298
da Mata do Galho,718,Amapá,322716,-10.613058,-29.239093
Silva Verde,423,Rio Grande do Sul,6889990,0.327511,40.132102
Monteiro,483,Paraíba,12350300,40.932378,74.079084
Araújo do Amparo,532,Rio de Janeiro,5458426,89.662116,-7.786446
Freitas,386,Ceará,2910518,-7.260564,11.925743
Vargas do Campo,560,Rio de Janeiro,12956839,66.177793,65.06852
da Conceição,823,Santa Catarina,10240386,-2.847582,164.641463
Aparecida,286,Acre,3777642,79.467398,173.613707
Aparecida,790,Paraná,3482544,34.243184,-3.958891
Gomes Grande,492,Ceará,13349687,39.899588,-76.395825
Novaes,588,Sergipe,6375211,71.236883,-37.968316
Câmara Alegre,354,Espírito Santo,13504213,-63.634298,-164.856065
Silveira Alegre,979,Goiás,5816015,76.321734,56.149938
Oliveira,766,Mato Grosso do Sul,3395138,59.031307,-82.39222
Montenegro,576,Rondônia,2308058,-70.339215,86.720752
Cavalcanti,246,Espírito Santo,11242949,72.933154,-98.758207
Guerra,239,,6939046,-30.547148,-9.934593
Martins,698,Maranhão,91930,83.613378,172.047856
Duarte de Minas,162,Piauí,14779812,68.111932,-8.118533
Albuquerque de Freitas,205,Distrito Federal,4824172,-32.189814,52.52325
Nunes da Mata,930,Santa Catarina,10948756,13.344004,12.65482
Martins,741,Mato Grosso do Sul,630760,74.381351,-116.976681
Vargas de Vasconcelos,904,Distrito Federal,614681,89.490925,-37.081953
Cassiano,508,Acre,12571188,83.183648,153.374291
Alves de Goiás,898,,5011190,12.233136,-141.371751
Porto do Sul,344,Mato Grosso,10764436,7.794087,-2.191529
Teixeira,962,Rondônia,8464284,-5.756262,-110.587897
Sousa da Mata,116,Amazonas,12271145,-7.395395,-87.384643
Moura,191,,5660803,52.33818,24.40124
Leão,776,Paraná,10255115,64.106371,142.935394
Casa Grande,847,Roraima,5506696,-74.387201,60.932107
Borges do Norte,190,Espírito Santo,8015350,-31.751699,-90.70305
Sampaio da Praia,268,Paraíba,7499978,45.676197,163.452536
Pacheco,310,Amazonas,9616287,-87.941568,55.326012
Porto,710,Tocantins,11208591,-68.719527,-69.549717
Barbosa Verde,416,Rio de Janeiro,14899836,36.640266,-68.047939
Lopes,121,Rondônia,4954909,-23.842097,-100.494274
da Costa,981,Maranhão,2575027,-8.103839,175.981666
Dias das Flores,383,Roraima,9219625,74.30344,92.646188
Dias dos Dourados,822,Goiás,3669338,47.134732,64.923091
Barbosa,611,Distrito Federal,1378555,4.591198,10.142325
Vasconcelos,371,,9470180,-69.802418,118.358659
Cassiano,925,Amazonas,9613339,6.598828,-120.766624
Machado,875,Paraíba,1955183,32.453143,78.090468
Jesus do Campo,501,,8567677,-9.813115,-159.97111
Vargas do Oeste,136,Paraíba,7668806,11.504013,21.166992
Martins Paulista,689,Amazonas,12139626,-86.081318,-88.395401
Castro,4,Sergipe,9707453,-76.854685,-27.468941
Santos do Norte,718,,1015921,78.224904,-155.153107
Duarte,957,Bahia,4821582,-16.403952,96.829943
Silva,785,Espírito Santo,12240447,26.258547,-28.669702
Gonçalves do Galho,913,Alagoas,14594807,75.080714,-44.101314
da Luz da Serra,83,Acre,11108036,67.41967,-132.12367
Machado da Prata,881,Santa Catarina,2999290,88.71242,-38.498893
Brito,131,Paraíba,3741121,60.26789,92.224589
Vieira,306,Bahia,12069394,8.000161,11.496099
Albuquerque,844,Alagoas,7733009,-27.691248,-80.766098
Cardoso,960,Distrito Federal,12847789,-69.687965,111.412146
Freitas de Minas,430,Rio de Janeiro,14831975,70.027442,-93.360134
Barbosa do Sul,69,Amapá,568316,-9.640608,61.928509
Ramos,894,,12429217,-82.037389,-21.973388
Cardoso de Borges,553,Tocantins,14495988,49.691452,-129.551193
Campos do Norte,297,Paraíba,12277826,13.69986,27.890933
Cavalcante,792,Rio de Janeiro,5384867,-47.357274,135.452996
Silveira das Flores,677,Paraná,6943388,-35.909828,-158.055251
Garcia,972,Rondônia,12339812,74.08398,45.35753
Cavalcanti da Praia,438,Distrito Federal,791584,85.012242,158.971108
da Mota,688,Goiás,8804030,-32.627798,-30.123132
Cassiano de Andrade,153,Rio Grande do Norte,3089977,45.794898,-9.533225
Ramos,870,Maranhão,14392154,37.363824,110.079418
Jesus de Novaes,937,,6928579,84.201514,20.623233
Araújo de Borges,138,Goiás,4283117,-53.399388,52.814107
Carvalho das Pedras,945,Distrito Federal,6230647,-73.356481,80.850496
Pires,196,,6332828,31.260946,37.051936
Garcia,895,,13504797,47.105355,80.749886
Mendes da Prata,573,Sergipe,3509577,66.505293,-60.132848
Ferreira de Nunes,980,Pernambuco,3558544,78.688757,166.34792
Gomes Paulista,121,Ceará,12660569,-3.794242,-92.666455
Dias,619,Rio Grande do Norte,6659381,74.722763,18.748545
Alves,795,Sergipe,7827384,6.057023,-50.66656
Araújo do Amparo,268,Pernambuco,14816126,-0.490087,-144.501037
Vargas Verde,740,Espírito Santo,14093351,-32.358009,-106.874103
Brito,321,Espírito Santo,9442598,65.535271,86.850856
da Mata,17,Piauí,9803429,14.245727,-29.671894
Teixeira,157,Espírito Santo,3864072,-21.628841,120.010578
Fogaça da Serra,512,Ceará,11494819,-29.238429,94.809825
Pastor,501,Mato Grosso,10770846,43.126936,-14.101561
Pastor do Sul,751,Roraima,2844807,-64.807465,16.756678
Nunes Verde,189,Bahia,9100547,88.258237,164.605282
Monteiro,537,,14210224,-76.620526,114.478528
Cavalcanti do Amparo,50,Alagoas,6923793,-65.251525,47.052593
Araújo,70,Espírito Santo,158368,-50.630459,-15.836523
Almeida,62,Pernambuco,11191288,78.10267,148.590524
Abreu de Farias,676,Rio Grande do Norte,115936,5.798247,-31.918137
Cardoso,18,Mato Grosso,4614384,6.432859,-76.792127
Duarte,515,Alagoas,11313396,-12.496822,158.296289
Casa Grande,184,Rio de Janeiro,1620878,4.389372,-93.25122
Vasconcelos,635,Amazonas,13682027,-26.200602,106.17708
Barbosa da Praia,81,Roraima,6817009,-7.380406,-92.445158
Pastor do Campo,714,Mato Grosso,11481314,59.051174,-150.977909
Duarte Grande,879,Ceará,536577,-73.169909,-43.464952
Vieira do Amparo,566,Rio Grande do Sul,10687860,-88.298969,-118.301913
Cavalcanti da Prata,512,Roraima,10824748,51.187736,23.708386
Câmara Verde,879,Tocantins,8866040,75.447399,-97.284061
Garcia,923,Maranhão,14895690,12.021146,-82.405781
Cardoso da Serra,947,,4708878,71.876097,22.863551
Sampaio,34,Rio de Janeiro,14272807,-33.392755,166.128908
Vargas Verde,602,Alagoas,13773905,38.288052,-36.613433
Pereira,79,Mato Grosso,9466648,-46.715005,120.474202
Porto,399,Rio de Janeiro,9074132,-30.288629,92.019335
Monteiro,144,Bahia,11569711,40.349443,0.285427
Souza de Minas,998,Espírito Santo,1643895,-11.324114,121.922877
Dias da Serra,349,Rio Grande do Sul,10303949,81.874511,-37.186902
Santos,793,Rondônia,10643817,-40.801135,177.330916
Machado do Sul,503,Goiás,9283433,79.405712,-24.534739
da Cruz,697,Roraima,6381562,-74.575059,42.70172
Ferreira,818,Goiás,1238237,-75.233158,-124.480453
Silveira,729,Acre,2593336,43.137952,-65.995838
Gomes,110,,5176869,-9.947544,94.084737
Siqueira de Leão,105,Ceará,3148912,-12.423687,20.514612
Monteiro das Flores,525,Mato Grosso do Sul,445601,-73.868608,19.51913
Brito do Amparo,612,Sergipe,5448037,65.469272,-175.557379
Castro,424,Paraíba,1426022,40.471892,21.433156
Andrade,249,Maranhão,2850129,33.356879,-118.979372
Dias,276,Goiás,8278246,-63.731732,-119.805336
Barbosa,283,Mato Grosso,8129053,50.879992,-49.995032
Garcia,967,Ceará,10491325,-0.755561,42.000765
Novaes,469,Amapá,5116313,-88.781874,-37.550888
Peixoto do Amparo,862,Roraima,13495164,65.195696,-21.519748
Lopes,441,Rio Grande do Sul,14425159,27.186635,33.981451
Pereira,308,Pará,11670069,-53.846732,-66.894019
Aragão,988,Amazonas,5359241,-37.539333,70.184796
Costela do Oeste,503,Pará,13124352,-46.363627,-44.620091
Ribeiro da Mata,837,Maranhão,6128944,-69.500192,22.986183
Brito,607,Alagoas,3023677,32.708274,18.035697
Oliveira da Prata,976,Tocantins,11889427,-52.263289,107.166788
Cassiano de Aragão,852,Mato Grosso do Sul,13744962,62.601827,106.216425
Lima,690,Amapá,10630615,-35.490124,-89.034593
Ribeiro do Amparo,158,Distrito Federal,13243511,-22.141653,-18.33598
Alves,613,Distrito Federal,6729393,6.186132,152.458471
Porto,891,Maranhão,9125853,-83.38227,168.634095
Melo,719,Amazonas,9012787,16.88759,149.18445
Viana das Flores,112,Paraná,11037724,29.6449,-120.118142
Ribeiro de da Luz,628,,10826827,31.944941,-36.137611
Ramos,771,Piauí,13363540,-12.518002,-176.202802
Cirino da Praia,265,Minas Gerais,12535114,3.383598,28.986586
Cirino dos Dourados,590,Alagoas,6281684,-19.59585,98.043204
Macedo dos Dourados,603,Goiás,2534080,-27.90587,-171.157445
da Mata,108,Rio de Janeiro,1445404,-69.107519,158.643417
Cassiano,146,São Paulo,5760703,-8.040126,-105.527763
Barros,495,Rondônia,1642842,-11.130131,70.834776
Nogueira das Pedras,327,,754657,55.833469,-138.569304
Novaes,870,Alagoas,1839801,31.88508,-120.832527
Moreira das Pedras,759,Piauí,2931839,9.343852,-60.843724
Oliveira de da Costa,437,Paraná,3894890,53.596042,46.713715
Barros das Flores,191,Roraima,7255013,-18.795172,85.459813
Montenegro,905,Rio de Janeiro,9940520,-12.680489,-178.397984
Campos,220,São Paulo,12626927,36.676754,106.562898
Cavalcanti de Cavalcante,592,Distrito Federal,14634385,6.640022,-48.314509
Cardoso,202,Alagoas,4406559,30.726257,-3.785768
Barros das Pedras,990,Distrito Federal,10020508,-20.044933,-38.684158
Peixoto,117,Goiás,14190434,-7.585094,-117.890095
Siqueira de Minas,690,Amapá,4995296,75.362864,32.460611
Novais das Flores,689,Piauí,1982390,-47.056909,-137.898395
da Mota do Galho,383,Paraíba,8575219,-20.076612,34.713294
